Tue Aug 25 07:41:18 PDT 2015 --  #2STATESMEMORIES A weird but sweet Tamilian!!! We Love Alia Bhatt pic.twitter.com/4KxGYuh4ew
Tue Aug 25 07:40:51 PDT 2015 --  Tiger Shroff and @ShraddhaKapoor at the launch of Fitbit wearable device pic.twitter.com/eebxepHXZU
Tue Aug 25 04:10:18 PDT 2015 --  Logon this is the logo of PRDP, matlab Prem Ratan Dhan Payo. Coming this Diwali pic.twitter.com/cAdWPAAxmT
Mon Aug 24 12:44:31 PDT 2015 --  "I was lucky 2 be born in a family who didn't differntiate b/w boys & girls. And there's no reason to." #AngelonEarth pic.twitter.com/rqpxWskXfO
Mon Aug 24 09:21:00 PDT 2015 --  #AdityaRoyKapur is the only man in this whole world who can make my heart beat faster & even skip a bit sometimes pic.twitter.com/8fE9G0xmTz
Mon Aug 24 09:12:04 PDT 2015 --  Pretty: @ParineetiChopra pic.twitter.com/eRbe3WYJK3
Mon Aug 24 08:34:59 PDT 2015 --  Main kya bolu Aap itne jyaada achchhe ho Bahut Jyaada Pyaar Behadd Beshumaar pic.twitter.com/jvqDYQGDgo
Mon Aug 24 08:17:23 PDT 2015 --  Aarohi:Main vaisi ladki nai hu jaisa aap soch rahe hai. RJ:Main us tarah ki ladkiyon se is tarah ki batein nai karta. pic.twitter.com/YhL5gvBjK2
Mon Aug 24 05:26:38 PDT 2015 --  #parineeti ma'am #Ourqueen #OneInABillion .. #AngelOnEarth pic.twitter.com/JQ0fLi8ixc
Mon Aug 24 05:09:22 PDT 2015 --  Diamond @ParineetiChopra pic.twitter.com/tZeABorpna
Sun Aug 23 10:01:16 PDT 2015 --  This is Pari when Aditiya choose "misalpav"expression ki dukaan "you r the worst" pic.twitter.com/y7a9qfrm6B
Sun Aug 23 09:38:59 PDT 2015 --  Not understanding is the beginning of learning. Confusion is the reflection of growth. #mastery
Sun Aug 23 08:41:06 PDT 2015 --  Tere bin kaise samjhyen, chain naa aaye, dil ye maane na... @ShraddhaKapoor #AdityaRoyKapur #ShrAditya pic.twitter.com/quBhTqJXJ2
Sun Aug 23 08:07:52 PDT 2015 --  I love his sense of humor, he makes me laugh all the time.- @ShraddhaKapoor #AdityaRoyKapur #ShrAditya pic.twitter.com/N8A4LS5rmq
Sat Aug 22 22:20:51 PDT 2015 --  Andhere Ko Andhera Nahi Sirf Roshni Mita Sakti Hai Aur Woh Roshni Humari Sunshine Hai :) @ShraddhaKapoor <3 pic.twitter.com/u4RpXq1GRj
Sun Aug 23 00:34:01 PDT 2015 --  my works for you @ShraddhaKapoor pic.twitter.com/3BZXo6cn39
Sat Aug 22 23:09:19 PDT 2015 --  रोशनी मे वहाँ की, अलग NOOR है! @ShraddhaKapoor <3 pic.twitter.com/YHWTgp41KU
Sat Aug 22 12:06:08 PDT 2015 --  #DaawatEIshq #AdityaRoyKapur @ParineetiChopra #Gullu #Taru #SasurUncle https://twitter.com/Pariobsessed/status/635164077808046080 …
Sat Aug 22 08:18:28 PDT 2015 --  ;-) pic.twitter.com/UimaRhyOs9
Sat Aug 22 06:23:29 PDT 2015 --  Love you: @ParineetiChopra pic.twitter.com/J4LUAyjnZS
Fri Aug 21 06:38:23 PDT 2015 --  Aww my love #ARK #Daawat-E-Ishq #Promotions #AdityaRoyKapur @ParineetiChopra pic.twitter.com/5nkrLcZZaM
Fri Aug 21 09:15:44 PDT 2015 --  @ParineetiChopra pari ur smile is to die 4 n u guyss look really cuute togetherluvvv this song!! pic.twitter.com/93JOo10mwW
Thu Aug 20 11:45:10 PDT 2015 --  @ParineetiChopra the most beautiful baby girllook at that ADORABLE smilebaby Pari-cuteness overloaded pic.twitter.com/HmjPLl4J4E
Thu Aug 20 10:18:07 PDT 2015 --  RT @ShrAdityaFC Love birds to team up yet again #ShraddhaKapoor #AdityaRoyKapur http://www.bollywood3.com/movie-news/love-birds-to-team-up-yet-again.html … pic.twitter.com/xzKB19T8mu
Thu Aug 20 09:34:25 PDT 2015 --  Her lovely expressions... @ParineetiChopra pic.twitter.com/qy60R6CPvE
Thu Aug 20 06:17:19 PDT 2015 --  #Love #AdityaRoyKapur <3 pic.twitter.com/w7qkHISL2d
Mon Jul 27 17:51:49 PDT 2015 --  I want to see them again on Screen... @ParineetiChopra | #PariTheAngel #AdityaRoyKapur pic.twitter.com/pd80augg7g
Thu Aug 20 07:24:52 PDT 2015 --  @loveparineetifc @ParineetiChopra my favourite onscreen pair...... They should do another film toether....Daawat-E-Ishq was really awesome
Thu Aug 20 07:49:05 PDT 2015 --  :-)*cuties*<3<3<3 pic.twitter.com/G7K5liOCkv
Thu Aug 20 07:32:24 PDT 2015 --  #parineeti ma'am #Ourqueen #OneInABillion .. #AngelOnEarth pic.twitter.com/6WmQIdFm7J
Tue Aug 18 13:14:50 PDT 2015 --  MY EDITED #DP BST POSE COLLAGE #PARI MAAAM FR U @ParineetiChopra one type #picllage ... Hope u like it pic.twitter.com/i6TCyL7wX4
Tue Aug 18 22:52:38 PDT 2015 --  #Bollywood #Flashback - @BeingSalmanKhan and @mrsfunnybones in Jab Pyaar Kisise Hota Hai. pic.twitter.com/T7kFKhbyv9
Sun Aug 09 13:38:44 PDT 2015 --  #Baaghi Fake edit by me Super excited to see the recreated magic! @sabbir24x7 @ShraddhaKapoor @iTIGERSHROFF pic.twitter.com/SpFcVMXxHS
Tue Aug 18 04:30:14 PDT 2015 --  #HeroPoster2 for you… 11th Sept. ke liye taiyaar rehena pic.twitter.com/8gELkorvxM
Mon Aug 17 22:28:08 PDT 2015 --  B A J I R A O pic.twitter.com/E9fljnOsW4
Mon Aug 17 20:12:27 PDT 2015 --  TODAY!! In Arpita Mehta styled by @anishajain_23 :) pic.twitter.com/SexLbCFvwl
Sun Aug 16 19:26:47 PDT 2015 --  @ParineetiChopra woke up to this beautiful picur smile look damn prettyi luv u more n more!thanx 4 meeting jennii pic.twitter.com/vofqUrDZu5
Sat Aug 15 23:30:02 PDT 2015 --  sylvester stallone has fav'td only one tweet frm his twitter acc ... and #BajrangiBhaijaan600crWW pic.twitter.com/nXAymnSCh8
Sat Aug 15 08:07:55 PDT 2015 --  sketch by me~ #fanposter #Jazbaa @juniorbachchan please look at this pic.twitter.com/rec4UmQ04V
Fri Aug 14 20:13:45 PDT 2015 --  This is what a time lapse photo of Hundreds of sunsets looks like. (credit: Matt Molloy) pic.twitter.com/rMYUnCIp20
Sat Aug 15 08:03:14 PDT 2015 --  Flowers! I love flowers! pic.twitter.com/nPcgbqj3bI
Sat Aug 15 05:57:11 PDT 2015 --  {News} Another shooting schedule of #Fitoor is underway in Poland- http://www.boxofficeindia.co.in/fitoor-7/ 
Sat Aug 15 04:57:38 PDT 2015 --  Standing Ovation to our play #MeraWohMatlabNahinTha in Chicago. The most amazing feeling for an actor.:) #USATour pic.twitter.com/EWUbSOP5K5
Mon Jun 01 20:40:37 PDT 2015 --  @BeingSalmanKhan @khanarpita #salmanfan #salmankhan #drawing #sketch #art #portrait #clock #timeless #salmankhanart pic.twitter.com/l10xMPYfMK
Wed Jul 01 00:56:48 PDT 2015 --  #Painting of my favorites @BeingSalmanKhan @AnupamPkher #salmankhan #anupamkher #paint #art #salmanfan #bollywood pic.twitter.com/mMgG9jbwjK
Sat Aug 15 00:31:57 PDT 2015 --  I can watch #DEI for my entire life without getting bored.. but as a fan.. I really want to see adi in new movies...
Fri Aug 14 19:54:44 PDT 2015 --  #JaiHind *\(^_^)/* Happy independence day pic.twitter.com/ljZgu8KO1a
Fri Aug 14 10:54:37 PDT 2015 --  Reached Chicago. Greeted by my friend @bollywoodshows. Chicago we are ready for you. Are you.:) #MeraWohMatlabNahiTha pic.twitter.com/Z5yBHB8xTF
Fri Aug 14 07:48:08 PDT 2015 --  ♡love dhem ♡ #ATBB_BajrangiBhaijaan pic.twitter.com/JyXlN3bUfK
Fri Aug 14 07:32:02 PDT 2015 --  #AdityaRoyKapur and @ParineetiChopra #DaawatEIshq #Promotions pic.twitter.com/gdUgbsnmBy
Fri Aug 14 02:41:20 PDT 2015 --  #BajarangiBhaijaan official declared ALL TIME BLOCKBUSTER by BOI... @BeingSalmanKhan @kabirkhankk Congrats ╮(￣▽￣)╭ pic.twitter.com/AcbJCubkhq
Thu Aug 13 18:26:56 PDT 2015 --  Katrina Kaif on Fitoor: It's a story I fell in love with, my co-star #AdityaRoyKapur is a sweetheart. I've enjoyed making the film.
Thu Aug 13 08:05:50 PDT 2015 --  " @shreyoshisarkar: Be like our star @ShraddhaKapoor Pretty to look at but Hard to catch pic.twitter.com/1jll77xRk8" sk :-)
Thu Aug 13 06:40:12 PDT 2015 --  " @KapilSharmaK9: Finally the trailer of"kis kis ko pyaar karoon" is out..Have a look..Hope u guys will love it http://youtu.be/Xhmej50EGM8 ";-)
Sat Aug 08 23:35:52 PDT 2015 --  This moment! KWK with Sidneeti pic.twitter.com/v0FyDlUnyO
Wed Aug 12 10:01:35 PDT 2015 --  #BBMostWatchedFilmOfDecade pic.twitter.com/hd7sfq0Ln8
Wed Aug 12 09:00:16 PDT 2015 --  #SelfieTime - Shahid Kapoor​ with Katrina Kaif and Saif Ali Khan. pic.twitter.com/5uLlfRQ15u
Mon Aug 10 22:42:37 PDT 2015 --  {Article} Aditya Roy Kapur to shoot for #Fitoor in Poland's art galleries? http://fenilandbollywood.blogspot.in/2015/08/aditya-roy-kapur-to-shoot-for-fitoor-in.html?m=1 …
Thu Aug 06 06:25:06 PDT 2015 --  Bajrangi Bhaijaan 300Crore RT if you have watched this movie and favorite if not pic.twitter.com/IWEXr7jylj
Tue Aug 04 23:14:21 PDT 2015 --  Hum Aapke Hain Koun..! completes 21 years, do you still love watching this movie? #21HistoricYearsOfHAHK pic.twitter.com/dhq86HndKW
Thu Jul 30 21:40:19 PDT 2015 --  Oh Fresh! - #BajrangiBhaijaan girl Munni aka Harshali Malhotra with Katrina Kaif pic.twitter.com/NZy57jJhQ7
Mon Jul 27 08:54:55 PDT 2015 --  APJ Abdul Kalam: The people's President http://goo.gl/fZ2CTN  pic.twitter.com/jIds7fuP0a
Mon Jul 27 07:47:54 PDT 2015 --  Relationships are always stronger when you are best friends first and a couple second. #Adishra pic.twitter.com/5gjCaAT8qY
Thu Jul 23 09:45:50 PDT 2015 --  i love you too: https://m.youtube.com/watch?v=_YHNtZzLDkE&feature=youtube_gdata_player …
Thu Jul 23 08:44:39 PDT 2015 --  So emotinal RT if u cried #SalmanMEGASTAROfCentury pic.twitter.com/l65nJ957gy
Wed Jul 22 20:18:48 PDT 2015 --  Bollywood @ 13 megapixels - #BajrangiBhaijaan with Munni pic.twitter.com/eissZKl3B0
Wed Jul 22 06:02:53 PDT 2015 --  Cutest jodi<3:-) #Fastest150crBajrangiBhaijaan pic.twitter.com/ZuMUH0OgoZ
Mon May 04 06:31:56 PDT 2015 --  Watch the theatrical trailer of #HamariAdhuriKahani starring Emraan Hashmi and Vidya Balan. http://bit.ly/1OTksP4  pic.twitter.com/OWDcsYhnZc
