Sun Aug 16 14:11:47 PDT 2015 --  #Life pic.twitter.com/149WD9vVOJ
Thu Aug 06 19:19:34 PDT 2015 --  The ageing of the body Is a must, but the ageing of the soul is a choice.! pic.twitter.com/D6BfxRBdmN
Wed Jul 29 14:51:35 PDT 2015 --  If you find #beauty in your heart, you'll find it in each one's heart. pic.twitter.com/HLjXPAab4r
Mon Jul 20 14:27:26 PDT 2015 --  This picture has been taken from computers' museum in California.It's hard to believe our childhood is now at museums pic.twitter.com/twUI8kJxoP
Sun Jul 12 19:52:45 PDT 2015 --  Positive people see a solution to each problem, but negative people see a problem to each solution ! pic.twitter.com/aZmgzgMIJD
Sun Jul 05 14:10:15 PDT 2015 --  It's okay to believe in some imaginations whenever they make us feel safe. pic.twitter.com/6bQwITDXiI
Sun Jun 28 10:12:22 PDT 2015 --  Sometimes you find #poor #people who don't own anything very happy, when some #rich people are full of #grief. #truth pic.twitter.com/syzCvIo7Nu
Sun Jun 21 20:05:21 PDT 2015 --  The end is not whole different from the beginning. #Life pic.twitter.com/nRisqVPpRE
Sat Jun 13 10:34:27 PDT 2015 --  Don't let #media control the way you see events! pic.twitter.com/99Us0dDdFo
Sat Jun 06 19:32:03 PDT 2015 --  #Life pic.twitter.com/70KIn6wcTI
Fri May 29 08:44:04 PDT 2015 --  #Truth pic.twitter.com/vq7ZYfRlrq
Fri May 22 13:30:22 PDT 2015 --  #Truth pic.twitter.com/FH4kbBu3ce
Sat May 16 16:56:37 PDT 2015 --  #truth pic.twitter.com/c7yfTTIqqu
Mon May 11 11:12:14 PDT 2015 --  #Truth pic.twitter.com/wETktf8y75
Mon May 04 10:45:26 PDT 2015 --  Being a member of a group of lions is better than being a leader of ostriches! pic.twitter.com/SbseNKqqyz
Wed Apr 29 14:18:51 PDT 2015 --  #truth pic.twitter.com/ufBnVisjLG
Sat Apr 25 10:37:53 PDT 2015 --  #truth pic.twitter.com/oU6KWEakbO
Tue Apr 21 11:26:35 PDT 2015 --  She foots on her kid's neck to prevent him from going down the river We're being hard sometimes for the sake of mercy pic.twitter.com/whQHzuudpr
Wed Apr 15 09:41:37 PDT 2015 --  #Life pic.twitter.com/tiMzDryOpJ
Thu Apr 09 14:28:07 PDT 2015 --  #things_you_cant_buy pic.twitter.com/G5ivGYDe5H
Sat Apr 04 14:36:00 PDT 2015 --  #truth pic.twitter.com/1b5qQwFWBI
Mon Mar 30 15:32:14 PDT 2015 --  Staying up late at #night is good when you choose it, but it's bad when it chooses you ! pic.twitter.com/mYqPCyfLqj
Fri Mar 27 17:28:48 PDT 2015 --  #Life pic.twitter.com/tpXMNr0VTe
Sun Mar 22 16:54:12 PDT 2015 --  #Life #truth pic.twitter.com/ewEc1qtXXX
Sat Mar 21 09:50:26 PDT 2015 --  Whoever has a #mom who you can see every morning and evening, he/she doesn't deserve to to about sadness. pic.twitter.com/rfFaLH5iPp
Tue Mar 17 13:10:30 PDT 2015 --  #Life pic.twitter.com/wV3kn9pN8j
Thu Mar 12 15:26:07 PDT 2015 --  A #Syrian kid thought the camera was a weapon, so she raised her hands up! This is how childhood is violated there! pic.twitter.com/fZxaaOtid1
Wed Mar 11 13:25:49 PDT 2015 --  Never said I've bad circumstances! pic.twitter.com/r0EJUdtHhq
Sat Mar 07 08:19:04 PST 2015 --  #Life pic.twitter.com/Y9zFtMcH4R
Tue Mar 03 08:04:21 PST 2015 --  #Life #Truth pic.twitter.com/eKwOKvhX2k
Thu Feb 26 12:07:24 PST 2015 --  #Fact #Truth pic.twitter.com/SOw4LL9tI1
Mon Feb 23 13:07:41 PST 2015 --  #Life pic.twitter.com/XPN2D0wmO3
Fri Feb 20 13:46:52 PST 2015 --  #Life pic.twitter.com/RDLXfbeOt3
Mon Feb 16 09:50:03 PST 2015 --  #Happy with their handmade toys. Happiness is a personal choice. pic.twitter.com/HALlyTbkdS
Fri Feb 13 09:23:06 PST 2015 --  Most of the discoveries that we see today has been #prejudged with failure. #Truth pic.twitter.com/UiST48axAQ
Mon Feb 09 11:44:33 PST 2015 --  #Life pic.twitter.com/oH4tIQoNis
Fri Feb 06 10:16:02 PST 2015 --  The beauty of the #night is in its secrets. pic.twitter.com/o5OhguNMUJ
