Fri Aug 21 19:40:54 PDT 2015 --  pic.twitter.com/cVQ3Ky15Ij
Fri Aug 21 19:40:34 PDT 2015 --  pic.twitter.com/sxZXM1M50r
Fri Aug 21 19:40:03 PDT 2015 --  pic.twitter.com/r5hikhlGBm
Fri Aug 21 16:43:17 PDT 2015 --  THE BOYS ARE DOING A PHOTO SHOOT RIGHT NOW AND IT COULD BE FOR THE ALBUM COVER I SWEAR THEY'RE GONNA DROP THIS NEW ALBUM ON US SOON
Fri Aug 21 18:32:26 PDT 2015 --  REMEMBER REFRESH NOT REPLAY KEEP GOING YALL #DragMeDownMusicVideoIsOut #DragMeDownMusicVideo pic.twitter.com/2ikq0rOC00
Fri Aug 21 15:35:51 PDT 2015 --  Lmao Harry is such a dork pic.twitter.com/fvrKAXa9vC
Fri Aug 21 15:36:56 PDT 2015 --  Worth reading pic.twitter.com/YUOExhtZ6Y
Fri Aug 21 15:51:35 PDT 2015 --  THE BOYS RECORDED AN ALBUM, RELEASED A PERFUME & DID PHOTO SHOOTS/COMMERCIALS/MUSIC VIDEO WHILE ON TOUR THEY WORK SO HARD FOR US I CANT EVEN
Fri Aug 21 15:50:59 PDT 2015 --  rt for 5/5 group hugs on stage #WorthItVMA pic.twitter.com/ebNPq4tqa9
Fri Aug 21 15:54:55 PDT 2015 --  I LITERALLY BEEN REFRESHING SINCE THIS VIDEO CAME OUT I FEEL LIKE PPL ARE NOT EVEN TRYING BUT I'M NOT GONNA STOP #DragMeDownMusicVideo
Fri Aug 21 15:54:54 PDT 2015 --  Drag Me Down lockscreens RT, follow and tweet us which one you would like! ~Leah #DragMeDownMusicVideo pic.twitter.com/UejDCWTDFt
Fri Aug 21 15:56:01 PDT 2015 --  What do I do my left earring hole is infected how do I disinfect it haha
Fri Aug 21 15:56:03 PDT 2015 --  “I'm starting to think you have an amputee fetish" he answered, still kissing me. I laughed "I have an Augustus Waters fetish" I explained”
Fri Aug 21 15:56:42 PDT 2015 --  I'm so tired i Haven't slept since last night #DragMeDownMusicVideo pic.twitter.com/X9jHcmor3i
Thu Aug 20 19:35:20 PDT 2015 --  @ddlovato IM so grateful you were born. #nomatterwhat #forever #haveTHEbestbday
