Thu Aug 27 10:37:06 PDT 2015 --  Entre potos en Italie https://instagram.com/p/65TvewKCYp/ 
Wed Aug 26 13:01:58 PDT 2015 --  La bulle! https://instagram.com/p/62_hfPKCRc/ 
Wed Aug 26 13:00:44 PDT 2015 --  Tiramisu https://instagram.com/p/62_YanKCRF/ 
Wed Aug 26 06:06:04 PDT 2015 --  Respect le mec qui a fait tout ça sur le plafond en plus à cette époque c étais deux fois plus dur https://instagram.com/p/62P7d4KCVU/ 
Wed Aug 26 06:01:39 PDT 2015 --  Le Vatican @ Roma Centro https://instagram.com/p/62PbFlqCUf/ 
Tue Aug 25 10:48:39 PDT 2015 --  Le Capitole @ Roma Centro https://instagram.com/p/60LePSqCZZ/ 
Tue Aug 25 10:46:13 PDT 2015 --  Journée aux Colisée #Italie #Rome #demainVatican @ Roma Centro https://instagram.com/p/60LMZXqCY0/ 
Mon Aug 24 11:05:06 PDT 2015 --  Trop boooooon https://instagram.com/p/6xoj79KCeH/ 
Mon Aug 24 10:28:37 PDT 2015 --  J ai trouvé le QG des illuminati!!! https://instagram.com/p/6xkYjbqCWR/ 
Mon Aug 24 10:21:48 PDT 2015 --  La vie a Rome les chauffeurs il s en batte les couilles sur des rails de tramway y avais des bus, voiture, vélo.. mais pas de tramway
Sun Aug 16 12:19:57 PDT 2015 --  Ma caly adoré https://instagram.com/p/6dKxAZKCXM/ 
Sat Aug 15 12:34:46 PDT 2015 --  Mdrr première partie sur aw depuis longtemps je fais un impitoyable j ai pas compris en face c étais les plus gros noob de la terre
Tue Apr 28 17:19:21 PDT 2015 --  Mdr les pris de ma cité ils sont prêts pic.twitter.com/n56VE00Zck
Sun Aug 09 04:03:53 PDT 2015 --  Il vous a pas respecté mdrr #BielsaDemission #lesmarseillais
Sat Aug 08 15:19:11 PDT 2015 --  Les Unes des différents journaux demain... pic.twitter.com/xAWDjbeyKw
Sat Aug 08 16:17:02 PDT 2015 --  La démission de Bielsa de son poste d'entraîneur de l'OM est-elle un manque de respect ? #RT : Oui #FAV : Non pic.twitter.com/Ib42nuC28p
Sat Aug 08 11:49:40 PDT 2015 --  C'est pas Zlatan qui coure après le ballon, c'est le ballon qui fuit Zlatan mdrrr #Zlatan #punchline
Wed Aug 05 08:56:20 PDT 2015 --  oui
Thu Jul 30 20:00:59 PDT 2015 --  Une vrai peluche hein? Mais quand ca grand ca devient un vrai chipie.... Mais en s en fou elle est… https://instagram.com/p/5yOA-NKCQP/ 
Tue Jul 28 11:57:59 PDT 2015 --  Mddr pic.twitter.com/WNjBWLCR05
Fri Jul 24 16:39:24 PDT 2015 --  En plus vai me levé tôt de ouf et pour me casser le dos à portée des grosses machine j ai trop la flemmmmm
Fri Jul 24 16:33:37 PDT 2015 --  Putain demain déménagement de la salle de sport j aurai préféré être avec les potes #M #E
Tue Jul 21 17:58:12 PDT 2015 --  Ajoutez moi sur snap: axel.77dvl https://instagram.com/p/5a0zvBqCev/ 
Tue Jul 14 16:09:18 PDT 2015 --  #feudartifice https://instagram.com/p/5ImyAFKCX7/ 
Tue Jul 14 15:42:50 PDT 2015 --  Superbe feu d'artifice à Nice #14juillet2015 https://vine.co/v/erW9YZlJ10w 
Tue Jul 14 15:36:57 PDT 2015 --  Feu d'artifice inoubliables a Nice #14juillet https://instagram.com/p/5IjFJKqCR9/ 
Sun Jul 12 15:18:49 PDT 2015 --  #ogcnice https://instagram.com/p/5DXaemqCeX/ 
Sat Jul 11 17:48:48 PDT 2015 --  Forever alone #lasolitude pic.twitter.com/lDSEAMGtjq
Sat Jul 11 15:16:20 PDT 2015 --  Et dire que ya des gens qui veulent faire des régime moi c pas no pain no gain c no pain no grec. Mdrr #jesort pic.twitter.com/MY88AXJtai
Fri Jul 10 13:15:09 PDT 2015 --  L épreuve d immunité ca va être chaud #KohLanta
Fri Jul 10 09:53:37 PDT 2015 --  Just nice #jeuxdemot #blaguedemerde #okjesors https://instagram.com/p/49om9rKCcw/ 
Thu Jul 09 06:38:17 PDT 2015 --  #Nice #sun #plage #vacances https://instagram.com/p/46tdeDKCU7/ 
Thu Jul 09 05:44:37 PDT 2015 --  Il passe pile dans ma rue toute les 5min jusqu'à 0h SUPER https://vine.co/v/en90JmnYvnr 
Thu Jul 09 05:31:52 PDT 2015 --  Retour à Nice ca faisait longtemps mais j avais oublié que le tramway passait dans ma rue toutes les 5min super #lemalaise
Thu Jul 09 02:00:06 PDT 2015 --  Nissa la bella https://instagram.com/p/46Nn46qCbz/ 
Sun Jul 05 13:38:16 PDT 2015 --  Si tu prend une feuille tu dessine dessus et tu la déchire ta juste gâcher une feuille pour rien. #secoucherplusbete
Sat Jul 04 14:56:33 PDT 2015 --  Si ta pas d amis prend un curly sauf que moi la ca me fait le 3ème paquet que j entame #mdr
Thu Jul 02 15:33:08 PDT 2015 --  RT si ta chaud
