Sat Aug 15 05:01:59 PDT 2015 --  Just posted a photo https://instagram.com/p/6Zz2eXnP1N/ 
Wed Aug 12 06:07:30 PDT 2015 --  Felipe Melo takımda kaldı. Bu da ispatı. #Dos3 #evet #abi pic.twitter.com/dN6RzQuX5q
Thu Aug 13 04:55:06 PDT 2015 --  SON DAKİKA - Felipe Melo Galatasaray'da kaldı... . @_felipemelo_ ayarları devam edecek !!! #evet #abi https://vine.co/v/eHKYv3mLIQJ 
Sat Aug 08 13:01:59 PDT 2015 --  Yıldızların Altında 3. Kupa! http://goo.gl/6Mdr6b  pic.twitter.com/Y9k1mb5u41
Wed Aug 05 13:57:27 PDT 2015 --  Fenerbahçe sponsor Ülker senelik 9 milyon dolar Galatasaray sponsor Fenerbahçe senelik 7 milyon € Böyle daha iyi. pic.twitter.com/3I2WFSPJRL
Wed Aug 05 13:47:39 PDT 2015 --  Koptum lan :))) pic.twitter.com/3ZCAmn6vsA
Wed Aug 05 13:39:01 PDT 2015 --  CL Cup'i ilklerin takimi GALATASARAY getirir. Bu kupayi getirmek icin baskanliga adayim. Secimi koyun icraat gorun pic.twitter.com/maLlV1TC0S
Wed Aug 05 13:38:37 PDT 2015 --  Galatasaray resmi hesabından Fenerbahçe'ye gönderme pic.twitter.com/msbnzCOx4z
Fri Jul 31 05:50:06 PDT 2015 --  Dany, Süper kupa maçında penaltı yapması koşuluyla serbest bırakılmış.
Wed Jul 29 12:15:12 PDT 2015 --  MHP yine AKP'nin imdadına yetişti: CHP'nin araştırma önergesi reddedildi http://goo.gl/oPxZgr  pic.twitter.com/6KM0BJEDN4
Wed Jul 29 03:42:57 PDT 2015 --  Yekta'yı hiçbir 1. lig seviyesi avrupa takımı almaz. belki avrupa 2. ve 3. ligler de alıcısı çıkar.
Wed Jul 29 03:57:59 PDT 2015 --  fener elense ne olur ? Gelen parayı bunlar evlat diye sabriye falan yedirir de yine transfer yapmaz . #DursunÖzbekİstifa
Wed Jul 29 00:30:23 PDT 2015 --  YAY: İnsanlar seni nasıl etkileyeceklerini bilmiyorlar. Huyuna gitmeleri gereken yerde dikine gidiyorlar. Böyle devam ederek kaybederler.
Tue Jul 28 13:16:00 PDT 2015 --  THY'yi boykot ettiniz, size sponsor oldu. Mancini ile dalga geçtiniz, kağıtlara sarıldınız. Varlığınız rezil olmaya sebep. @Fenerbahce
