Thu Dec 25 13:16:14 PST 2014 --  أين تستحق أن تعيش ؟ http://www.freeiqquizz.com/?id=4&rsd=68 
Thu Dec 25 13:05:13 PST 2014 --  اختبار تحليل الشخصية http://www.freeiqquizz.com/?id=6&rsd=83 
Thu Dec 25 12:12:31 PST 2014 --  I wish I could live in Dortmund
Mon Jul 28 00:03:19 PDT 2014 --  Happy bajram to all muslims..Urime festa e kurban bajramit te gjith muslimanve XS pic.twitter.com/TXRsUyIVXS
Sun Jul 27 22:27:53 PDT 2014 --  Jürgen Klopp: "We have never had a pre-season like this before" http://www.bvb.de/eng/News/Overview/We-have-never-had-a-pre-season-like-this-before … pic.twitter.com/ofngB3c3jR
Sat Mar 29 12:22:53 PDT 2014 --  Mats Hummels #vfbbvb: "Wir haben gezeigt, dass die Einstellung unserer Mannschaft stimmt!" http://www.bvb.de/News/Uebersicht/Wir-haben-gezeigt-dass-die-Einstellung-unserer-Mannschaft-stimmt … pic.twitter.com/8X0oBnuYai
Tue Feb 19 02:02:18 PST 2013 --  ﺻﺮﺧﺖ ﺍﻟﺰﻭﺟﻪ ﻋﻠﻰ ﺯﻭﺟﻬﺎ ﻗﺎﺋﻠﻪ ﻟﻤﺎﺫﺍ ﺗﺼﺮ ﻋﻠﻰ ﺃﻥ ﺃﻟﺒﺲ ﻣﺎﺗﺮﻳﺪ ﺍﻧﻚ ﺑﻬﺬﺍ ﺗﺤﺮﺟﻨﻰ ﺃﻣﺎﻡ ﺍﻟﻨﺎﺱ ﺃﺑﺘﺴﻢ ﺍﻟﺰﻭﺝ ﺑﻬﺪﻭﺀ ﻭﻗﺎﻝ ﺃﻧﺖ ﺗﺤﺮﺟﻴﻨﻰ ﺃﻣﺎﻡ ﺍﻟﻠﻪ ^_^
Tue Feb 19 02:00:30 PST 2013 --  اللهم إني أسألك نفسا بك مطمئنة تؤمن بلقائك وترضى بقضائك وتقنع بعطائك
Sun Jan 06 08:40:00 PST 2013 --  دعاء الكرب:لاإله إلا الله الحليم الكريم لاإله إلا الله رب العرش العظيم لاإله إلاالله رب السموات والأرض وما بينهما رب العرش الكريم
Mon Dec 31 07:32:44 PST 2012 --  happy new year
Tue Oct 30 02:24:09 PDT 2012 --  عندما تجد البلد التي تملك أقوى جيوش الأرض تعجز عن مواجهة اعصار يجب عليك أن تتذكر أن قدرة الله فوق كل شئ
Tue Oct 30 02:10:29 PDT 2012 --  قال صلى الله عليه وسلم: «من حين يخرج أحدكم من منزله إلى مسجده، فرجل تكتب حسنة، والأخرى تمحو سيئة» [صححه الألباني].
