Mon May 04 10:47:19 PDT 2015 --  Levez la main ceux qui ont des sentiments pour leur lit.
Fri Aug 28 11:23:30 PDT 2015 --  pic.twitter.com/jd8i16ni0l
Fri Aug 28 09:03:14 PDT 2015 --  pic.twitter.com/SgqWRahoqI
Fri Aug 28 13:25:16 PDT 2015 --  mdrrr Marseille c'est chauud 2-0
Fri Aug 28 13:21:02 PDT 2015 --  Demain Andorre tout est pas chère la bas
Fri Aug 28 12:22:10 PDT 2015 --  quand quelqu'un me dit que je suis bien habillé aujourd'hui pic.twitter.com/XP8eitZaoG
Fri Aug 28 12:35:42 PDT 2015 --  "MAIS JE COMPREEEENNNNDS PAAAAAS POURQUOI JE SUIS NUL ?" pic.twitter.com/gEu6fHSi5p
Fri Aug 28 12:42:42 PDT 2015 --  pic.twitter.com/y91HnkliqC
Fri Aug 28 12:52:52 PDT 2015 --  pic.twitter.com/XpsFAO6WBq
Fri Aug 28 13:01:20 PDT 2015 --  La dernière fois que Nkoudou a joué au Roudourou, il collait une lunette. #Progression #eagom
Fri Aug 28 12:49:40 PDT 2015 --  @Aiekillu quand il t'a regardé tt comme ça pic.twitter.com/JoLbY27gqH
Thu Aug 27 10:56:56 PDT 2015 --  Je ne regarde pas la fenêtre la nuit, parce que : 1% j'ai peur de l'obscurité. 99% car jai peur de voir un visage apparaître d'un seul coup!
Wed Aug 26 04:41:15 PDT 2015 --  Être moche c'est marrant 2min au bout de 15ans c'est lassant un peu
Thu Aug 27 04:28:41 PDT 2015 --  j'ai 19ans et j'fait encore semblant de dormir quand ma daronne rentre le matin dans ma chambre c trist
Thu Aug 27 10:04:43 PDT 2015 --  pic.twitter.com/Lo5riITSug
Thu Aug 27 12:40:32 PDT 2015 --  - Maman ? - Oui ? - Non rien, de toute façon tu vas pas vouloir... RT si tu l'as déjà dit
Thu Aug 27 12:43:17 PDT 2015 --  [ #Mercato]: Le dossier #Thomsen pourrait aussi se décanter dans les dernières heures du mercato. cc @ThomasBOSSARD1 (via @dphelippeau)
Thu Aug 27 03:53:12 PDT 2015 --  qd t'es suicidaire mais tu c pas cmt en finir https://twitter.com/SawMo_22/status/636534890012540928 …
Wed Aug 19 15:27:44 PDT 2015 --  Les toilettes où tu peux éteindre la lumière de l'extérieur c'est élu la plus grosse fils de puterie de l'année
Tue Aug 18 18:19:03 PDT 2015 --  Chocolate waffles! pic.twitter.com/WvxhvGOAIQ
Tue Aug 18 16:30:50 PDT 2015 --  Bêta prêt au DL ! RDV dans votre Bibliotèque-Cliquez sur votre BO3 et descendez un peu :P pic.twitter.com/DdzmBeQTz9
Tue Aug 18 16:00:01 PDT 2015 --  The @adidasoriginals Tubular X is hitting stores. Check here for stores. | http://bit.ly/WOo74k  pic.twitter.com/bWEpoywyII
Tue Aug 18 15:34:07 PDT 2015 --  Raspberry and Nutella crepes. pic.twitter.com/PPfztgdscA
Tue Aug 18 15:34:11 PDT 2015 --  On se retrouve demain à Valence avec l' @AS_Monaco ! 19:00 @ChampionsLeague sur @beinsports_FR pic.twitter.com/rDeE001c4i
Tue Aug 18 15:04:56 PDT 2015 --  Mais oui, très certainement ... pic.twitter.com/0qkIfXzxo9
Tue Aug 18 14:55:05 PDT 2015 --  Depay : «Un sentiment agréable» http://lequi.pe/1MxlD3p  pic.twitter.com/vuljogwM4k
Tue Aug 18 14:44:37 PDT 2015 --  On bouge tuer des gens sur ARMA http://www.twitch.tv/aiekillu/ 
Tue Nov 04 11:15:34 PST 2014 --  Un coup de pied dans les couilles est équivalent a donner naissance a 572 enfants en même temps.
Sat Aug 08 18:28:06 PDT 2015 --  Comment ça m'soule quand on entre dans ma chambre sans toquer j'vais mettre une sonnette + rdv si ça continue
Sun Aug 09 07:36:58 PDT 2015 --  L'Allemand c'est une langue bizarre, c'est trop brutal tu dis je t'aime a quelqu'un on dirait tu vas lui lancer un sors .........
Thu Aug 13 08:35:41 PDT 2015 --  Le sac de cours qui devient sac de plage, puis de soirée, qui redevient sac de cours etc........ c'est le cycle de la vie
Tue Aug 18 14:48:43 PDT 2015 --  Vodka black c'est une tuerie
Tue Aug 18 12:01:17 PDT 2015 --  Le magnifique but de Depay ! https://vine.co/v/ep0E3dFQhVv 
Tue Aug 18 13:54:06 PDT 2015 --  Michel a toujours aimé les OM pic.twitter.com/MHkpdWjEaf
Tue Aug 18 14:15:49 PDT 2015 --  Les filles qui floute fleur seins sur les photos c'est un mystère quand même
Sat Jul 25 01:19:36 PDT 2015 --  Regarder juste l'handicapé MDRRRRRR pic.twitter.com/3QVuaaTdrq
Tue Aug 18 14:25:35 PDT 2015 --  Gerard Piqué s'excuse pour son expulsion et dément avoir insulté l'arbitre assistant contre… http://lequi.pe/1MxgBUh  pic.twitter.com/ongiSds8B7
Wed Jun 10 08:57:20 PDT 2015 --  Mais qui a eu l'idée dans sa vie de faire un montage comme sa pic.twitter.com/AfPa0V8tt9
Sun Aug 16 16:16:24 PDT 2015 --  7ème 4points nickel
Fri Aug 14 06:50:35 PDT 2015 --  The @NikeRunning Flyknit Racer 'Blue Gecko' http://swoo.sh/1JgWBGv  pic.twitter.com/QfwSz5dME7
Sat Aug 15 18:21:34 PDT 2015 --  je suis malheureux ptn
Sat Aug 15 11:58:04 PDT 2015 --  #bl99 #SCOFCN @Georgioxv3 pic.twitter.com/IK130oXRFN
Sat Aug 15 10:33:55 PDT 2015 --  Les supporters du @FCNantes dans les rue de #angers avant la rencontre #SCOFCN #brigadeloire #tribuneloire #TeamFCN pic.twitter.com/2elgZrfZhP
Sun Aug 02 06:44:55 PDT 2015 --  Merci @adidasoriginals #Yeezyboost pic.twitter.com/pbFvwqxZll
