Sat Aug 29 01:38:09 PDT 2015 --  Off to McDo in Sun Mall!!!
Sat Aug 29 01:31:06 PDT 2015 --  BUKAS: 5pm Japan vs USA 7pm #GilasPilipinas vs Taipei Blue (Team A)
Sat Aug 29 01:14:07 PDT 2015 --  . @MMDA helps out in cleaning up EDSA-Shaw area where #IglesiaNiCristo members are gathering. | via @glenjuego/ @ @dzbb pic.twitter.com/tcP7C6i4IK
Sat Aug 29 01:14:09 PDT 2015 --  #OmagaDiazReport Palasyo, nais matiyak na walang magsasamantala sa pagkilos ng INC http://bit.ly/1UciBrc 
Fri Aug 28 23:07:10 PDT 2015 --  Roadtrip with the boss insert @JJSotnas @AGuerra_TWEETS 🏼 pic.twitter.com/xe2YjZnYdL
Fri Aug 28 21:48:20 PDT 2015 --  Listening to You Remind Me by Usher!!!
Fri Aug 28 21:42:29 PDT 2015 --  My Twitter has now 500 tweets!!! #5000Tweetsuntiltheendof2015
Fri Aug 28 21:40:03 PDT 2015 --  King of Smartphones? - http://url9.co/yf  pic.twitter.com/44uQj3npyX
Fri Aug 28 21:00:03 PDT 2015 --  Save the Date 09.29.2015 #IntramsVBall #CharityvsJustice!!!
Fri Aug 28 20:55:24 PDT 2015 --  What a turn of events!!!! From August 30 to September 13!!! #AAPSMovestoSeptember!!!! Dapat bukas na!!! #KalokaNaman
Thu Aug 27 00:48:00 PDT 2015 --  Happy Happy Happy Birthday the Beard @JHarden13!!!I hope that your adidas endorsement will truly successful!!
Wed Aug 26 22:56:50 PDT 2015 --  First Day of Exams was quite Moderate but...sometimes lucky can be luckier and luck will push your own powerful dreams 7-0 for 60%
Wed Aug 26 03:28:29 PDT 2015 --  and here we are! your @abscbnsports UAAP Season 78 Broadcast Team! See some familar faces? 🏼 #WelcomeBackMgaKuya pic.twitter.com/RxW9GbLY9K
Tue Aug 25 06:10:26 PDT 2015 --  Exam---VBall Training---VBall Game ( #Back2Back)
Tue Aug 25 04:22:02 PDT 2015 --  #Back2Back wins for AAPS!!! JASMS and St.Vincent!!!
Tue Aug 18 06:09:36 PDT 2015 --  ok na sana eh kaso :(( haha #incomplete pic.twitter.com/8VtmaAB9VH
Tue Aug 18 04:47:20 PDT 2015 --  Study Study Study!!!
Sat Aug 15 05:00:10 PDT 2015 --  PM ng PM. tas parang nakakastorbo naman!!!
Thu Aug 13 19:28:14 PDT 2015 --  "This is the part when I say I don't want ya I'm stronger than I've been before" - Ariana Grande.
