Sun Aug 23 09:32:01 PDT 2015 --  Last day of summer but kinda looking forward to school
Sun Aug 23 10:21:32 PDT 2015 --  pic.twitter.com/6bTfKqGpN5
Fri Aug 14 16:08:17 PDT 2015 --  pic.twitter.com/TIysJvsnf9
Tue Aug 04 22:49:35 PDT 2015 --  Everyone has that ONE person they will go back to in the long run
Mon Aug 03 02:27:34 PDT 2015 --  Too much
Thu Jul 30 20:27:49 PDT 2015 --  When you walk in the house from a fun day of adventure and your mama start yelling at you for no reason @myaaalett pic.twitter.com/noynt9f4Ej
Thu Jul 30 20:49:33 PDT 2015 --  #WhatMeekShouldOfSaid pic.twitter.com/cscVBeXUVs
Mon Aug 03 00:09:57 PDT 2015 --  i don't do short term relationships. once you're with me, you're with me forever until i send you a letter of dismissal.
Wed Jul 29 23:20:00 PDT 2015 --  me when i heard @drake's line to @meekmill. pic.twitter.com/mTXV5RYD6O
Wed Jul 29 02:29:38 PDT 2015 --  @MeekMill fuck Nicki man fr , she probably telling you ' dont respond baby ' but texting Drake like ' you killing shit right now '
Wed Jul 29 02:21:28 PDT 2015 --  after hearing Drake's 'Back to Back' pic.twitter.com/WGTuPB59NT
Wed Jul 29 01:12:41 PDT 2015 --  Scary hours.
Tue Jul 28 17:27:04 PDT 2015 --  I fuck with this man @fettywap so hard!! Real af pic.twitter.com/5XMDCHeLvi
Mon Jul 27 06:54:35 PDT 2015 --  Niall / Little Things "YOU SING" - 26/07/15 #OTRAMinneapolis https://vine.co/v/egVIZqe920J 
Mon Jul 27 12:53:29 PDT 2015 --  #OTRAMinneapolis Thank you so much for another amazing concert @onedirection pic.twitter.com/4jdJxVuAsI
Sun Jul 26 20:57:29 PDT 2015 --  Well thanks for ripping my shirt tommo ... What can u do ay aha
Sat Jul 25 19:31:38 PDT 2015 --  People saying charged up is weak but you're supposed to listen to the lyrics not the beat
Sat Jul 25 22:06:47 PDT 2015 --  Charged Up was a perfect strategic move. With a perfect humble beat and a lyrical motive, it just shows he's so unbothered.
Wed Jul 22 18:46:18 PDT 2015 --  Show him the email you sent me on my birthday. If were not 2gthr u shouldnt be questioning me about old shit at all. thats not moving on.
Tue Jul 21 21:53:38 PDT 2015 --  #MeekBeLike don't compare me to MLK ... All them dreams wasn't even his pic.twitter.com/wCCY0hBsvD
Wed Jul 22 10:48:54 PDT 2015 --  Rt to raise awareness pic.twitter.com/IITOJxArxR
Wed Jul 22 11:09:07 PDT 2015 --  Happy birthday Queen , ilysm @selenagomez
Thu Jul 09 20:51:43 PDT 2015 --  Kill em with Kindness........
Tue Jul 21 23:40:44 PDT 2015 --  exactly why I fw this nigga straight OG pic.twitter.com/nvEFffVSJ9
Tue Jul 21 23:58:13 PDT 2015 --  IM DEAD ASF pic.twitter.com/p5pVu6ZiST
