Thu Aug 27 14:18:14 PDT 2015 --  Seems about right. pic.twitter.com/qbNvyAYV4x
Wed Aug 26 10:40:16 PDT 2015 --  صوت واعد لِغَد أفضل تستحق الترشيح ، الأستاذة فاطمة لها فضل عظيم على البلد وأهله .. https://twitter.com/fmsharthy4/status/636532306698571776 …
Tue Apr 28 08:29:35 PDT 2015 --  " لا تجعل العوائق عقبة في طريقك، أجعلها ذريعة لكي تقفز وتصل إلى عنان السماء، المكافحون قد تتأخر مكافآتهم، لكنها حين تأتي .. تأتي فاخرة "
Tue Aug 25 07:30:22 PDT 2015 --  I need a break from my own thoughts.
Mon Aug 24 06:20:47 PDT 2015 --  pic.twitter.com/7Fr3WQEW6Y
Sun Aug 23 00:26:58 PDT 2015 --  pic.twitter.com/SleXqtZXY4
Sat Aug 22 09:33:28 PDT 2015 --  غداً يبدأ عامٌ دراسي جديد، ندعوا الله أن يوفق الطلبة في تحصيل العلم وأن يُسّخروا هذا العلم فيما فيه مصلحة البشرية والوطن.
Sat Aug 22 05:55:24 PDT 2015 --  🏻 pic.twitter.com/qwbaQ6SrG8
Wed Aug 19 21:38:18 PDT 2015 --  اللهم اجعلنا ممن حفظك فحفظته ، وممن استنصرك فنصرته ، وممن استهداك فهديته ، وممن استغفرك فغفرت له ، وممن دعاك فأجبت دعاءه. صباح الخير
Sat Aug 15 22:41:34 PDT 2015 --  انظر إلى نفسك ،، pic.twitter.com/Ytd6RPx8LK
Sat Aug 15 12:08:12 PDT 2015 --  لا تخاف ليس سوانا يفهم ماقد يقال .. أن تخصمنا عسانا نستفيد من الجدال ...
Thu Aug 13 21:14:32 PDT 2015 --  حلوه القناعه pic.twitter.com/vlHtSEpBJ1
Thu Aug 13 02:05:21 PDT 2015 --  معرض هام جداً ، ونأكد على المبتعثين حضوره ، حتى إذا لا زال على مقاعد الدراسة ، التعرف على سوق العمل مهم جداً. https://twitter.com/waadoohaa/status/631748599743819776 …
Thu Aug 13 14:21:24 PDT 2015 --  أتمنى أن أترك كل شيء خلفي وأرحل إلى أبعد نقطة في هذا العالم 🏻
Thu Aug 13 05:27:48 PDT 2015 --  تطورت وسائل التواصل الإجتماعي وتدهورت العلاقات الإجتماعية!! #حقيقة
Thu Aug 13 06:04:14 PDT 2015 --  مختصر الحياة : ﴿ ثم إليهِ ترجعون ﴾.
Tue Aug 11 13:13:24 PDT 2015 --  كل قراراتك اللي تتخذها عشان رضا الله ؛ دائما خلفها اشياء جميله ما تتوقعها.
Tue Aug 11 07:45:53 PDT 2015 --  اللهم إبعد عني كُل تفكير يعرقل أيامي وكُل فكرة تبعثر باقي أفكاري اللهم لا تشغلني إلا بطاعتك يارب.
Mon Aug 10 05:03:32 PDT 2015 --  جنتي . pic.twitter.com/MaIoipfl0h
Sun Aug 02 06:26:46 PDT 2015 --  يارب قرّب الأقدار السعيدة، والأيام الجميلة، وأبعد عنّا ضيق الحياة.
Sat Aug 08 00:21:33 PDT 2015 --  كان مثابرا مجتهدا فى عمله وقد تميز عن أبناء جيله بكاريزما خاصه وثقافة وأناقة . وفاة الإعلامي السعودي سعود الدوسري pic.twitter.com/5KGQfRijt3
Fri Aug 07 01:33:15 PDT 2015 --  خاص جداً.. بعد أجتماع الشيخ طلال الفهد ووزير الإعلام وموافقة الحكومة "كأس الخليج"بالكويت وفي موعدها كما وصلني
Tue Mar 24 08:55:16 PDT 2015 --  احتاج الراحه اللي ف هالمكان pic.twitter.com/s319D8LuGa
Wed Aug 05 12:09:55 PDT 2015 --  اللهم اكفني شر قساوة القلوب وتغير النفوس ولا تجعل لي حاجة عند احد من خلقك اللهم ﻻتحوجني أحد وﻻ تكلني أحد واغنني عن كل احد
Wed Aug 05 02:21:39 PDT 2015 --  احتاج حد ثاني يكمل حياتي
Tue Aug 04 22:18:57 PDT 2015 --  اللهم ما أصبح بي من نعمة أو بأحدٍ من خلقك فـَمِنكَ وحدك ، لا شريك لك ، فلك الحمدُ ولك الشكر.
Sun Aug 02 09:41:18 PDT 2015 --  لا تقارن نفسك بأحد . أنت لديك حياتك وظروفك وأفكارك وشخصيتك وتكوينك الخاصة وأقدارك الخاصة ، افعل الخير والصواب وامضي لا تقارن فتتأخر وتنشغل
Wed Jul 29 12:36:55 PDT 2015 --  من باب العدل والإنصاف إذا قارنت حياتك المادية بالأغنياء ، فقارن دينك بالأتقياء ، ففي الأولى تخسر راحة بالك وفي الثانيه تكسب دينك ودنياك
Sat Aug 01 07:47:37 PDT 2015 --  August, please be nice to me 🏻
Fri Jul 31 17:16:43 PDT 2015 --  غيبواااا
Fri Jul 31 12:10:24 PDT 2015 --  (بعض الشباب العربي أمه تختار له زوجته، وهو يريد أن يختار رئيس دولته) . هو ينفع كده...
Fri Jul 31 01:25:47 PDT 2015 --  اللهم لا تؤاخذنا ان نسينا او اخطأنا.
Thu Jul 30 12:58:05 PDT 2015 --  There's no comfort in the truth, pain is all you'll find #np
Thu Jul 30 02:35:40 PDT 2015 --  pic.twitter.com/Zafk5vFTgB
Thu Jul 30 02:30:27 PDT 2015 --  #حادث_لمعتمرين_عمانيين_بخريص اللهم ارحم من توفي منهم وألهم أهلهم وذويهم الصبر وهون مصابهم وعوضهم خيراً مما أفتقدوه وردهم سالمين للوطن.
Wed Jul 29 09:24:05 PDT 2015 --  اللهم اصرف عنّا ثلاثة اشياء : المرض ، نار جهنم ، عذاب القبر ، وارزقنا : السعاده ، الصحه ، الجنه .
Wed Jul 29 05:06:51 PDT 2015 --  يمكنك أن تخسر نفسك وأنت تحاول إرضاء الجميع، ولكن يمكنك كذلك أن تخسر الجميع لتحاول أن تجد نفسك!
Tue Jul 28 21:28:20 PDT 2015 --  كن على يقين : أن هناك شيء ينتظرك بعد الصبر ليبهرك وينسيك مرارة الألم .. ذاك وعد ربي [ وبشـر الصابرين ]
Tue Jul 28 09:18:55 PDT 2015 --  اللهم إنك عفو كريم تحب العفو فاعف عنا... pic.twitter.com/Il5VelMqNq
Mon Jul 27 11:18:17 PDT 2015 --  عُمان :: الطفلة السعودية زينب محمد لباد تتماثل للشفاء.. وقريبًا استخراج الرصاصة pic.twitter.com/QJYnMMtEyh
Mon Jul 27 10:36:39 PDT 2015 --  فيه ناس مهما سويت لهم وحاولت تحافظ عليهم يظلّون يثبتون لك بتصرفاتهم إنهم فعلًا ناس ما تستاهل.
Mon Jul 27 10:48:14 PDT 2015 --  يارب بحجم جمال جنتك أرنا جمال مستقبلنا وحياتنا وحقق لنا كل ما نتمناه.
Mon Jul 27 05:33:49 PDT 2015 --  ياقـلب انا كـم لـي اعاتبك وانصحك واقــول لـك ياقـلب وانت تعصــاني اتعب على اللى كل ماجيت يفرحك لاتضيـــع ايامــك تــرا العمــر فاني
Mon Jul 27 02:23:24 PDT 2015 --  ربي امنيه واحده .. اقبض روحي وانا ساجده
Mon Jul 27 00:04:48 PDT 2015 --  الصدق،.المحبة، الإنسانية، الجرأة، الإبداع كلمات بسيطة أستطيع وصف بها تأبينة الكاتب سعيد الهاشمي للراحل علي الزويدي http://albaladoman.com/30808 
Sun Jul 26 12:14:18 PDT 2015 --  يارب يسر لي اموري
Sun Jul 26 06:07:18 PDT 2015 --  لا تتوسل لأحد بأن يبقى في حياتك فإن كان يرغب في أن يكون جزءاً منها فسيبقى! #مرايا_المرأة
Sun Jul 05 01:40:03 PDT 2015 --  الحمدلله على كل شيء حدث، الحمدلله على كل شيء لم يحدث، الحمدلله حمداً لا منتهى لحده.
Sat Jul 25 12:30:41 PDT 2015 --  pic.twitter.com/3GQQmMfuKT
Sat Jul 25 07:03:51 PDT 2015 --  يا رب؛ أنت الأعلمُ بقلوب ذَويهم؛ وقدرتك تفوقُ كل شيئ يا قدير، فارجعهم سالمينَ مُعافين🏻. #الغرقى_الإماراتيين pic.twitter.com/a0CWSQfdlN
Sat Jul 25 05:36:51 PDT 2015 --  ههههههه حيوانات والله
Sat Jul 25 01:54:47 PDT 2015 --  بِاسْـمِكَ اللّهُـمَّ أَمـوتُ وَأَحْـيا
