Sat Aug 15 06:26:25 PDT 2015 --  A Cada dia mato um leão.... @Fender @FenderBassPlaye pic.twitter.com/VOsE4ZstCj
Sat Aug 15 06:18:30 PDT 2015 --  #contrabaixo #Fender #Strinberg #Violao #Tagima #Estudo @Fender @tagimabrasil @baixistacombr pic.twitter.com/9u4nzB9fEP
Thu Aug 13 21:21:50 PDT 2015 --  na onda #MasterChefBR, fiz meu jantar: notas do leite acentuada pra dar aroma, mas ñ a ponto de tirar a crocancia. tá pronto meu Sucrilhos.
Mon Aug 10 10:06:25 PDT 2015 --  #fsradiobrasil @Benja97 e o abraço pra Saquarema/rj Rondy Alves
Mon Aug 10 09:41:17 PDT 2015 --  Tbm achuh benja... #fsradiobrasil Pede pro OP mandar um abraço para Saquarema/Rj https://twitter.com/Benja97/status/630773573016227841 …
Mon Aug 10 08:34:46 PDT 2015 --  #jogoaberto agora a zueira ta completa Chegou a galera do debate @RenataBFan @denilsonshow @Ronaldo601
Mon Aug 10 08:17:19 PDT 2015 --  #jogoaberto renata chora nauh....kkkkk
Mon Aug 10 07:12:07 PDT 2015 --  A @RenataBFan hj no #JogoAberto após mais um festival de gols em cima do colorado dela, vai vendo @denilsonshow pic.twitter.com/rG3JQPKn01
Mon Aug 10 07:49:13 PDT 2015 --  #JogoAberto 5x0? Ai papai, 0 loirão chorando eh mais linda
Mon Apr 06 09:22:09 PDT 2015 --  #batebolaenxaqueca A volta do torneio Rio x São Paulo seria uma saida!
Tue Mar 24 09:21:27 PDT 2015 --  #apostabatebola Time grande nauh pode ter um técnico de baixo escalão! Tem q ficar o Cristóvão e contratar jogador
Tue Mar 24 09:13:08 PDT 2015 --  #apostabatebola a aposta pro meu mengo e o Paulinho, voltou muito bem! Ta voando
Mon Mar 23 09:52:10 PDT 2015 --  Atenção amigos de Pilares/RJ!AMANHÃ! Lançamento do CD Da Eternidade, na Livraria Saraiva. Queremos ver todo mundo lá! pic.twitter.com/9nzNp9cFNe
Mon Mar 23 09:57:43 PDT 2015 --  #FSRadioBrasil #FSRLUSAGRANDE SE O TIME TEM HISTÓRIA ELE SE TORNA GRANDE...
