Fri Aug 28 20:11:34 PDT 2015 --  pic.twitter.com/Z7xV81ruON
Fri Aug 28 15:47:20 PDT 2015 --  Guess what Twitter I found out some more information why it was important for them to throw me in the mental hospital ain't that a bitch
Fri Aug 28 15:46:04 PDT 2015 --  My medication early like the doctor told you to do you didn't do nothin special for me you got caught in a lie
Fri Aug 28 15:44:09 PDT 2015 --  Pharmacy please don't ever try to play doctor with me again I will leave you looking stupid like I did but thank you for releasing
Fri Aug 28 15:43:09 PDT 2015 --  Walgreens when I come in there like I always do do not talk to me ignore me because I am going to ignore you because you lied and that hurts
Fri Aug 28 15:42:13 PDT 2015 --  Had a bad fight today with Walgreens but I wan because the doctor overrule pharmacy
Fri Aug 28 15:42:09 PDT 2015 --  On that certain day if your doctor find another problem he wants to prescription feel no matter what I will not accept your apology
Fri Aug 28 15:42:09 PDT 2015 --  Jobs at walgreens toll ally danny got mad when I called him out on his lie it doesn't matter if your prescription says it can't be feel
Thu Aug 27 13:33:09 PDT 2015 --  You accepted your baby Chris a lot of mans won't even do that so I give you props baby boy and so that's the street you and Snoop Dogg
Thu Aug 27 13:10:48 PDT 2015 --  That's a good picture of you can babe
Thu Aug 27 12:59:37 PDT 2015 --  Guess what holly I'll tell the truth on you you are a f****** liar all c_p_s worker done nothing but a liar
Thu Aug 27 12:59:36 PDT 2015 --  You lied on the holly you lied to me places please mississippi with f*** me up my stupid looking damn good see you motherfuckers in court
Thu Aug 27 12:59:18 PDT 2015 --  I heard holly you wanna to be a therapist now . How are you going to do that you nothing but a liar and I will see you in court bitch
Thu Aug 27 12:36:11 PDT 2015 --  SeaWorld the police here were very evil they thank that they are gods that's b******* my Jesus is good
Thu Aug 27 12:33:52 PDT 2015 --  And the best part about it what I have to say is the honesty got roof right she's a bitch bitch
Thu Aug 27 12:33:52 PDT 2015 --  . Where's terry williams sheila she's in out of jail because you would believe n you would believe me we told the truth f*** you
Thu Aug 27 12:33:51 PDT 2015 --  And I miss you you m************ ass bank on that bitch holly sheila betty this bitch come in hard
Thu Aug 27 12:33:51 PDT 2015 --  Cps you had camera tell a lie that she lives in your car that I bought her she neva been home since high life and you know that
Thu Aug 27 12:33:50 PDT 2015 --  I can't wait to tell the truth this santa barbara and shit they are a f****** l
Thu Aug 27 12:33:49 PDT 2015 --  And you know what's up with you probation you know I'm a win money did you f*** me over my kids nama f*** you
Thu Aug 27 10:15:30 PDT 2015 --  pic.twitter.com/hGRsnKUvxd
Thu Aug 27 08:24:38 PDT 2015 --  pic.twitter.com/aBcNJyU0Lw
Thu Aug 27 07:21:21 PDT 2015 --  Okay have to walk some of the kids to the bus stop they look so cute and the other mothers that walk their kids to the bus stop
Thu Aug 27 06:55:47 PDT 2015 --  Oh you look so pretty over here now thanks guys and if I was mean yesterday I'm sorry it's just that I like where I live to look pretty
Wed Aug 26 23:30:40 PDT 2015 --  @Tiyexv Will Smith that was a good movie like all your other movies x
Wed Aug 26 22:55:15 PDT 2015 --  I think I'm running my phone myself I'm not running my phone you guys are
Wed Aug 26 22:46:10 PDT 2015 --  There are all kind of gangsters we are the good gangsters and we love kids we want them to have a chance with life their choice
Wed Aug 26 22:44:59 PDT 2015 --  I've never known a gangster to give up the real them
Wed Aug 26 22:42:43 PDT 2015 --  Will someone please tell me what I need sign in I'm a gangster undercover gangster
Wed Aug 26 21:20:12 PDT 2015 --  We have new policeman and they help me put the baskets away from our complex we have kids that live here and I want their minds to be safe
Wed Aug 26 20:30:24 PDT 2015 --  My mama will be the first one to say when Amazon won stay the hell away from her
Wed Aug 26 20:29:46 PDT 2015 --  I had a hard day today and I don't play when I say don't do this I mean just that don't f*** with me I will destroy your life gangster
Wed Aug 26 08:46:04 PDT 2015 --  Out here with the gardener persian baskets I will put 25 dollars on the condo if I put another basket
Tue Aug 25 13:26:41 PDT 2015 --  @ThePastelW girls and women of my color blue and burgundy is the right color ayWA
Tue Aug 25 10:30:35 PDT 2015 --  Too hot today have to start cooking now fried fish shrimp hot dogs for the kids just kidding no I'm not
Mon Aug 24 19:02:17 PDT 2015 --  Right Rick Ross your new cut is tight taste time for Snoop Dogg
Mon Aug 24 17:20:50 PDT 2015 --  Kelly Rowland singing up in here motivation
Mon Aug 24 08:58:48 PDT 2015 --  Okay I'm going to be making enchiladas for the after school kids only the good ones just kidding the bad ones get to eat too
Sat Aug 22 21:57:22 PDT 2015 --  Make it rain lets get rich together time for the second set of kids right let's go
Sat Aug 22 19:48:02 PDT 2015 --  Alright I'm back at home I had to go to one of my little boys and watch him do the nae nae cuz he's being good in school
Sat Aug 22 16:03:37 PDT 2015 --  Let's face the real truth we're in trouble neither one of those candidates if fit to be President definitely not no woman
Sat Aug 22 13:11:46 PDT 2015 --  Relax everybody I got Chris Brown oh and Nicki Minaj blowing it up in here
Sat Aug 22 13:09:49 PDT 2015 --  Now this is the time that that district attorney that called me a bitch I think maybe this is the perfect time
