Thu Aug 27 06:00:06 PDT 2015 --  Jobodwana set a new national record with a time of 19.87 seconds. #SSAthletics
Thu Aug 27 05:59:48 PDT 2015 --  Bolt, Gatlin & JOBODWANA!!!!!! Amazing pace from the South African to earn a Bronze amongst the world's best!!!
Thu Aug 27 05:59:40 PDT 2015 --  1Bolt 2Gatlin And our own 3Jobodwana.. Breaking the 20 second barrier..1987🏾🏿🏿
Wed Aug 26 12:03:30 PDT 2015 --  Celtic deserve this pirates playing like they mourning zinhle and aka break up.
Tue Aug 25 10:31:59 PDT 2015 --  Dear God, thank you . Amen.
Mon Aug 24 00:30:12 PDT 2015 --  Roger Federer was in stunning form as he beat Novak Djokovic in the Cincinnati final http://skysports.tv/brjhgh  pic.twitter.com/MA8eIoTKyK
Thu Aug 20 05:56:02 PDT 2015 --  Pedro to Chelsea, didn't see this one coming! #done deal. @CphileOceanDeep
Tue Aug 18 04:26:03 PDT 2015 --  We see you treating us like the side dish but its okay, we will work extra hard to be your main. #RelationshipGoals pic.twitter.com/WLJG4ptVXs
Tue Aug 18 04:30:11 PDT 2015 --  Facebook has created a facial recognition technology so advanced that it can tell who a person is by looking at the back of their head.
Mon Aug 17 08:45:46 PDT 2015 --  instagram needs a 'follows you'
Sun Aug 16 09:38:11 PDT 2015 --  Happ¥ Birthda¥ @Toity_Ngidi may u see many more, i hope u having a gr8 one! God Bless.
Sun Aug 16 08:34:27 PDT 2015 --  Kun Aguero doing wat he does best!
Sun Aug 16 08:22:36 PDT 2015 --  Im praying for a draw on this one #MCICHE
Sun Aug 16 08:18:06 PDT 2015 --  Has made some crucial saves
Sun Aug 16 08:17:05 PDT 2015 --  Begovic!!!
Sun Aug 16 08:00:54 PDT 2015 --  Now to watch Man City and the Chelsea game!
Sun Aug 16 08:12:39 PDT 2015 --  Job done for today ... and now let's watch Manchester City vs. Chelsea #CityvChelsea @premierleague
Sun Aug 16 06:41:19 PDT 2015 --  Sanchez!!!
Sun Aug 16 06:33:18 PDT 2015 --  Arsenal need 2more goals
Sun Aug 16 05:59:04 PDT 2015 --  1-1
Sun Aug 16 05:46:21 PDT 2015 --  BOOOOOOM! Now THAT was a goal, Monsieur Giroud. #afc
Sun Aug 16 05:48:01 PDT 2015 --  1-0
Sun Aug 16 05:46:54 PDT 2015 --  Giroud!!!
Sun Aug 16 05:19:13 PDT 2015 --  For a player of his calibre.
Sun Aug 16 05:16:28 PDT 2015 --  He needs to be consistent week in, week out.
Sun Aug 16 05:13:24 PDT 2015 --  Ozil haven't been playing his best football lately
Sun Aug 16 05:11:17 PDT 2015 --  Alexis Sánchez!!!
Sun Aug 16 04:44:16 PDT 2015 --  Nervous. #afc
Sun Aug 16 04:31:01 PDT 2015 --  #AFC XI to face #CPFC: Cech, Bellerin, Mertesacker, Koscielny, Monreal, Coquelin, Ramsey, Cazorla, Ozil, Sanchez, Giroud.
Sun Aug 16 03:38:26 PDT 2015 --  Hard work comes before success, not the other way-round.
Sun Aug 16 03:28:43 PDT 2015 --  Suárez",) https://twitter.com/ChampionsLeague/status/632859869071187968 …
Sun Aug 16 03:12:32 PDT 2015 --  Super Sunday #EPL https://twitter.com/King_Lona/status/632856260719849472 …
Sun Aug 16 03:00:06 PDT 2015 --  Win this prize, smell like a man: http://gq.co.za/2015/08/win-with-gq-and-bentley/ … pic.twitter.com/uziUNeyVdX
Sun Aug 16 03:09:06 PDT 2015 --  Haha! https://twitter.com/City_Press/status/632854667442155520 …
Sun Aug 16 03:03:12 PDT 2015 --  Nothing better.
Sun Aug 16 02:53:52 PDT 2015 --  Haha! https://twitter.com/King_Lona/status/632852437917900801 …
Sun Aug 16 02:47:06 PDT 2015 --  Know Yourself.
Fri Aug 14 05:26:17 PDT 2015 --  . @Kaizer_Chiefs is playing @Bloem_Celtic in the #MTN8 semi-final on Sunday. Which team will win? pic.twitter.com/3dhN2iRGT8
Fri Aug 14 02:20:29 PDT 2015 --  130 000 downloads in 3 hours!! - Mama I Made it!!! Free link- Only up for a day so get it quick!!! Click here: http://www.datafilehost.com/d/13f7fc4c 
Fri Aug 14 00:45:16 PDT 2015 --  I'm really excited about the Upcoming Album....Thank you GOD for Blessing me with an Ear for Music🏿🏿🏿🏿🏿
Tue Feb 24 13:50:25 PST 2015 --  Reporter: "What is it about Suarez and England sides?" Hart: "What did they pay for him? £80m? What do you expect?" pic.twitter.com/ibW8aZcOa5
Tue Feb 24 13:39:21 PST 2015 --  Messi's face turned red after missing that penalty
Tue Feb 24 13:39:26 PST 2015 --  #UCL - RESULT: Man City got one back but finished with 10 men. Messi missed a last minute penalty! #SSFootball pic.twitter.com/ObvqOaHoxM
Tue Feb 24 12:25:40 PST 2015 --  Dejavu for Hart... #uefa
Tue Feb 24 12:19:07 PST 2015 --  Suarez is on Fire!!!
Sun Feb 22 02:05:33 PST 2015 --  God is at work in your life right now. He is directing your steps. What you thought was a setback is going to turn out to be a setup.
Sun Feb 22 02:01:56 PST 2015 --  The British invented a sport that goes on for five days, clearly to be enjoyed by the unemployed. #cricketforwho
Tue Aug 19 06:35:56 PDT 2014 --  Tweeps",)
Fri Jul 04 09:00:55 PDT 2014 --  Smiling helps boost the immune system.The body relaxes and is better able to fight off the flu and colds.
Thu Jul 03 23:00:22 PDT 2014 --  Never apologize for being who you are.
Thu Jul 03 22:50:11 PDT 2014 --  Germany midfielder Toni Kroos on potential Real Madrid move says: "Nothing is decided" http://bit.ly/1lD6TP2  #SSFootball
Thu Jul 03 22:49:45 PDT 2014 --  "The only person you should try to be better than is the person you were yesterday..."
Fri Jun 06 01:31:49 PDT 2014 --  Morning Tweeps",)
Thu May 29 23:42:08 PDT 2014 --  I posted a new photo to Facebook http://fb.me/3c9LSTMXp 
Thu May 29 23:32:24 PDT 2014 --  I posted a new photo to Facebook http://fb.me/6zlvoBWHR 
Wed May 28 21:37:18 PDT 2014 --  Don't open a shop unless you like to smile. ~ Chinese Proverb #MorningWorld #GodIsLove #ProductiveDayToAll
Mon May 26 22:06:51 PDT 2014 --  " @BigSean: I was in LA Wednesday, Detroit Thursday, Paris Friday, Italy Saturday, Vegas Sunday and back in the studio today."
Mon May 26 22:20:42 PDT 2014 --  You can do anything in the world except 'not do it'! A Good morning to every1, have a gud 1",)
Mon May 26 22:18:35 PDT 2014 --  So early in the morning RT"@Mihlali_Ndamase: I'm so tired☹"
Mon May 26 22:12:49 PDT 2014 --  Haha count down already! RT" @Tkay_Mthembu: 3 more days till the weekend "
Sun May 18 05:39:34 PDT 2014 --  Here's what all the fans have come to see - the team lifting the FA Cup! #GunningForTheCup pic.twitter.com/EQT9Fn0nAX
Sun May 18 05:46:01 PDT 2014 --  That's all from our live coverage of today's parade. Thank you so much for your fantastic support #GunningForTheCup pic.twitter.com/sktaLxNrYJ
Sat Mar 15 03:24:00 PDT 2014 --  Looking forward 2 it
Sat Mar 15 03:22:51 PDT 2014 --  Soweto Derby
Sat Mar 15 01:34:15 PDT 2014 --  Since 1985 in League @Orlando_Pirates and @Kaizer_Chiefs have played 56 times, Chiefs 22 wins, Bucs 12 wins, Draws 22 ...Bosso ke Mang?
Sat Mar 08 00:22:11 PST 2014 --  Hey u @___Akhona_
Fri Feb 21 08:08:35 PST 2014 --  I posted a new photo to Facebook http://fb.me/3hWxEDnsQ 
Thu Feb 20 21:07:15 PST 2014 --  Word! RT" @Zizipho_Zee: Straight talk breaks no friendship."
Thu Feb 20 21:05:06 PST 2014 --  Ey Thandakab' u fridae RT" @Tkay_Mthembu: Friday finally "
Thu Feb 20 20:58:40 PST 2014 --  Good Morning!
Sun Feb 16 01:31:48 PST 2014 --  Don't be sad bcoz of some1 who's elsewhere enjoying life & happy without u. There r more things 2 stress about in life. Happy Sunday 2 u
Wed Jan 29 07:04:49 PST 2014 --  Can't wait for @LarsLB on @Hit_Refresh this friday!!! Talkin' abt GoOd Music
Sat Jan 18 09:02:22 PST 2014 --  2:0 - still on the Top. Thanks all.
Thu Jan 16 15:12:02 PST 2014 --  I posted a new photo to Facebook http://fb.me/Zg3lNHDl 
