Fri Aug 21 17:15:41 PDT 2015 --  Y así nos fuimos ignorando hasta convertirnos en dos desconocidos con recuerdos en común.
Fri Aug 21 17:00:49 PDT 2015 --  Eat pussy for dinner. It's calorie free!
Fri Aug 21 14:32:40 PDT 2015 --  LA ÚNICA MUJER QUE SABE CON CERTEZA DONDE ESTÁ SU MARIDO ES LA VIUDA. :P
Thu Aug 20 09:35:15 PDT 2015 --  ¿Estás listo para las emociones que vendrán el fin de semana en la #J6AP2015?. Aquí está la relación de partidos... pic.twitter.com/IGyQousSPF
Sat Aug 15 09:54:25 PDT 2015 --  Ese momento cuando te encuentras a tu ex en el gym y te preguntas: ¿Por qué está haciendo cardio? Si esa pendeja no tiene corazón.
Tue Aug 11 18:34:57 PDT 2015 --  #MotionlessInWhite #MIW #Puppets .l. https://instagram.com/p/6Q9tPkhrsN/ 
Tue Aug 11 17:12:23 PDT 2015 --  “Veo que todavía me extrañas”. —Las vacaciones.
Sat Aug 08 12:09:45 PDT 2015 --  ¡Vamos Fiera, Carajo! Por otro triunfo en la @LIGABancomerMX. #VolveremosARugir pic.twitter.com/huY7G9AmAH
Fri Aug 07 08:15:58 PDT 2015 --  Imperdonable que te pierdas uno solo de los partidos que hay este fin de semana. Esta es la #J3AP2015 #SienteTuLiga pic.twitter.com/1GKzPIaZF8
Thu Aug 06 14:39:01 PDT 2015 --  Galería #Deportes El PSG tiene un nuevo Ángel, de apellido Di María - El París Saint-Germain hizo oficial este j… http://elsiglo.mx/i10113 
Wed Aug 05 15:50:33 PDT 2015 --  Con este balón se jugará el partido de vuelta de la gran final de la #LibertadoresxFOX. pic.twitter.com/CljQXiU4PG
Sat Aug 01 20:08:02 PDT 2015 --  Chivas es el último en el descenso JAJAJAJAJAJAJAJA #ChiVasADescender
Thu Jul 30 11:14:56 PDT 2015 --  ¡Van los partidos con horarios y televisoras para el fin de semana! ¿Contra quién vas? pic.twitter.com/u4gZDDTeZc
Thu Jul 30 10:25:42 PDT 2015 --  Detienen al padre del futbolista Arturo Vidal con armas y drogas http://cnn.it/1gquOXr  pic.twitter.com/bU5RG7ih1J
Tue Jul 28 11:30:43 PDT 2015 --  Relación de Partidos de la Jornada 2 // http://www.ligamx.net/cancha/detallenoticia/11988 … pic.twitter.com/PxclrFEoCw
Tue Jul 28 11:16:47 PDT 2015 --  Miguel Herrera deja de se el DT de @miseleccionmx otro proceso que no se concluye y éste se corta mas por temas extra cancha.
Tue Jul 28 11:04:46 PDT 2015 --  Esta pinche mamada que pic.twitter.com/zXWySFRbKt
Tue Jul 28 10:54:01 PDT 2015 --  Galería #Deportes Arturo Vidal se pone la 'armadura' del Bayern Munich- La gran estrella de la última Copa Améri… http://elsiglo.mx/i10060 
Mon Jul 27 14:36:01 PDT 2015 --  Iglesia impide a transexual ser padrino en bautizo http://cnn.mx/n002J0J 
Mon Jul 27 14:31:06 PDT 2015 --  Los golpes del Piojo son más fuertes que los que tú me diste en mi corazón. #FueraPiojoDelincuente @BullyingFutbol
Mon Jul 27 13:56:34 PDT 2015 --  —¿Pasaste el examen de Química? —NaH, ni de Bromo —¿Estaba difícil? —Cloro que sí, la verdad Nitrato de hacerlo. —Gracias —Ácido un placer.
Mon Jul 27 07:37:08 PDT 2015 --  El Piojo cumplió el sueño de cualquier mexicano, darle un putazo a un argentino.
Sun Jul 26 19:10:24 PDT 2015 --  #Ayotzinapa10meses: una marcha en el DF exige respuestas y justicia http://cnn.mx/n002J04  pic.twitter.com/qIJeuLecau
Sun Jul 26 19:10:11 PDT 2015 --  Felicidades @miseleccionmx ! Demostraron hoy #DeQueEstanHechos pic.twitter.com/cbBIEdYumm
Sun Jul 26 16:09:48 PDT 2015 --  Sí, al 'nachoequipo' lo está HUMILLANDO... ¡Puebla! 4-1 favor La Franja
Sun Jul 26 16:08:48 PDT 2015 --  JAJAJAJAJA No mames 4-1
Sun Jul 26 15:42:17 PDT 2015 --  Esta es la alineación @CocaColaMx con la que enfrentaremos a @ItsTheJFF en la final de la @GoldCup. #BotellaCocaCola pic.twitter.com/HiqKcjmep9
Sun Jul 26 15:43:21 PDT 2015 --  JAJAJAJA La vergüenza de la jornada es el América
Sun Jul 26 15:29:37 PDT 2015 --  Mi ex como el América, fácil de metérsela.
Sun Jul 26 15:13:10 PDT 2015 --  Que huevos de Ambriz de mandar a Darwin a la banca con tantas ausencias y siendo el fichaje más caro de América.
Sat Jul 25 20:58:15 PDT 2015 --  #Final SAN 1 - 3 LEÓN | ¡Triunfo del @ClubLeonFC en el TSM! pic.twitter.com/zNJZNdsraR
Sat Jul 25 20:56:03 PDT 2015 --  #SANvsLEO | #J1 | #AP15 Marcador Final: #VolveremosARugir pic.twitter.com/1bB7pFMWES
Sat Jul 25 20:56:11 PDT 2015 --  #VideoGol SAN 1 - 3 LEÓN | El tercero del @clubleonfc fue de @mauroboselli 🏼️ pic.twitter.com/KN2vYooLrw
Sat Jul 25 20:53:57 PDT 2015 --  #VideoGol SAN 1 - 3 LEÓN | ¡Golazo del @G27Gullit! pic.twitter.com/ANh0jIWlM5
Sat Jul 25 19:51:15 PDT 2015 --  #VideoGol SAN 0 - 1 LEÓN | Imparable ese penal de @mauroboselli. Golazo pic.twitter.com/c4UsIqNBA4
Fri Jul 24 14:35:24 PDT 2015 --  Odio acostumbrarme a hablar con una persona por muchas horas, porque cuando dejo de hacerlo siento que me falta algo.
Fri Jul 24 08:30:38 PDT 2015 --  ¡Hoy hay fútbol! pic.twitter.com/6R5bwzVXSZ
Thu Jul 23 17:35:14 PDT 2015 --  El peor sentimiento es pretender que no te importa algo, cuando en realidad es en lo único que piensas.
Wed Jul 22 17:04:52 PDT 2015 --  @BullyingFutbol Ahi esta tu #LlamadoAguila pic.twitter.com/4LaZGFWAOy
Wed Jul 22 16:57:36 PDT 2015 --  Termina el encuentro @ussoccer se queda en el camino y @ItsTheJFF está en la Final de #CopaOro http://gol.am/1IjrWWx  pic.twitter.com/iAnsysxPUa
Wed Jul 22 16:56:18 PDT 2015 --  ¡Termina el partido! Jamaica sorprende 2-1 a Estados Unidos y avanza a la Final de la Copa Oro http://goo.gl/SVSlQZ  pic.twitter.com/EtwDmNb79e
Mon Jul 20 05:37:21 PDT 2015 --  Peña regresó relajado de Francia, dice que nada se resolverá si nos enojamos por fuga del Chapo. https://youtu.be/lmnTMBAwUzc  vía @YouTube
Wed Jul 15 11:45:00 PDT 2015 --  :'( https://instagram.com/p/5KtVEAhrgz/ 
Tue Jul 14 15:27:20 PDT 2015 --  #LosMinions #GearsOfWar #Minions https://instagram.com/p/5Ih-iuhrvJ/ 
Fri Jul 10 18:43:07 PDT 2015 --  Para ella ni siquiera existo
Fri Jul 10 15:20:04 PDT 2015 --  #fresco (8) https://instagram.com/p/4-N962hro9/ 
Wed Jul 08 18:29:29 PDT 2015 --  :} https://instagram.com/p/45aDchhroG/ 
Tue Jul 07 20:08:48 PDT 2015 --  8( https://instagram.com/p/43An_7hrq5/ 
Thu Jul 02 19:33:23 PDT 2015 --  Te entiendo chichadios 8( https://instagram.com/p/4qEmNahrtp/ 
Wed Jul 01 19:37:15 PDT 2015 --  Así veremos a Chichadios en la Copa Oro pic.twitter.com/DI2bFPEKnT
Tue Jun 30 16:57:46 PDT 2015 --  Se lesionó Roque Santa Cruz, COMO SIEMPRE.
Mon Jun 29 17:44:35 PDT 2015 --  Otra vez 8( https://instagram.com/p/4iJwvAhrit/ 
Mon Jun 29 10:26:22 PDT 2015 --  Fresco (8) https://instagram.com/p/4hXnH5hrlL/ 
Sat Jun 27 13:42:17 PDT 2015 --  (8) https://instagram.com/p/4ckcWxhrmh/ 
Wed Jun 24 11:55:38 PDT 2015 --  No hay que hacer estupideces 8( pic.twitter.com/cgssV5Nxc5
Wed Jun 24 11:12:42 PDT 2015 --  Otro corazón roto, ahora solo es un recuerdo...
Sun Jun 07 20:10:09 PDT 2015 --  Me paso las noches pensando en lo que perdí, en que falle?
Sun Jun 07 19:37:08 PDT 2015 --  8} #happy #follow https://instagram.com/p/3ptJ1yBrmo/ 
Mon Jun 01 18:51:56 PDT 2015 --  Sinematic...♪ https://instagram.com/p/3aLNe4BrlL/ 
Mon Jun 01 14:58:40 PDT 2015 --  Sinematic...♪ https://instagram.com/p/3Zwg3vhrqB/ 
Sat May 30 12:51:29 PDT 2015 --  Anhelo un amor que se que no puedo tener... </3 https://instagram.com/p/3UYXwfBrra/ 
Sun May 03 19:05:02 PDT 2015 --  Cuando la presión está al límite, define con agilidad letal. #Hypervenom Intense Heat Pack: http://gonike.me/MX_Hypervenom_Heat … pic.twitter.com/IwvCZHiOtr
Wed Apr 29 19:37:51 PDT 2015 --  (8) https://instagram.com/p/2FSO-cBrjf/ 
Sat Apr 25 15:55:10 PDT 2015 --  And nothing else matters... ♪ https://instagram.com/p/16lkcGBrgl/ 
Thu Apr 23 20:10:00 PDT 2015 --  Se que algún día me buscaras...
Wed Apr 22 13:57:03 PDT 2015 --  #HalaMadrid ;) https://instagram.com/p/1ypqj_BriZ/ 
Wed Apr 22 10:21:19 PDT 2015 --  #HalaMadrid 8) https://instagram.com/p/1yQ-sohrh7/ 
Sat Apr 18 17:14:51 PDT 2015 --  Alabando al puto amo. pic.twitter.com/9Uj1oa6gPc
Sun Apr 12 07:33:36 PDT 2015 --  Perdí mi dignidad al mandarte ese último mensaje pero tu perdiste a alguien que en verdad te quería...
Sun Apr 05 07:05:57 PDT 2015 --  Real Madrid apabulló ¡9-1! al Granada con ¡CINCO goles! de Cristiano Ronaldo pic.twitter.com/KPyEIucmqD
Sun Apr 05 06:25:17 PDT 2015 --  Happy to have scored 5 goals with this excelent team work. Thank you for all your support. ... http://www.sportlobster.com/post/548124/happy-to-have-scored-5-goals-w.html … pic.twitter.com/UI6FbpoNuj
