Wed Aug 26 09:00:10 PDT 2015 --  And now he kills himself? What a coward. #smh
Sun Aug 23 21:03:01 PDT 2015 --  Are you getting any of my text @swords_vicki ?!?!
Sun Aug 23 20:54:16 PDT 2015 --  Update on my weekend: he's home and i still want to rip his throat out
Sun Aug 23 19:04:21 PDT 2015 --  This employee drink fest at work is gonna end one way #dayoffparty
Sun Aug 23 16:24:43 PDT 2015 --  Nothing says love like helping your boyfriend glue his face back together even if your still royally angry with him
Sun Aug 23 15:56:25 PDT 2015 --  Home. pic.twitter.com/bWNQvLFNBB
Sun Aug 23 15:18:35 PDT 2015 --  Am I the only one who refers to the frozen drinks at DQ as Mr. Misty's?
Sun Aug 23 11:18:19 PDT 2015 --  Who else has today off besides me & @mmiller0518 ?!
Sun Aug 23 11:12:36 PDT 2015 --  After a long fucking work week with A LOT of doubles I finally got a day off. And this is my survival trophy pic.twitter.com/Yg4NEpDgMR
Sat Aug 22 07:49:47 PDT 2015 --  Hopefully just twelve more hours than the week of hell ends. Finally get a day off. Everyone should probably prepare their livers
Thu Aug 20 10:10:17 PDT 2015 --  Currently dying at work from really awful uti pain. send help.
Tue Aug 18 12:52:56 PDT 2015 --  waiting on Gaga’s new album like pic.twitter.com/gBEMn5e42l
Mon Aug 17 14:52:22 PDT 2015 --  "Thurst you have glitter on you"- me "Impossible. I haven't seen @vodkamau5 in a week" - @CTHURST25
Mon Aug 17 10:59:07 PDT 2015 --  Margarita Monday is happening @CTHURST25 @zellephant13 @mmiller0518 & #twitterlessmike
Sat Aug 15 21:04:39 PDT 2015 --  The anal rape that was work tonight.
Thu Aug 13 18:05:02 PDT 2015 --  This video of the Tianjin Explosion. Holy. Hell. http://www.liveleak.com/view?i=0e5_1439474009 …
Wed Aug 12 20:32:18 PDT 2015 --  Found some more nope material for @swords_vicki the one and only @bsped & @TorriBreeAnna
Wed Aug 12 20:14:16 PDT 2015 --  Where the fuck is @vodkamau5 ?!?!!!
Tue Aug 11 19:51:50 PDT 2015 --  THEY MADE STRING CHEESE FOR CATS @HazelL0ver!!! STRING CHEESE!!! FOR CATS!!!!!! pic.twitter.com/T2O9bGydJC
Mon Aug 10 13:24:15 PDT 2015 --  Went to the pound thinking we may get a puppy, ended up with a new kitten. Life.
Mon Aug 10 12:03:41 PDT 2015 --  Trapped in a hot car while my boyfriend listens to awful country music. This is my hangover nightmare.
Mon Aug 10 10:19:16 PDT 2015 --  I forgot what going out with @vodkamau5 felt like the next day
Sun Aug 09 09:02:53 PDT 2015 --  Also, it's noon on my day off and I'm not drunk yet. You're welcome society.
Sun Aug 09 08:59:25 PDT 2015 --  Why is Jerome Bettis's hall of fame speech making me cry like a little girl?
Fri Aug 07 15:25:13 PDT 2015 --  I told her not to cut too much off the top. pic.twitter.com/1qmC28O6Ev
Fri Aug 07 11:37:17 PDT 2015 --  Going to work while trying to take this super strong cough medicine is gonna work out swell im guessing #codeinezombie
Thu Aug 06 20:36:50 PDT 2015 --  "After tonight's Republican debate..." #JonVoyage #FallonTonight pic.twitter.com/9Rxwhfm4g4
Thu Aug 06 20:33:37 PDT 2015 --  I really don't know how I'll make it thru another election without Colbert/Stewart
Thu Aug 06 20:27:01 PDT 2015 --  Damn you, Colbert
Thu Aug 06 18:40:12 PDT 2015 --  Well that lasted long....my cat is such a cunt sometimes. #butshessoprecious https://instagram.com/p/6EGVSPtmF3/ 
Thu Aug 06 18:33:37 PDT 2015 --  I have excellent care takers while sick #fiona #nelson #kingandqueen #catsofinstagram https://instagram.com/p/6EFlC9NmEj/ 
Thu Aug 06 12:20:20 PDT 2015 --  Being home sick blows but this Daily Show marathon is helping just a bit
Wed Aug 05 07:45:58 PDT 2015 --  
Tue Aug 04 23:18:49 PDT 2015 --  Haven't been actually sick in a while, but right now I feel so awful I wanna cry
Tue Aug 04 21:05:53 PDT 2015 --  Dicks like Jesus @diktorwarcock @CTHURST25 @AshtonR3 ..mahhh dick ..yo dick
Mon Aug 03 21:20:11 PDT 2015 --  Such a weird thing when your 'at home' bedroom no longer feels like home.
Mon Aug 03 11:10:32 PDT 2015 --  Bae pic.twitter.com/g9m5Ziz7qe
Sat Aug 01 10:30:15 PDT 2015 --  Former WWE personality Jonathan Coachman on the monumental impact "Rowdy" Roddy Piper had on the wrestling world: http://es.pn/1IAc5Dl 
Fri Jul 31 08:49:24 PDT 2015 --  "What the fuck is this? The biggest fucking lemon ever" - @teekthefreak "that's a orange Tyler." Bahahaha
Fri Jul 31 08:21:23 PDT 2015 --  Get wasted before a double they said. It'll be easy they said. 21 minutes in and I'm already over it.
Wed Jul 29 12:56:52 PDT 2015 --  If you actually want to eat outside in this horrible heat. I question your sanity. #idontwannagotowork #toohot #nope
Wed Jul 29 11:00:39 PDT 2015 --  Interesting. Loki vs. Voldemort. pic.twitter.com/mJ4nQ7wHEG
Wed Jul 29 10:42:52 PDT 2015 --  Imagine how good the Pirates would be if we still has Russell Martin
Tue Jul 28 14:45:01 PDT 2015 --  cat vs. ant https://vine.co/v/hgBgJd9wwaJ 
Tue Jul 28 12:05:24 PDT 2015 --  Don’t forget that killing a lion is the most cowardly thing you can do http://bzfd.it/1IqAlrs 
Mon Jul 27 19:35:57 PDT 2015 --  Goodbye 250, Hello 40. What a wild & weird weekend it's been moving everything from a three story… https://instagram.com/p/5qcw6vNmBC/ 
Mon Jul 27 18:58:24 PDT 2015 --  I mean is it really decorating a new house unless you drink a bottle of rumpleminz while doing so
Sat Jul 25 12:55:44 PDT 2015 --  But I don't wanna go to work
Fri Jul 24 20:03:22 PDT 2015 --  So when's the festival that brings in civilized, well tipping, responsible adults?
Fri Jul 24 11:38:11 PDT 2015 --  I loath mountain fest
Tue Jul 21 20:59:38 PDT 2015 --  Where's @CTHURST25 at???!!!
Tue Jul 21 20:59:05 PDT 2015 --  Where oh where is mister @tweetlessrist
Tue Jul 21 15:01:20 PDT 2015 --  Just to let the world know, @mmiller0518 is allergic to peanuts and throwing ANYTHING away!! #packrat
Mon Jul 20 19:35:17 PDT 2015 --  Is anyone doing anything tonight?!? I'm bored guys
Mon Jul 20 05:35:45 PDT 2015 --  6 years?!? How is this even possible @michaelajo10 @mountaineer_rn care_park21 https://instagram.com/p/5W7C_TNmFh/ 
Fri Jul 10 20:51:56 PDT 2015 --  Pay me what you owe me pic.twitter.com/O2VgQ2OsoI
Wed Jul 15 18:51:42 PDT 2015 --  Yo what's up with Kendall Jenner going all in on Brody Jenner's dick piece? pic.twitter.com/xXvW0EWdnM
Wed Jul 15 11:41:40 PDT 2015 --  Riddle fam representing #nephew #slytherin https://instagram.com/p/5Ks8sVtmJo/ 
Wed Jul 15 10:10:34 PDT 2015 --  Still dealing with the fact I'm not in this place anymore #takemeback #realworldsucks https://instagram.com/p/5KihaftmGH/ 
Wed Jul 15 09:15:33 PDT 2015 --  Hey friends. We need somewhere to move to ASAP. 2 bedroom, the bigger the better. Any suggestions would be wonderful =)
Tue Jul 14 19:56:04 PDT 2015 --  MLB honors the 'Greatest Living Players' except the greatest living player http://usat.ly/1O5crlp 
