Tue Aug 25 15:48:22 PDT 2015 --  giving away a BO3 BETA code retweet and follow to enter
Tue Aug 25 15:48:01 PDT 2015 --  BO3 BETA CODE GIVEAWAY GOT 2 FRIEND TOKENS RETWEET TO ENTER MUST FOLLOW @ZHSlayerr :) Good Luck #BO3Beta #BO3 #blackops3beta #giveaway
Tue Aug 25 15:45:07 PDT 2015 --  I have one more friend token bo3 beta code available.
Tue Aug 25 15:36:16 PDT 2015 --  Giving away Bo3 beta code Follow and retweet to win
Tue Aug 25 15:35:40 PDT 2015 --  Who needs a BO3 beta code? I'm giving 2 away, favourite if you want one ill DM you it
Tue Aug 25 15:31:58 PDT 2015 --  Insane_Bale: RT AudacityRelease: RT to win a BO3 BETA code at 12am midnight. MUST be following Have 2 to give away Winner will be chosen…
Tue Aug 25 15:38:32 PDT 2015 --  https://twitter.com/UltraiRoNiC/status/636304669132881920 … 3 more minutes to enter Rt and Follow only way to be entered for BO3 Beta Code
Tue Aug 25 15:38:35 PDT 2015 --  I will be giving away a #bo3betacode in 10 Mins!
Tue Aug 25 13:55:00 PDT 2015 --  I HAVE A SPARE BO3 BETA CODE AND IT STARTS FOR XBOX ONE IN 2 HOURS FAV FOR A CHANCE TO WIN
Tue Aug 25 15:31:55 PDT 2015 --  MLGMONGO: RT MESMiggy: RT to win a BO3 X1 Beta Code!! Giving away at 7 PM, EST. Must be following me.
Sat Aug 22 15:40:00 PDT 2015 --  Amazing!
Sat Aug 22 14:08:34 PDT 2015 --  Giving away a 12 Month Xbox Live Card & a 20$ PSN Card. To ENTER: Follow us & RT this tweet . Good Luck <3 Ends Next Week .
Sat Aug 22 15:30:14 PDT 2015 --  I want to win the @ASUS ZenPad 8.0 Tablet #giveaway at #FeistyFrugal! CDN/US http://feistyfrugalandfabulous.com/2015/08/asus-zenpad-8-0-luxury-on-your-terms-giveaway/ …
Sat Aug 22 15:30:08 PDT 2015 --  Galaxy Note 5 International Giveaway! https://wn.nr/Y4wmH 
Sat Aug 22 10:43:11 PDT 2015 --  JoshSmith2415: RT Theappleattack: Anyone want some more #bemecodes ? I've got a lot more! Just follow this account and RT to win! Then comm…
Wed Aug 19 19:03:29 PDT 2015 --  Anyone have a spare bo3 code tweet and I'll dM u
Wed Aug 19 15:27:56 PDT 2015 --  Selling black ops3 beta code follow and dM
Wed Aug 19 14:08:34 PDT 2015 --  Here's 2 BO3 Beta codes for anyone who wants to play! I have a few more so RT if you want 'em ;) pic.twitter.com/qNBengdZTb
Wed Aug 19 14:10:44 PDT 2015 --  I'm doing a giveaway of beta codes send in extras so I can give away more
