Tue Aug 25 15:31:25 PDT 2015 --  Goodbye NYC. I'm now flying to LA & then back home to Australia.
Tue Aug 11 20:02:01 PDT 2015 --  Cristiano Ronaldo in GTA pic.twitter.com/iqc7EFTxlC
Mon Aug 10 11:00:19 PDT 2015 --  RT and follow myself and @KonamiUK to be in with a chance of winning PES 2016 on any format! Ends near release date pic.twitter.com/E38uDPHFX5
Tue Aug 04 10:26:02 PDT 2015 --  when u hold the mcdonalds bag and eat fries out of everyone else’s then get home and take the one with the most fries pic.twitter.com/g0midlKzYY
Tue Jul 28 10:34:03 PDT 2015 --  Giving away 3x copies of FIFA 16. 3 winners will be picked on Sunday the 16th of August. RT & Follow to enter!!! pic.twitter.com/XMSjM0IPvw
Thu Jul 23 12:29:05 PDT 2015 --  Giving away 2 copies of FIFA 16 lads.. Simply RT + Follow to enter! Winners picked two weeks from today! pic.twitter.com/9RNE4LjRGU
Mon Jul 20 11:55:57 PDT 2015 --  RETWEET FOR A CHANCE AT A COPY OF FIFA 16!!!! wooooooooooooooo :D http://twitch.tv/castro_1021  @twitch pic.twitter.com/UuLrYfrq7O
Sat Jul 04 15:47:40 PDT 2015 --  Pretty sure Argentina still get the prize, since they had more shots, right, @EASPORTSFIFA ?
Thu Jun 25 15:54:26 PDT 2015 --  Go with your gut James pic.twitter.com/PQ7wg4edEt
Wed Jun 24 11:00:09 PDT 2015 --  RT for a chance of winning a signed #Messi top and boots. Happy birthday to the maestro! #FIFA16 pic.twitter.com/KQmmyrGeV2
Sun Jun 14 12:05:36 PDT 2015 --  Win TOTS Neymar/Suarez/Messi on FUT15! Follow & RT to enter, winners drawn on Sun 21st June http://www.futwiz.com/en/news/article/tots-la-liga-triple-chance-giveaway/169 … pic.twitter.com/FThwRCZXzW
Sat Jun 20 06:54:13 PDT 2015 --  If you wanna be in with a chance to win a "Super Deluxe Edition" of #FIFA16 on any console simply RT/Follow :) pic.twitter.com/6lMefLcfrD
Sat Jun 13 16:35:00 PDT 2015 --  Yeah cause 9/11 sure was "special" and "amazing" pic.twitter.com/r3VVak8H3x
Sat Jun 06 15:17:18 PDT 2015 --  Fancy winning MOTM Rakitic? RT + follow, we'll pick one lucky winner in about an hour, open to anyone on Xbox/PS/PC! pic.twitter.com/A1QPqSHGrm
Tue Jun 02 09:52:49 PDT 2015 --  RETWEET if you are glad Sepp Blatter has finally gone pic.twitter.com/8h9cowZpXb
Sun May 31 07:15:34 PDT 2015 --  Any news on lowering price ranges for all the TOTS cards @EASPORTSFIFA @ChuBoi ? Getting sick of staring at these 17 Hendersons xD
Tue May 26 22:44:03 PDT 2015 --  Twitter på en helt ny facon! https://twitter.com/oz1gpc4/status/603428606879133696 …
Wed May 13 14:14:00 PDT 2015 --  Pretty sure they're paper towels Dwayne.. pic.twitter.com/PjMcWCEFOo
Thu May 14 06:11:59 PDT 2015 --  How the fuck does she fold towels? http://twitter.com/Cunt_Watchers/status/590970469500747778/photo/1pic.twitter.com/iphmjhO3Ws 
