Thu Aug 27 17:24:44 PDT 2015 --  Lindoh como sempre arassando e pisando na cara dos inimigos rs #bieldemoro
Wed Aug 26 15:38:03 PDT 2015 --  O tempo é o inimigo da perfeição!!♡♡
Wed Aug 26 09:34:09 PDT 2015 --  Quando colocar uma legenda e uma foto bote de acordo com a legenda e a foto cansei de vcs colocarem errado https://twitter.com/yahoodobrasil/status/636567950162575360 …
Wed Aug 26 09:31:13 PDT 2015 --  Ela encanta qualquer um o teu sorisso faz vc se apaixonar seu beijo desperta um desejo de querer mas!!
Tue Aug 25 19:11:46 PDT 2015 --  "Todas as festas que a gente ia, a gente ficava", revela @dessaurach sobre as relações com o próprio irmão #Gugu pic.twitter.com/Of3ELCutmd
Sun Aug 23 08:09:58 PDT 2015 --  Engraçado é que eu consigo me iludir com meus próprios pensamentos.
Mon Aug 24 20:48:58 PDT 2015 --  Tudo é vdrr pic.twitter.com/aT3iBaumPf
Mon Aug 24 19:56:11 PDT 2015 --  Eu aqui dançando juntinho com a Xuxa #XuxaNaRecord
Mon Aug 24 18:30:34 PDT 2015 --  #IrmaosRochaNoCQC
Sun Aug 23 07:28:35 PDT 2015 --  Faz uma serenata kkkkkkkkkk https://twitter.com/1psicopatafeliz/status/635454563022204928 …
Sat Aug 22 19:15:04 PDT 2015 --  O Gus como sempre perfeito #brothersrochanolegendarios
Sat Aug 22 18:54:08 PDT 2015 --  Ai eu digo eu amo o Gus pq até a tela de bloqueio tem ele #arassou pic.twitter.com/vgFSmw9Yc2
Sat Aug 22 17:24:44 PDT 2015 --  Do grupo vermelho #programaDaSabrina
Sat Aug 22 07:41:54 PDT 2015 --  Enquanto tem gente achano isso bonitinho eu acho bonitinho mesmo é me da uma Halls pic.twitter.com/6pTEpGkD0L
Wed Aug 19 13:00:55 PDT 2015 --  Eu vou ficar bem, eu prometo.. Mas se eu não ficar, eu finjo.
Fri Aug 21 18:16:48 PDT 2015 --  PREFIRO SER SOLTEIRO DO QUE SER CHIFRUDO!
Fri Aug 21 21:22:21 PDT 2015 --  Ai eu penso só eu q tenho uma vida estranha: - vai durmi putiane - vai durmi vc putiane - vai durmi cachorrane
Mon Jul 27 02:57:02 PDT 2015 --  pic.twitter.com/QB3l1VOxKK
Fri Aug 21 20:28:17 PDT 2015 --  Awnn pic.twitter.com/ooYrShJBdL
Fri Aug 21 20:21:14 PDT 2015 --  S A I F A L C I A N E D A M I N H A V I D A
Fri Aug 21 20:19:16 PDT 2015 --  #menosgalsianeemais #amor
Thu Aug 20 08:10:04 PDT 2015 --  Né por isso q em vez de fazer festa de 15 anos vou fazer imtercambio https://twitter.com/ttwitandu/status/633656002592796672 …
Tue Aug 18 08:59:54 PDT 2015 --  Eu aqui deitada sozinha e pensando n pq o mundo tem q ser tão injusto n podia ser meu irmão q deveria arrumar a porcaria da casa
Tue Aug 18 03:07:56 PDT 2015 --  bom dia com b de bosta tem prova de matemática
Mon Aug 17 03:18:24 PDT 2015 --  Engraçado os pais quando vc quer eles n querem mas quando vc n quer eles querem mas q intediante
Mon Aug 17 03:13:06 PDT 2015 --  Deus criou as piranhas de rio... Ai satanás ficou com inveja e criou as de rua.
Mon Aug 17 02:39:35 PDT 2015 --  Partiu escola to feia mas vai pic.twitter.com/NEi9nbavZx
Sun Aug 16 18:44:03 PDT 2015 --  Coitadinha da mendigata to chorando por ela #paniconaband
Sun Aug 16 18:24:31 PDT 2015 --  A já sabia #PanicoNaBand
Sun Aug 16 18:06:56 PDT 2015 --  Torcendo pra chegar logo a igreja do poderoso #PanicoNaBand
Sun Aug 16 18:00:31 PDT 2015 --  eu odeio escola eu não quero acordar cedo eu não quero ver pessoas eu não quero ver professores eu só quero dormir
Sun Aug 16 17:58:18 PDT 2015 --  #PanicoNaBand tá show hj pode falar kk
Sat Aug 15 14:23:12 PDT 2015 --  Seu sorisso me encanta pic.twitter.com/4r0jAEDqtP
Wed Aug 12 21:57:39 PDT 2015 --  Fala por favor to morendo de curiosidade https://twitter.com/Biel/status/631687783040581632 …
Wed Aug 12 21:18:59 PDT 2015 --  K perfeito lindo amor eterno o @gusrochaa o @TulRochaOK e o @Biel perfeitos I love forever https://twitter.com/gusrochaa/status/631637468698275841 …
Wed Aug 12 21:15:13 PDT 2015 --  Tá muito bom the noite hj kk @DaniloGentili
