Fri Aug 28 21:45:07 PDT 2015 --  Beauty gets the eyes, but personality gets attention.
Thu Aug 27 00:56:08 PDT 2015 --  Nna u would demand Dr.Malinga pic.twitter.com/PBcu4SdB8j
Thu Aug 27 00:55:32 PDT 2015 --  Hahahaha wat da heck pic.twitter.com/g9tI0lne72
Thu Aug 27 00:55:04 PDT 2015 --  pic.twitter.com/LfqdDheH1t
Thu Aug 27 00:09:50 PDT 2015 --  Burn pic.twitter.com/z0shY8ZWws
Thu Aug 27 00:09:26 PDT 2015 --  pic.twitter.com/EltnnKg0pk
Thu Aug 27 00:09:00 PDT 2015 --  pic.twitter.com/HFCYylnfS9
Mon Aug 24 05:27:20 PDT 2015 --  Happy day to u Peete Leshly Bereng! Be blessd! @BerengPeete pic.twitter.com/NpRNuVqzCO
Tue Aug 18 23:41:55 PDT 2015 --  People don't understand that if I texted you last yesterday, I cannot text you until you text back.
Sun Aug 23 05:59:23 PDT 2015 --  GOAL! DIEGO! #CFCLive
Sat Aug 22 06:32:30 PDT 2015 --  " @KenndrickLamar: Don't talk, act. Don't say, show. Don't promise, prove."Actually yes
Wed Aug 19 02:40:53 PDT 2015 --  Being nice to someone you dislike doesn't mean you're FAKE. It means you are mature enough to tolerate your dislike towards them.
Mon Aug 17 11:40:58 PDT 2015 --  @BerengPeete ahahahahahahahahahaha kea tseba nd happy too that it happens! pic.twitter.com/3BnPuVpaBF
Sun Aug 16 13:27:45 PDT 2015 --  Worst feeling in the world is knowing you did the best you could, and it still wasn't good enough.
Sun Aug 16 07:00:14 PDT 2015 --  Team v Man City: Begovic; Ivanovic, Cahill, Terry (c), Azpilicueta; Ramires, Matic; Willian, Fabregas, Hazard; Diego Costa. #CFC
Sat Aug 15 22:17:57 PDT 2015 --  Sound is Set!!!!! Now we go!!!!!! #concrete #Paris #blackcoffeesummertour pic.twitter.com/LHgSKdbHa5
Sat Aug 15 09:08:10 PDT 2015 --  MEEKMILL / DRAKE
Sat Aug 15 09:30:27 PDT 2015 --  Next Kaizer Chiefs Match: MTN8 semi-final: Bloemfontein Celtic vs. Kaizer Chiefs, Sunday 16 August 2015, Free State Stadium, 15h00 #KCExcel
Fri Aug 14 15:58:37 PDT 2015 --  The rap and porn industry are the only professions where you don't have to have skills to get in it.
