Sat Aug 29 05:13:13 PDT 2015 --  When did Newcastle United turn into the team of monsters from Space Jam?
Thu Aug 20 13:13:29 PDT 2015 --  REVEALED: Charlie Austin has no ligaments in his right d**k. https://vine.co/v/eDOv1Iqb2A2 
Thu Aug 20 02:00:33 PDT 2015 --  We're giving away a pair of Adidas Samoa Simply Follow & RT to enter. Winner announced when we reach 1K! pic.twitter.com/sipgCJrecO
Sat Aug 15 15:37:10 PDT 2015 --  Fire in the booth man boooooy @CharlieSloth
Thu Aug 06 20:00:14 PDT 2015 --  WOAH! PASS IT ON! pic.twitter.com/xP5wHsLOEN
Thu Aug 06 01:20:12 PDT 2015 --  30k giveaway lads Follow us and rt this post winner announced at 30k good luck pic.twitter.com/7BwwgNKrpg
Thu Jul 30 23:18:15 PDT 2015 --  Who can't wait to place a £2 acca with potential winnings of £4k and genuinely believe it looks good!
Sun Aug 02 06:38:10 PDT 2015 --  "I lost £15m in value in just 12 months.” pic.twitter.com/67u38LusDf
Sat Jul 11 11:10:30 PDT 2015 --  You know Saturday night has arrived when @mistajam as got me on it
Wed Dec 24 00:54:59 PST 2014 --  Shit don't change!!! U just gotta progress and show these niggas!
Tue Dec 16 12:44:55 PST 2014 --  HT stats: Derby County 0 – 1 Chelsea Possession 41% 59% Shots 0 – 6 On target 0 – 2 Fouls 9 – 6 #DCFC #CFC pic.twitter.com/twukYKtdL8
Sun Dec 15 03:56:35 PST 2013 --  If you can't support someone when they lose, don't support them when they win
