Wed Aug 26 16:10:29 PDT 2015 --  pic.twitter.com/VIKEfsKjcf
Wed Aug 26 14:07:53 PDT 2015 --  Sending Prayers.... <3 Rest in Peace.... This is so sad :( pic.twitter.com/zPRuuSwZ8B
Mon Aug 17 16:48:40 PDT 2015 --  https://youtu.be/RE6QVzJSrS4 
Sun Aug 16 14:12:21 PDT 2015 --  pic.twitter.com/EM9V7WYTA6
Sun Aug 16 12:41:38 PDT 2015 --  pic.twitter.com/WwQwI4opG0
Mon Aug 10 17:01:15 PDT 2015 --  pic.twitter.com/ymlru0jkUF
Sun Aug 09 15:52:29 PDT 2015 --  Life is for experiences, not just the motions. x
Fri Aug 07 16:42:20 PDT 2015 --  https://pro.beatport.com/release/just-another-guy/1566151 … pic.twitter.com/jKO0x02oHS
Fri Aug 07 16:13:56 PDT 2015 --  Just another Guy.... Awesome.... Download @ @beatport :) pic.twitter.com/Yinzzqp4wy
Sun Aug 02 10:25:59 PDT 2015 --  pic.twitter.com/EB9eadqCcG
Sun Apr 24 09:51:22 PDT 2011 --  Happy Easter!
Mon Oct 18 18:09:01 PDT 2010 --  @Kandi Yes i am :)
Mon Oct 11 21:10:42 PDT 2010 --  the one beside pinky finger ( @Laurenmanzo)http://yfrog.com/n6n87qj
Wed Sep 22 08:01:35 PDT 2010 --  Day 2 - “Player Appreciation Month Rocks on @yoville #YoVille! I want to win 1,000 YoCash!”
Tue Jul 20 13:10:15 PDT 2010 --  @Bethenny I really enjoyed watching you on The View today!
Thu Jun 03 08:35:15 PDT 2010 --  'Golden Girl' Rue McClanahan dies at 76 http://on.cnn.com/9JG0Nl
Wed Mar 03 21:17:38 PST 2010 --  @TamraBarney Welcome Back! :)
Thu Feb 25 19:03:55 PST 2010 --  @Daniellabella25 I miss her TOO !!!
Sun Feb 21 07:55:35 PST 2010 --  Brand new episode of Giuliana & Bill tonight at 9/8c on Style! Please retweet to win autographed copy of our books! 6 winners tonight!
Thu Feb 18 19:54:26 PST 2010 --  @MerryTwitts ....lol
Sun Feb 14 14:06:27 PST 2010 --  Happy Valentine's Day!
Wed Feb 03 19:49:38 PST 2010 --  @kikilet yes...sure do
Tue Feb 02 19:41:10 PST 2010 --  @victoriarowell I can do that...:)
Tue Feb 02 18:44:20 PST 2010 --  @victoriarowell Wish you would come back to Y and R!
Fri Jan 29 18:00:01 PST 2010 --  victoriarowell@ wow i watched Ghost Whisper...you were great, really enjoyed watching you again. Take care... Billie
Fri Jan 29 10:08:49 PST 2010 --  @victoriarowell Cant wait to watch Ghost Whisper ...i really miss you at Yand R Have a Great Weekend!
Sun Jan 24 19:31:22 PST 2010 --  @lisarinna just going to add mine..lol listerine yes the mouth wash is what i used and it cleared mine up! tea tree didnt work for me.
Fri Jan 22 18:52:14 PST 2010 --  877-99-haiti (42484) hopeforhaitinow.org. every bit helps.
Thu Jan 21 18:39:46 PST 2010 --  @KandiConnection i think shes to young
Tue Jan 19 07:54:08 PST 2010 --  RT this message to ur friends to win! Every new follower to @cmtcody qualiflys for trip to see Keith Urban+John Mayer! + u qualify for RT!
Sun Jan 17 18:42:14 PST 2010 --  RT @BillRancic: www.fnih.org/rancicfund is the website if you want to learn more about kidney cancer and our foundation. please RT
