Fri Aug 28 12:17:01 PDT 2015 --  21583 messages In the last 4 and a half months.
Tue Aug 18 22:31:14 PDT 2015 --  #sws #ghosttown #thejoker #batman #avengers #ironman #thehulk #CaptainAmerica #tylercarter #VANS #neff #rideforglenn pic.twitter.com/oMsMojHisW
Tue Aug 18 14:50:17 PDT 2015 --  Pizzaluminati Shirt Available @ http://www.traphouseattire.com/collections/mens-clothing/products/pizzaluminati?aff=36 … pic.twitter.com/EahFVNT2g7
Mon Aug 17 12:18:00 PDT 2015 --  If this isn't the sickest lineup ever then idk what is! pic.twitter.com/sXbNjJTNrN
Sun Aug 16 00:52:27 PDT 2015 --  its my birthday. officially 18 #birthday
Thu Aug 13 11:27:57 PDT 2015 --  Fake ass mom #TeenMom2 @TM2LeahDawn
Mon Jul 27 11:50:08 PDT 2015 --  I need this. https://twitter.com/therettes/status/625739346407067650 …
Wed Jul 22 23:09:43 PDT 2015 --  Spent the last two days at #sixflags #GreatAmerica #gurnee #illinois pic.twitter.com/xcPKZzyrde
Fri Jul 17 16:47:15 PDT 2015 --  Selfie. #selfie #bored #hot #ugh. pic.twitter.com/neupGEDvHd
Wed Jul 15 23:22:21 PDT 2015 --  Seeing @2chainz on Saturday fuck yeaaaah
Tue Feb 03 06:11:01 PST 2015 --  parents: your room is a mess me: you should see my life
Fri Jan 30 03:04:13 PST 2015 --  You’re a Bitch You’re a Bit You’re a You’re You Yo Y Yo You You’re You’re a You’re a Bi You’re a Bitch Oh look ,You’re still a Bitch
Wed Jul 15 09:48:40 PDT 2015 --  Had a dream that I met @issues and took a bunch of pictures with @TylerCarter4L and woke up to find out that it never happened. Fuck
Wed Jul 15 01:14:36 PDT 2015 --  Tweet me your tumblr names and I'll follow you for a follow back #tumblr #follow
Wed Jul 15 01:13:34 PDT 2015 --  Follow me on tumblrrrrr ! #tumblr #follobackforfolloback #follobackinstantly #followme #ifollowback ! pic.twitter.com/zH9ZM1BXoO
Wed Jul 15 00:09:25 PDT 2015 --  Here have a #selfie just because a little fucking louder #HappySong @bmthofficial pic.twitter.com/pZv2JIqwzF
Tue Jul 14 10:44:37 PDT 2015 --  But if I sing along A little fucking louder To a happy song I'll be alright @bmthofficial #happysong
