Fri Aug 28 18:30:41 PDT 2015 --  In all your ways acknowledge him, and he will make your paths straight. -Proverbs 3:6
Fri Aug 28 18:55:45 PDT 2015 --  Beautiful photo https://twitter.com/BEAUTIFULPlCS/status/637438298080866304 …
Fri Aug 28 15:55:07 PDT 2015 --  " #Leadership isn't about getting your own way." @InspiringThinkn @10MillionMiler #quote #leadership #wisdom #quotes pic.twitter.com/f0WmM1W0Ff
Fri Aug 28 18:40:03 PDT 2015 --  The greatest prison people live in, is the fear of what other people think. - David Icke pic.twitter.com/WCsfwQvJXw
Fri Aug 28 18:41:36 PDT 2015 --  God will have mercy on His people by washing them in His Spirit and letting them flow with love, so Christ may be glorified in them.
Tue Aug 25 17:47:07 PDT 2015 --  God will always give you a chance to start again.
Fri Aug 28 07:45:30 PDT 2015 --  Every door you need opened God will give you a key for!
Fri Aug 28 06:04:18 PDT 2015 --  God is a covenant keeping God.. (Ps 89:34) What He has promised - He will do! Stand strong in His… https://instagram.com/p/67ZUEDvl3V/ 
Thu Aug 27 20:07:26 PDT 2015 --  God has already determined to go deep with you, have you determined to go deep with HIM pic.twitter.com/44tw7YeDzR
Thu Aug 27 14:32:05 PDT 2015 --  "Listen to my voice in the morning, Lord. Each morning I bring my requests to you and wait expectantly." Psalm 5:3 http://ln.is/www.klove.com/minist/h4UGu …
Wed Aug 26 16:08:08 PDT 2015 --  "A real friend is one who walks in when the rest of the world walks out." – Walter Winchell
Tue Aug 25 23:06:39 PDT 2015 --  Jesus is our Rock of Ages and we can sit down under the shadow of the Rock, and drink from the crystal waters of His Bountiful supply. :)
Wed Aug 26 14:45:42 PDT 2015 --  I am nothing without #Christ. I am everything in #Christ who strengthens me.
Wed Aug 26 14:45:48 PDT 2015 --  Life is filled with everything that you make it out to be. Life becomes how we think about it. Our beliefs set the tone for our lives.
Wed Aug 26 14:51:12 PDT 2015 --  God can and will break any depression or feeling alone that we may be feeling if we go to him.
Mon Aug 10 14:13:43 PDT 2015 --  ..I have called you by name; you are mine... Isaiah 43:1-4 pic.twitter.com/SfGuF6uQIN
Mon Aug 24 15:11:27 PDT 2015 --  Trust yourself. Create the kind of self that you will be happy to live with all your life. - Golda Meir
Mon Aug 24 23:48:26 PDT 2015 --  The brightest future will always be based on a forgotten past-You can’t go forward in life until u let go of ur past failures & heartaches.
Sun Aug 23 05:09:38 PDT 2015 --  "But I am trusting you, O Lord, saying, "You are my God!"" Psalm 31:14 http://ln.is/www.klove.com/minist/KGAvI …
Sat Aug 22 07:21:56 PDT 2015 --  "Trust in the Lord always, for the Lord God is the eternal Rock." Isaiah 26:4 http://ln.is/www.klove.com/minist/W21tw …
Fri Aug 21 15:15:27 PDT 2015 --  #Faith doesn’t make things easy- it makes them possible!
Tue Aug 18 16:05:08 PDT 2015 --  http://AaronLamont.com  #inspiration pic.twitter.com/KsGEOdUug8
Wed Aug 12 13:14:08 PDT 2015 --  Friends come and go, but Jesus comes and stays.
Thu Aug 20 05:11:18 PDT 2015 --  "But joyful are those who have the God of Israel as their helper, whose hope is in the Lord their God." Psalm 146:5 http://ln.is/www.klove.com/minist/cmggi …
