Fri Aug 28 16:43:28 PDT 2015 --  Dear @Real_Liam_Payne , happy birthday my beautiful idol! Have a great day! I love u,+22
Fri Aug 21 04:02:29 PDT 2015 --  pic.twitter.com/AdxZ2O1t2K
Thu Aug 20 17:41:13 PDT 2015 --  Del tipo 'tesoro si scrive L-A-R-R-Y, Larry, non è tanto difficile' #DragMeDownMusicVideo pic.twitter.com/xczjMxNp88
Thu Aug 20 17:43:14 PDT 2015 --  Datemi un minuto... #DragMeDownMusicVideo pic.twitter.com/dR7sUrob5Q
Thu Aug 20 17:44:21 PDT 2015 --  Liam:Niall,perché non sei al letto? Niall:Non posso dormire Lou:Perché? Niall:Sono nel fandom 1D Harry: ALL THE LOVE #DragMeDownMusicVideo
Thu Aug 20 17:46:56 PDT 2015 --  Drag me down è come what makes you beautiful: è un inizio, è un nuovo inizio PIANGO #DragMeDownMusicVideo
Thu Aug 20 17:47:05 PDT 2015 --  Aah...ora capisco🏼 #DragMeDownMusicVideo pic.twitter.com/YFSRexQqEN
Thu Aug 20 15:38:12 PDT 2015 --  Liam: Our album was finished yesterday, please don't leak it * Fans leaked pics of #DragMeDownMusicVideo * pic.twitter.com/Edv47orByu
Thu Aug 20 14:10:44 PDT 2015 --  Eh oh anche Perrie è umana e come tutte le persone normali,dopo la fine di una storia seria, ci soffre.
Thu Aug 20 14:25:01 PDT 2015 --  Potrete anche dire che è una trovata pubblicitaria, ma lei sta male. Qualcuno abbracci Perrie, per favore. Ora. pic.twitter.com/SibI9ndwW2
Thu Aug 20 14:37:48 PDT 2015 --  Comunque il video di Perrie dove ha smesso di cantare perchè le è venuto da piangere mi ha fatto stare male..
Thu Aug 20 14:48:12 PDT 2015 --  Mettetevi al posto di Perrie, io ci ho provato e mi veniva da piangere. Poi non capisco questa ragazza come fa a starvi sulle scatole.
Thu Aug 20 17:28:43 PDT 2015 --  E Perrie dice pure 'sorry'. Fa male vederla cosi. Fa molto male. https://youtu.be/Cgp1AglGqQ4 
Thu Aug 20 17:49:58 PDT 2015 --  CAN NASH AND JUSTIN HANG OUT MORE PLEASE #FavNashPic pic.twitter.com/CTNchmtVts
Wed Aug 19 08:41:05 PDT 2015 --  pic.twitter.com/7oMmk8ThP2
Tue Aug 18 22:30:57 PDT 2015 --  I'm just here to make people smile I kinda consider it my job role
Tue Aug 18 19:22:58 PDT 2015 --  Check out @Nashgrier video he directed! We are in it! @beraofficial is a beast http://youtu.be/zKv-vNYLC3M 
Wed Aug 19 07:35:03 PDT 2015 --  Jamming to Can't Take Back The Bullet while road tripping to Vegas!! You can watch it here : http://youtu.be/n_MeWnaiyhE  pic.twitter.com/YtkM7TIjEh
Tue Aug 18 22:57:04 PDT 2015 --  People with there insults People with there opinions People with there judgement People who fly above it!
