Mon Aug 03 18:14:18 PDT 2015 --  "check out this new band, you'll love them!" - liars
Sun Apr 12 19:32:22 PDT 2015 --  Hillary I'm in. Break that ceiling in a million pieces!
Sun Apr 12 17:59:15 PDT 2015 --  Road trip! Loaded the van & set off for IA. Met a great family when we stopped this afternoon. Many more to come. -H pic.twitter.com/5Va7zeR8RP
Sun Apr 12 12:03:24 PDT 2015 --  BREAKING: She's in! @HillaryClinton launches 2016 White House bid http://huff.to/1CGtbaV  pic.twitter.com/GnFihUGVCd
Sun Feb 22 18:57:45 PST 2015 --  Hell Yeah!! Patricia Arquette, Women's Equal Pay.
Sun Feb 08 17:11:15 PST 2015 --  Best New Artist Sam Smith, i knew he would win
Sun Feb 08 17:09:08 PST 2015 --  OMG AC/DC on Grammy's, sounds like they did when I was young...LOL
Fri Sep 05 15:11:25 PDT 2014 --  22 Reasons Why Your Mom Was Your First Friend, And Will Be Your Best Friend For Life http://elitedaily.com/women/mom-first-best-friend-life/705474/ … via @EliteDaily
Sun Feb 23 18:36:09 PST 2014 --  What? @recklessintent
Wed Jan 15 18:09:29 PST 2014 --  I thought I had a daughter but what was her name? Mama is going back to doctor
Mon Jan 13 17:58:09 PST 2014 --  I want my zone to turn green dammit
Wed Nov 13 18:20:42 PST 2013 --  Sick today first time I had to cancel class; it was test day. I know the students are dancing right now.....btw. I hate tucking facebook
Thu Oct 31 19:27:35 PDT 2013 --  So proud of my sugar lumps
Thu Oct 31 10:24:52 PDT 2013 --  LOVE this pic. Don't mess with Effie. She will bring the pain. #TeamEffie pic.twitter.com/uNP7Q28DaU
Wed Oct 16 13:23:12 PDT 2013 --  Check out the first TV ad for @TheHungerGames #CatchingFire - featuring Atlas... http://youtu.be/OmsIrh-yO4I  A
Fri Oct 04 15:30:05 PDT 2013 --  . @RepShelley: The #TeaPartyShutdown has to end. Stand up and stop sabotaging our economy.
Fri Oct 04 14:56:49 PDT 2013 --  No pay for Congress during the shutdown http://petitions.moveon.org/s/LfNX2=  @moveon
Mon Sep 16 17:47:29 PDT 2013 --  What a shitty day :-(
Wed Aug 28 18:52:30 PDT 2013 --  I simply love teaching! My class looked "dears inheadligts" when I lecturers on Westgards multitules for QC. They will get it:-) :-) :-)
Tue Jul 30 18:45:12 PDT 2013 --  Teaching biochem to mlts this fall. Icant wait!!!!
