Fri Aug 28 22:19:18 PDT 2015 --  First night of streaming went well. Total of 5 viewers. Until next time! pic.twitter.com/h4xarTQbvn
Fri Aug 28 20:37:28 PDT 2015 --  Messing around http://www.twitch.tv/caustic_ace  #Twitch
Fri Aug 28 19:53:47 PDT 2015 --  I'm streaming guys l, check me out Caustic_Ace!! pic.twitter.com/eBfXAsSYik
Tue Aug 25 21:43:56 PDT 2015 --  The ps4 is awesome!!!! @Caustic_Ninja @LoseyRichard @NotCadeYates @dr0p_sh0t @NamesKrispy
Tue Aug 25 16:57:26 PDT 2015 --  Add me on ps4. Caustic_Ace
Tue Aug 25 15:13:39 PDT 2015 --  I finally got one!!!!!! #ItsHere @Caustic_Ninja @dr0p_sh0t @LoseyRichard @NotCadeYates @NamesKrispy
Mon Aug 24 17:43:37 PDT 2015 --  My setup is looking good! #gettingtheps4tomorrow @Caustic_Ninja @LoseyRichard @NotCadeYates @dr0p_sh0t @NamesKrispy pic.twitter.com/nyTLKt055q
Sun Aug 23 19:36:48 PDT 2015 --  #FearTWD was freakin awesome cant wait for next weeks episode!Then cant wait to see what #WalkingDead has for us in October@WalkingDead_AMC
Sun Aug 23 14:16:06 PDT 2015 --  A selfie.. of a gamer / worker. pic.twitter.com/XSbFCfmjWS
Sun Aug 23 14:21:43 PDT 2015 --  where is emblem.... why did you take it away from everyone COD.. whyyyyy pic.twitter.com/Dr0nPkMHYc
Thu Aug 20 18:58:56 PDT 2015 --  Clan Wars is Tomorrow @OgRm_Ninja @dr0p_sh0t @NotCadeYates @NamesKrispy pic.twitter.com/YCCpro3SpM
Tue Aug 18 20:29:54 PDT 2015 --  New clan emblem, what do you guys think? @OgRm_Ninja @LoseyRichard @NamesKrispy @NotCadeYates pic.twitter.com/LCiYYH2iA3
Sun Aug 16 15:21:47 PDT 2015 --  With the team. Time to own people, lets go! #CoDAW #codplayer #ggwp @Caustic_Ace @OgRm_Ninja pic.twitter.com/mN4UHVKpBY
Sat Aug 15 19:19:07 PDT 2015 --  Get at me with my 5kd, just using the AMR with no attachments on it @Caustic_Ace ahahaha u jelly :p pic.twitter.com/wBTHodVBT6
Sat Aug 15 18:53:26 PDT 2015 --  @Caustic_Ace @OgRm_Ninja @LoseyRichard @NotCadeYates pic.twitter.com/N5ipzsxcSd
Sat Aug 15 18:49:35 PDT 2015 --  Guys I have done it! My k/D is 1.3 now #unstoppable @OgRm_Ninja @LoseyRichard @NotCadeYates @NamesKrispy @ pic.twitter.com/c3FyUIDz1k
Sat Aug 08 18:57:32 PDT 2015 --  Created a clan on Advanced Warfare (Ps3) Recruiting anybody with 1.00 K/D and higher!!
Sat Jul 18 21:43:56 PDT 2015 --  @OgRm_Ace @LoseyRichard or *sniffles* call of duty ;-;
Sat Jul 18 21:22:37 PDT 2015 --  Lost 2 player on the 2and round and still pulled off a victory!!!! @OgRm_Ninja @LoseyRichard pic.twitter.com/8T0Yy73Pgq
