Fri Jun 05 00:54:31 PDT 2015 --  Hearts edging towards selling out season tickets as sales hit 10,000 mark: http://m.edinburghnews.scotsman.com/sport/football/hearts/hearts-season-ticket-sales-top-10-000-mark-1-3793262 … #HMFC #SPFL
Thu May 28 12:28:16 PDT 2015 --  What time is coronation street on??
Fri May 01 23:44:18 PDT 2015 --  Early title success boosting recruitment – Neilson: ROBBIE NEILSON revealed today that Hearts are weeks ahead ... http://bit.ly/1EEM0Qc 
Sun Mar 29 12:04:00 PDT 2015 --  Hearts fans: We have an eight-page photo souvenir pull out of the Jam Tarts' title winning party in tomorrow's paper #Jambos #Champions
Sat Mar 28 02:29:39 PDT 2015 --  Hearts a year ahead of schedule having budgeted for two seasons in the Championship: http://m.edinburghnews.scotsman.com/sport/football/hearts/neilson-hearts-are-a-year-ahead-of-schedule-1-3731515 … #HMFC #SPFL
Sun Mar 29 05:41:05 PDT 2015 --  Great flat for sale! Opening day today! Please re-tweet! #flatedinburgh #forsale #forsaleedinburgh #propertyforsale http://www.mov8realestate.com/properties/50-2-whitson-road-saughton-edinburgh-eh11-3bt …
Sat Mar 28 16:40:24 PDT 2015 --  Neilson exceeded expectation - Budge: Hearts owner Ann Budge says head coach Robbie Neilson has exceeded all e... http://bbc.in/1By4hdn 
Sat Mar 28 18:11:11 PDT 2015 --  All together now...fuck you rangers the hearts have won the league
Sat Mar 28 11:31:36 PDT 2015 --  Championeeeees! pic.twitter.com/tvTBjH1Hvm
Sun Mar 01 05:58:56 PST 2015 --  Incredible support again yesterday with the biggest crowd in Scottish football,more than all Championship,Div 1,Div 2 combined. #relentless
Sat Feb 28 09:37:47 PST 2015 --  10-0. Wow. #HMFC
Sat Feb 14 02:00:15 PST 2015 --  Not a good day to search anything involving word 'Hearts' then. Yikes. Hearts are for life, not just Valentine's Day. Actually. So there.
Mon Feb 09 11:16:10 PST 2015 --  Apologies to anyone who missed the 2nd half of @jameskeatings of @JamTarts You can see it all here http://ow.ly/ILnK9 
Sat Dec 27 02:05:30 PST 2014 --  That's our ticket allocation at Tynecastle for today's game SOLD OUT! Limited tickets on sale at Almondvale Suite at Livingston from 1pm.
Sat Dec 27 01:46:11 PST 2014 --  6000 jambos heading to livi today? if this is correct thts amazing from the fans over an expensive time of year wat an effort! #hhgh
Thu Dec 25 01:51:23 PST 2014 --  pic.twitter.com/GBQEQXmhrq
Wed Nov 26 14:17:13 PST 2014 --  Exceptional childcare provided by exceptional practitioners!! pic.twitter.com/mF5A0jY0ek
Mon Oct 27 14:09:44 PDT 2014 --  Hearts fans singing 'Since I was young' filmed from the Hibs end https://m.youtube.com/watch?v=ZNYPevF5R-g …
Sun Oct 26 07:04:06 PDT 2014 --  OZTURK WITH A 35 YD SCREAMER!!! 1-1!!!!!!!!!!!
Sun Oct 26 07:06:02 PDT 2014 --  Incredible scenes in the away end following Ozturk's sensational equaliser. 1-1, into the final minute of added time #HMFC
Wed Oct 22 02:04:11 PDT 2014 --  Don't ... pic.twitter.com/dmlfGCz0CI
Sun Oct 12 14:02:12 PDT 2014 --  That Leann Dempster is a right sensitive soul. Outrageous that Hibs fans aren't on board with her 15 year project.. http://www.hibs.net/showthread.php?291307-From-Leeann …
Sat Aug 30 08:53:48 PDT 2014 --  At this rate #Hibs are going to be doing well to make the playoffs. Can't be easy seeing Hearts flying high at the moment either.
Sun Aug 17 15:28:20 PDT 2014 --  Really sportscene?! pic.twitter.com/ur9X7U2RhT
Sun Aug 03 14:19:24 PDT 2014 --  Right had enough of Kylie, if only @CalvinHarris was here to start a proper party
Thu Jul 31 13:18:13 PDT 2014 --  Hearts supporter Eilidh Child says she couldn't believe they chose a Proclaimers song for her lap of honour. @Glasgow2014 #TeamScotland
Thu Jul 31 12:35:27 PDT 2014 --  A massive congratulations to our very own @EilidhChild on getting silver in her race tonight! pic.twitter.com/4uxLdHgguD
Thu Jun 12 03:05:45 PDT 2014 --  Will be good to be reunited with my seat for next season!! #jointherevival
Wed Jun 11 09:15:02 PDT 2014 --  Official document that takes Hearts out of Admin #bbcsportscot pic.twitter.com/DnVYjjLf5o
Sun May 25 13:14:49 PDT 2014 --  Alloa, Cowdenbeath, Dumbarton, Falkirk, Hearts, Hibs, Livingston, QoS, Raith and Rangers. Scotland's most competitive league next season.”
Sun May 11 10:31:56 PDT 2014 --  @Hearts_1874 *NEW VIDEO* The Future Is Maroon - Hearts Hearts Glorious Hearts https://www.youtube.com/watch?v=q-fgi8YaBhw … Hope you enjoy my new video! :)
Sat May 10 05:03:30 PDT 2014 --  What a roar from the Hearts fans here at St.Mirren park when Killie scored.
Sat May 10 12:28:47 PDT 2014 --  So that's the season finished. What a journey. Bring on the future! pic.twitter.com/vSn7hlqgLz
Sat May 10 08:19:08 PDT 2014 --  Hibs fans right now #ScottishVines https://vine.co/v/MgeT25YLTFJ 
Sun May 04 07:36:58 PDT 2014 --  Don't worry hibs, you can thank us later for doing you all these favours.
Tue Apr 29 01:37:51 PDT 2014 --  St Mirren away...don't mind if I do!! #sinceiwasyoung #hmfc #endofseason pic.twitter.com/9EyGDSE8iO
