Sun Jul 19 21:12:02 PDT 2015 --  So glad I got my tan on so I blend in with the crowd #BonQuiQuiTour
Tue Jul 07 12:33:06 PDT 2015 --  Never saw this coming...bi now gay later #gayagenda https://twitter.com/shanedawson/status/618480011528396800 …
Fri Jul 03 20:54:33 PDT 2015 --  There are gonna be a lot of pissed off people tomorrow when they find out the patriotic fireworks everywhere are rainbow colored! #thatsgay
Sat Apr 25 16:06:23 PDT 2015 --  What he went through and is going through is unimaginable. I have the utmost respect for him #BruceJennerABC
Sat Apr 25 08:39:38 PDT 2015 --  Triple PS Vita Game giveaway! Follow and RT for your chance to win: Danganronpa 1 + 2 and Child of Light! #PSVita pic.twitter.com/bBqTAz1j38
Tue Mar 24 13:55:43 PDT 2015 --  #timetopurge
Tue Mar 24 01:40:44 PDT 2015 --  Hardest decision of my childhood pic.twitter.com/EKi2kbF0vX
Tue Mar 24 07:49:10 PDT 2015 --  Miley Cyrus' "We Can't Stop" was initially offered to Rhianna and Rhianna's "Umbrella" was initially offered to Britney Spears.
Fri Mar 06 05:04:10 PST 2015 --  Oxytocin, the hormone in our bodies that causes 'love', also causes 'hate'.
Tue Mar 03 08:50:47 PST 2015 --  @ChadClark63089 makes me feel all warm and fuzzy inside, hehe
Mon Dec 29 13:02:08 PST 2014 --  (416): He adopted an old drug sniffing dog so that he won't lose his weed around the house anymore. It works.
Mon Dec 01 18:12:18 PST 2014 --  Xbox live down. This dude is taking credit for it...does he know is is a dick..." @LizardPatrol: Just some preparation for Christmas."
Mon Nov 24 20:37:14 PST 2014 --  Heavy gunfire on police scanner. A sad day for America. #Ferguson
Wed Oct 01 15:29:27 PDT 2014 --  Peer pressure pic.twitter.com/Lc3fqOsHMI
Wed Sep 24 20:28:09 PDT 2014 --  I need to find more real life people I know on twatter
Wed Sep 17 08:47:12 PDT 2014 --  The fattest and cleanest you'll ever see!!! #icanroll
Fri Jul 25 12:54:23 PDT 2014 --  Its time to start questioning vecten http://pureenergies.com/us/blog/infographic-american-spending-on-utilities/ …
