Tue Aug 25 16:21:31 PDT 2015 --  #Mitsubishi Evo X bed? Hell yeah! http://bit.ly/1V8gnpN  pic.twitter.com/CCvilSYhxD
Tue Aug 25 15:22:41 PDT 2015 --  When people criticize games that haven't even been released yet pic.twitter.com/FA6i6wXVGO
Mon Aug 24 21:15:16 PDT 2015 --  This LFT-86 looks better than the R86. pic.twitter.com/V5i7Ojnd77
Fri Aug 21 16:45:22 PDT 2015 --  Must FOLLOW and RT for a chance to win a controller of your choice! Winner picked on 8/31/15! #CCGiveaway #CCArmy pic.twitter.com/j4iCjPOX2p
Mon Aug 24 17:32:38 PDT 2015 --  tfw you post an edgy tweet showing NFS has flaws and you forgot everyone is an NFS fanboy as of right now pic.twitter.com/kMAjmRWnVg
Mon Aug 24 16:46:10 PDT 2015 --  Someone kill me please... pic.twitter.com/R5VlsVQoxD
Mon Aug 24 11:59:53 PDT 2015 --  . @Nick88S 43 retweets in 2 minutes... I think I may have fucked up...
Mon Aug 24 09:11:14 PDT 2015 --  The only N/A successor I like. pic.twitter.com/daumlS8s1t
Mon Aug 24 08:30:20 PDT 2015 --  [Video] The Kahn WB12 Vengeance is an Aston Martin DB9 on steroids. Here’s what it sounds like http://www.TOPGEAR.com/car-news/supercars/what-kahns-aston-db9-rethink-sounds … pic.twitter.com/FxovT80NXb
Sat Aug 22 18:11:10 PDT 2015 --  Saxophone goals: https://youtu.be/7DwPUNh_su8 
Sat Aug 22 17:20:53 PDT 2015 --  pic.twitter.com/vZ1LWGovAk
Sat Aug 22 13:01:26 PDT 2015 --  Interesting. @BlackPanthaaYT @NeedforSpeed pic.twitter.com/qADKlAOFmZ
Fri Aug 21 13:17:29 PDT 2015 --  pic.twitter.com/NkmSXgEMgB
Thu Aug 20 20:11:35 PDT 2015 --  GTR on GTR on GTR pic.twitter.com/ubZcHZPAjQ
Thu Aug 20 10:56:43 PDT 2015 --  And by that I mean the Bravo.
Wed Aug 19 06:07:02 PDT 2015 --  Been enjoying Honda's 'Keep Up' TV ad? Sorry, it's just been banned... https://www.carthrottle.com/post/hondas-brilliant-keep-up-ad-has-been-banned-because-of-two-pathetic-complaints/ …
Mon Aug 17 04:48:47 PDT 2015 --  <- @BlackPanthaaYT they're doper in person!
Sat Aug 15 06:09:20 PDT 2015 --  RT if you are hype for NFS Fave if you are hype for NFS Run into a wall if you are hype for NFS
Fri Aug 14 19:15:39 PDT 2015 --  I think it's dumb :p
Fri Aug 14 19:11:57 PDT 2015 --  I made one. pic.twitter.com/gryxRz1AoD
Thu Aug 13 17:48:48 PDT 2015 --  I don't remember this scene from Shrek 2 pic.twitter.com/8L15nE13eI
Thu Aug 13 19:21:25 PDT 2015 --  Earl Sweatshirt. pic.twitter.com/Nzz54G071D
Thu Aug 13 18:18:04 PDT 2015 --  Audi revealed, and I wasn't disappointed. Sounds great too with that V10. pic.twitter.com/N97MapWdnH
Wed Aug 12 13:57:48 PDT 2015 --  pic.twitter.com/PsNNLaveU7
Wed Aug 12 13:35:00 PDT 2015 --  Here's my contribution to Twitter. pic.twitter.com/dl1RIYalmQ
