Fri Aug 28 08:00:18 PDT 2015 --  pic.twitter.com/HxBJSgxHCK
Wed Aug 26 13:22:55 PDT 2015 --  The art just makes me feeling all warm and fuzzy on the inside https://twitter.com/comicsalliance/status/636630354036572160 …
Tue Aug 25 19:15:13 PDT 2015 --  Did our fantasy draft early this year, league manager took jordy nelson in the 1st rnd #Whoops
Mon Aug 24 12:41:01 PDT 2015 --  "I've had to become poor all on my own! I wasn't born with a plastic spoon in my mouth!!" #Cartman pic.twitter.com/AmH6ZhuBhU
Sun Aug 23 20:27:55 PDT 2015 --  When I have to leave the party early. @neeku_ https://twitter.com/kicksb4rent/status/635650673414139904 …
Sun Aug 23 07:30:06 PDT 2015 --  My mama so poor, she waves around a popsicle and calls it air conditioninnnngg... pic.twitter.com/BnXUTYO4KV
Sat Aug 22 21:24:30 PDT 2015 --  #NXTakeOver loved the whole event, loves me some #JushinThunderLiger
Thu Aug 20 14:01:00 PDT 2015 --  Heard @Supachicm2b got some new boxing gloves and now shes feeling all Mike Tysons punchout and stuff pic.twitter.com/dlbBXliPO8
Thu Aug 20 13:17:43 PDT 2015 --  Brock Lesnar says Ronda Rousey is a "man among women" in her division. http://es.pn/1NyiJfl 
Wed Aug 19 22:21:01 PDT 2015 --  I just drafted my team for @ESPN #Fantasy Football -- check out my top picks what you think http://es.pn/ffl  pic.twitter.com/jUgpqN7Rft
Wed Aug 19 19:42:38 PDT 2015 --  45 min til my fantasy draft, contemplating who to pick #FantasyFootball pic.twitter.com/u1SMPG6PDa
Tue Aug 18 22:42:33 PDT 2015 --  Really loved her on this show RIP https://twitter.com/lootcrate/status/633871705056903168 …
Tue Aug 18 10:58:46 PDT 2015 --  Brock Lesnar makes his @WWE entrance on the SC set. https://vine.co/v/ep015pP9xev 
Mon Aug 17 19:45:13 PDT 2015 --  Tomorrow Aug 18 = 20th anniversary of 1st Mortal Kombat movie. Aug 18 is also John Tobias' & my mother's birthdays! pic.twitter.com/OrVkqnX4Ob
Sun Aug 16 12:17:03 PDT 2015 --  Thank god i waited so long to buy one #MayTheForceBeWithYou https://twitter.com/playstation/status/632990838302208000 …
Sun Aug 16 12:08:18 PDT 2015 --  That last #whiff was the 200th of the season for Sale! pic.twitter.com/3TNWt5zE3W
Sat Aug 15 08:05:15 PDT 2015 --  Time to wake up and get moving!!! No flu will stop me!! Time to jam! Lots of exclamation points!!! pic.twitter.com/V6yXXVw45V
Tue Aug 11 11:32:36 PDT 2015 --  I hope this is true https://twitter.com/screencrushnews/status/631164150014722049 …
Mon Aug 10 09:09:54 PDT 2015 --  Will Terrell Owens be a 1st-ballot HOF'er in 2016? RT: Yes Fav: No pic.twitter.com/ZKWLWqV5L8
Sun Aug 09 17:06:22 PDT 2015 --  When you turn on your TV and realize there is FOOTBALL on! pic.twitter.com/ZcfFPHV6kv
