Tue Aug 25 07:08:57 PDT 2015 --  Note to self: Stop trying so hard for people who don't care.
Sat Aug 15 03:40:40 PDT 2015 --  I'm single not because I don't pray for love, I'm single because I don't play with love.
Sat May 09 21:13:02 PDT 2015 --  I J U S T W A N T T O T H A N K G O D F O R E V E R T H I N G RETWEET IF YOU DO
Tue Aug 25 06:43:29 PDT 2015 --  there is absolutely no reason to lie to me. I’m too understanding.I get shit.I get life.I know that shit happens.just be straight up with me
Sat Aug 15 05:03:31 PDT 2015 --  Parents, problems, friends, fakes, love, crush, dating, responsibility, drama, heartache, failures, stress, happiness, IT’S LIFE.
Sun Jun 21 12:05:25 PDT 2015 --  A naked girl can get 1k Retweets, how many can this one get? pic.twitter.com/sKciGTF1ux
Fri Jun 26 08:57:51 PDT 2015 --  I was born without you. So I guess I can live without you.
Fri Jul 31 16:30:07 PDT 2015 --  me: *wears headphones* me: *forgets to play any music*
Sat Aug 01 12:20:52 PDT 2015 --  I don't care about your - age - weight - sexuality - height - gender - skin color. As long as you respect me, I'll respect you
Sat Jul 25 08:51:01 PDT 2015 --  Sometimes you just need to distance yourself from people. If they care, they'll notice. If they don't, you know where you stand with them.
Wed Jul 22 06:40:49 PDT 2015 --  Yes, I do smile stupidly at my phone when you say something cute in a text.
Mon Jul 06 19:17:13 PDT 2015 --  Mcm biasa, slalu aku yg kecewa. Teruskanlah.
Mon Jun 22 14:05:03 PDT 2015 --  God is the best part of my life.
Thu Jun 25 13:30:38 PDT 2015 --  I wish you and I would start talking again.
Thu Jun 18 15:30:13 PDT 2015 --  Feelings change, memories don't.
Tue Jun 23 12:30:27 PDT 2015 --  Fake friends believe in rumors. Real friends believe in you.
Thu Jun 25 17:30:08 PDT 2015 --  The secret of success: stop wishing, start doing.
Wed Jul 01 02:22:09 PDT 2015 --  Because I know at the end he will leave without knowing that I'm in hurt. pic.twitter.com/rRFt9VHSYM
Fri May 01 09:30:11 PDT 2015 --  Never judge someone without knowing the whole story. You may think you understand, but you don’t.
