Tue Jun 02 04:36:21 PDT 2015 --  Come get your DVDS - leads get your poster!
Mon Jun 01 06:17:29 PDT 2015 --  DONE. Come get yours!
Mon Jun 01 05:14:33 PDT 2015 --  Copying DVDs ....
Tue May 26 09:15:09 PDT 2015 --  Who wants their CR pic from Michael Welter? @jclark_343 @JohnSchlachter @tfinch54 @aschmidt0922 @tspurgeonhess @LindsToth2
Fri May 22 04:26:23 PDT 2015 --  Seniors - please come say goodbye before you leave SV! Everyone else - please come say goodbye before Ms. G moves to AH next year!
Fri May 08 17:36:34 PDT 2015 --  Save CougaReview!!! @jclark_343 @tfinch54 @Eerieshoreboyz @CougaReview
Wed Mar 18 14:14:22 PDT 2015 --  " @tfinch54: “ @GuyCodes: "Did you try turning your phone on and off" pic.twitter.com/VLHVl0Swp7” @CougaReview" need Chester and the Hacker asap
Tue Feb 17 07:27:06 PST 2015 --  Anyone wishing for a refund for the 2/1 performance should bring their ticket to Mrs. Wetmore's office.
Thu Feb 05 11:18:05 PST 2015 --  The head writer was at rotary in spirit @BostwickRiley pic.twitter.com/TsWSXsJrTB
Thu Feb 05 11:16:56 PST 2015 --  Since this year's exec staff went to rotary today, a lil #tbt for @abby_jones04 @SeanMcCormick10 and @Kentoppless pic.twitter.com/kYrppK2SKn
Thu Feb 05 11:00:49 PST 2015 --  " @McMurrray: There is nothing better than having lunch with the CougaReview Executive crew. pic.twitter.com/bH2nMLfnIh" Exec staff = free food
Thu Feb 05 10:35:06 PST 2015 --  There is nothing better than having lunch with the CougaReview Executive crew. #Sylvania Rotary pic.twitter.com/n5yDYzToYD
Wed Feb 04 08:38:23 PST 2015 --  At this time, the Exec Staff of CR 2015 has decided NOT to host another show. Too many scheduling conflicts arose to put on a quality show
Sun Feb 01 08:49:38 PST 2015 --  Cougareview has changed my life in an amazing way and I can't believe that it's over pic.twitter.com/IUfMrht6tc
Sun Feb 01 17:21:22 PST 2015 --  Apparently, Katy Perry is trying to copy CR 2015 right now - too bad @LindsToth2 and our chorus were better. Don't even need to watch it
Sun Feb 01 17:13:48 PST 2015 --  As we're fighting that post show depression, stay tuned - we may be able to make up today's performance!
Sun Feb 01 14:31:28 PST 2015 --  On a real note, Cougareview was the best thing ive been a part of in highschool and im gonna miss it, I made alot of great friends there
Sun Feb 01 08:46:38 PST 2015 --  So proud to have been a part of cougareview can't believe that it's already over! Great job cast and crew @CougaReview
Sun Feb 01 08:23:07 PST 2015 --  Thank you all for making my first @CougaReview one to remember pic.twitter.com/06NwXdrGKq
Sun Feb 01 08:12:31 PST 2015 --  @CougaReview Im so proud of the amazing show we had this year and so thankful to have done it with the best people out there! Love you all!
Sun Feb 01 07:06:45 PST 2015 --  I'm SO proud of all your hard work & talent. all who were involved, thanks for a fantastic show! You guys rock. But it wasn't a rock...
Sun Feb 01 06:53:38 PST 2015 --  " @Eerieshoreboyz: It's been real guys" the viruses hacked the weather radar
Sun Feb 01 06:52:04 PST 2015 --  Hate snow and winter weather
Sun Feb 01 06:48:16 PST 2015 --  Sylvania schools has CANCELLED activities for today. In regards to future performances/refunds, more info will be out when school resumes.
Sat Jan 31 21:50:13 PST 2015 --  @CougaReview is honestly the best thing iv done since I moved here! Great show with great people! If this was the last show, I'm honored!
Sat Jan 31 21:31:01 PST 2015 --  Gold iPhone found in cafeteria - it's at school in the tech booth.
Sat Jan 31 19:46:09 PST 2015 --  S/o to @LindsToth2 for doing absolutely amazing in @CougaReview this weekend!! I couldn't be any more proud of you! pic.twitter.com/xfXueP6o5H
Sat Jan 31 21:08:23 PST 2015 --  Love my alumni @dionnadamaskos surprising @gillyRos3 tonight pic.twitter.com/GD6aUnDOqh
Sat Jan 31 16:24:19 PST 2015 --  Proud alum front and center #CyberSpaceJam @CougaReview @McMurrray pic.twitter.com/qpXiPST0iv
