Sat Aug 29 05:50:35 PDT 2015 --  F1™ 2015 career mode part 1: http://youtu.be/eUwACCo98OE?a  via @YouTube
Sat Aug 29 03:11:37 PDT 2015 --  Minecraft my world part 1: http://youtu.be/io-0FIZabHI?a  via @YouTube
Fri Aug 28 08:20:44 PDT 2015 --  Lego dimensions doctor who trailer version: http://youtu.be/g23-NxmWLk8?a  via @YouTube
Fri Aug 28 08:13:07 PDT 2015 --  Usain bolts world record run 9:59: http://youtu.be/beYS4eRBAGA?a  via @YouTube
Fri Aug 28 08:07:43 PDT 2015 --  Batman v superman trailer: http://youtu.be/fWC5glAyfqU?a  via @YouTube
Thu Aug 27 14:52:31 PDT 2015 --  So I hope you enjoy all my videos I'd you do thanks it really means a lot and also if you subscribe and like that would mean so much thanks!
Thu Aug 27 14:50:27 PDT 2015 --  I can't wait to do the career mode episodes tomorrow commentary will be soon so my videos will be more exiting
Thu Aug 27 14:49:31 PDT 2015 --  Do you guys think Mercedes will still be so good and dominate
Thu Aug 27 14:48:09 PDT 2015 --  Do you guys think button could still move to Williams even though bottas is not leaving Williams
Thu Aug 27 14:46:31 PDT 2015 --  Again (look at previous tweet for the fall info)
Thu Aug 27 14:45:54 PDT 2015 --  Hoping button the most because he is my favourite driver but I really want both of them to win do you guys agree that they should be winning
Thu Aug 27 14:44:27 PDT 2015 --  Hopefully mclaren improve because they have two brilliant drivers Jenson and fernando and I really want to see them win again
Thu Aug 27 14:43:11 PDT 2015 --  For any mclaren Honda fans don't you think it is really frustrating that mclaren are not in points but mostly not getting wins
Thu Aug 27 14:40:41 PDT 2015 --  Guys whoever likes f1 what is your favourite driver or what is your favourite team
Thu Aug 27 14:05:48 PDT 2015 --  Belgian was a good race but I don't know what happened to rosbergs start that must of cost I'm the race win
Sun Aug 23 11:48:38 PDT 2015 --  https://www.youtube.com/channel/UC3rDdBfQUQD-XGfj7WaZYDA …
Sun Aug 23 11:43:26 PDT 2015 --  Restarting YouTube channel because of personal reasons sorry
