Fri Jul 17 01:32:53 PDT 2015 --  ❂❁❋❊✿❀✺✻✹✼ pic.twitter.com/9SNiuoybRz
Sat Aug 29 02:39:31 PDT 2015 --  #sensational pic.twitter.com/ddDpVOwptB
Sat Aug 29 00:09:18 PDT 2015 --  Dude came outta nowhere with that kick lmaoooooooooooo pic.twitter.com/a4NY1Alt3h
Fri Aug 28 16:38:58 PDT 2015 --  I thought they always landed on their feet. Fucking liars. pic.twitter.com/kQctiJfflF
Fri Aug 28 16:12:32 PDT 2015 --  I've seen too much porn to get excited over any girl on here https://twitter.com/p0pson/status/637401817681408000 …
Fri Aug 28 15:40:33 PDT 2015 --  Where yall finding these monkey gifs?
Fri Aug 28 13:52:33 PDT 2015 --  pic.twitter.com/6HYF5QtU2y
Thu Aug 27 20:15:15 PDT 2015 --  Teacher: "You do your homework?" Me: https://vine.co/v/ejYUTDA6YnT 
Fri Aug 28 13:40:30 PDT 2015 --  You know my grandpaw fam? https://twitter.com/NikoWavy/status/637363984887255040 …
Fri Aug 28 15:11:05 PDT 2015 --  Lmao https://twitter.com/NikoWavy/status/637363984887255040 …
Fri Aug 28 13:41:06 PDT 2015 --  🏿️ RT @WayneL_Jr: Shawty kinda look like Kevin Gates to me pic.twitter.com/efMis1k6Yr
Fri Aug 28 13:41:47 PDT 2015 --  https://twitter.com/mr1738/status/637354709414752256 …
Fri Aug 28 13:20:53 PDT 2015 --  I could sell 10 pair of these on the streets of East Cleveland in one hour guaranteed. pic.twitter.com/5FdX4awhzn
Fri Aug 28 13:24:13 PDT 2015 --  Haven't even started again smh https://twitter.com/AshleyDrumright/status/637342411107078144 …
Fri Aug 28 11:56:51 PDT 2015 --  San andreas or Street https://twitter.com/ChickenColeman/status/637332206495641604 …
Fri Aug 28 10:45:20 PDT 2015 --  DEADASS! RT @_CoDiddy: When u tell him you pregnant and he say "So what you gon do?" pic.twitter.com/rsrbRSF043
Fri Aug 28 11:52:33 PDT 2015 --  Lemme lay right in the titties, yes RT @LoveMeDarlingg: Do guys like to be held like this? pic.twitter.com/CYynHexJdm
Wed Aug 26 08:35:09 PDT 2015 --  RT and follow @XXL for a chance to win a pair of Action Bronson x Stance socks pic.twitter.com/P6PlZUulMW
Fri Aug 28 09:40:01 PDT 2015 --  @Pure_Nonsense can't be any better than this though pic.twitter.com/w1JjymrWdv
Thu Aug 27 09:59:55 PDT 2015 --  Freshman on the first day of school when they're late for class http://vine.co/v/O2nVrx6KImg 
Thu Aug 27 19:36:30 PDT 2015 --  T.I daughter on instagram selling pussy. pic.twitter.com/AH5RGKiUke
Fri Aug 28 07:36:36 PDT 2015 --  Yep. I'll be in champaign later tonight though with Darius https://twitter.com/TJay1194/status/637272228007014401 …
Fri Aug 28 07:35:25 PDT 2015 --  Nah she ok. Nothing to go crazy over https://twitter.com/Pure_Nonsense/status/637264966412713984 …
Fri Aug 28 07:34:18 PDT 2015 --  This wknd about to be lit...
Fri Aug 28 07:33:34 PDT 2015 --  No shade to the theatre majors though. I was almost one for sound design...
Fri Aug 28 07:32:47 PDT 2015 --  Lol it's a theatre degree... https://twitter.com/Four_Pins/status/636998302773456896 …
Fri Aug 28 07:31:45 PDT 2015 --  Lmaooo https://twitter.com/CyanideClips/status/636278286985887744 …
Fri Jun 26 15:29:27 PDT 2015 --  Good View pic.twitter.com/lVEVOcMFT5
Fri Aug 28 06:17:08 PDT 2015 --  Yal so regular https://twitter.com/jawxsee/status/631189746350362624 …
Fri Aug 28 07:25:43 PDT 2015 --  Lmao https://twitter.com/BonGucci/status/637246877025460224 …
Thu Aug 27 19:36:21 PDT 2015 --  LMAOO RT @DJBRAN: When the party free before 10 it's always that 1 nigga in there at 9:05 like this pic.twitter.com/9eXFvLJTDZ
Fri Aug 28 06:16:49 PDT 2015 --  Rise & Grind... *turns on Madden*
Sun Aug 23 20:32:42 PDT 2015 --  “What are you saying in your lyrics?“ http://vine.co/v/eDxETeHbn3h 
Fri Aug 28 06:21:25 PDT 2015 --  Smh https://twitter.com/ComedyWorIdStar/status/634441372989157380 …
