Fri Aug 28 19:01:31 PDT 2015 --  http://open.spotify.com/track/2durxb17bXcmQJHSt8JAdO … #Nightshadesession Thanks @Drake
Fri Aug 28 16:24:36 PDT 2015 --  pic.twitter.com/wAUA0TUEPE
Fri Aug 28 12:20:59 PDT 2015 --  Love has 4 letters, but so does Hate ; Friends has 7 letter, but so does Enemies; Truth has 5 letters, but so does Lying.
Fri Aug 28 08:21:16 PDT 2015 --  Think I'm feeling like a Superhero today. Superman or Aquaman? #whatarethose #AllStar #ChuckTaylor https://instagram.com/p/67o_bvkQdg/ 
Fri Aug 28 07:31:57 PDT 2015 --  Live your life without rehearsal. Just be you. #nofakes #nophonies #wisdom
Thu Aug 27 18:12:07 PDT 2015 --  http://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS … #Nightshadesession Thanks @MarkRonson @BrunoMars
Wed Aug 26 20:38:48 PDT 2015 --  If people hate you, don't be worried. Because haters are people who hate the ones they can't be.
Wed Aug 26 18:30:00 PDT 2015 --  http://open.spotify.com/track/12Lemsk6c6ohm9afZxYUBz … #Nightshadesession #classic Thanks @MFDOOM
Wed Aug 26 16:25:08 PDT 2015 --  Was just in Roanoke Saturday night playing a stand-up show - a warm, welcoming, good-humored community. Heartfelt condolences.
Wed Aug 26 16:34:23 PDT 2015 --  Tell me this fool don't look like THIS fool https://instagram.com/p/63X1Z5ujdk/ 
Wed Aug 26 10:28:35 PDT 2015 --  "This kid gotta left, this kid gotta right. If he hits you once, you asleep for the night!" #ImABadMan pic.twitter.com/ZpKz9aNk8Y
Wed Aug 26 09:55:09 PDT 2015 --  Anytime they talking, it's behind your back. #wisdom
Tue Aug 25 17:45:05 PDT 2015 --  http://open.spotify.com/track/2wQVmS0j4xcSbEK8CLEgwz … #Nightshadesession Wanted to zone out to something real tonight Thanks @JColeNC
Tue Aug 25 16:49:36 PDT 2015 --  when your pullout game is nonexistent pic.twitter.com/tW7i5p1tWc
Tue Aug 25 08:48:05 PDT 2015 --  I told my uncle about photoshop... pic.twitter.com/TSIlZa2Obv
Mon Aug 24 18:21:08 PDT 2015 --  http://open.spotify.com/track/3k0Jp5IYHtBeSNKUEOqE0i … #Nightshadesession Hopefully a productive one
Mon Aug 24 16:47:43 PDT 2015 --  When you're drunk AF and your song comes on pic.twitter.com/noPPCf569i
Sun Aug 23 19:01:03 PDT 2015 --  The dumbness is strong with this one pic.twitter.com/jRdaD4dsA3
Sun Aug 23 13:17:01 PDT 2015 --  Life is 10 percent what happens to you and ninety percent how you respond to it #wisdom
