Tue Aug 25 18:33:29 PDT 2015 --  Back on my system!!! Psn: LGsju10 https://instagram.com/p/61AqxboB5-/ 
Thu Aug 20 14:35:28 PDT 2015 --  #Whatarethoseee! https://twitter.com/NBALiveTv1/status/634440103415443456 …
Thu Aug 20 14:25:54 PDT 2015 --  Uploading
Thu Aug 20 13:10:20 PDT 2015 --  Today I announce hover board winners ;)
Mon Aug 17 22:58:37 PDT 2015 --  Doneeee!! @OMGitsAliA @SamsungUK https://twitter.com/OMGitsAliA/status/633429451532038146 …
Sun Aug 16 13:54:37 PDT 2015 --  https://youtu.be/ubkdDACluSQ  #myfavouritevlog @RomanAtwood
Sun Aug 16 13:53:45 PDT 2015 --  https://youtu.be/ubkdDACluSQ  #myfavouritevlog @RomanAtwood
Sun Aug 16 13:53:13 PDT 2015 --  https://youtu.be/jzf32ccSsfo  #myfavouritevlog @RomanAtwood
Sun Aug 16 13:52:33 PDT 2015 --  https://youtu.be/RwOe-Zyie98  #myfavouritevlog @RomanAtwood
Sun Aug 16 13:51:58 PDT 2015 --  https://youtu.be/jHgDWh5uHyI  #myfavouritevlog @RomanAtwood
Sun Aug 16 13:51:13 PDT 2015 --  https://youtu.be/x5813oiLscE  #myfavouritevlog @RomanAtwood
Sun Aug 16 13:50:26 PDT 2015 --  https://youtu.be/RwOe-Zyie98  #myfavouritevlog @RomanAtwood
Sun Aug 16 13:49:45 PDT 2015 --  https://youtu.be/cUGOqoiys_4  #myfavouritevlog @RomanAtwood
Sun Aug 16 13:48:40 PDT 2015 --  https://youtu.be/Kj_3JokXZBg  #myfavouritevlog @RomanAtwood
Sun Aug 16 13:47:30 PDT 2015 --  https://youtu.be/7t0EtKlQxyo  #myfavouritevlog @RomanAtwood
Sun Aug 16 13:46:29 PDT 2015 --  https://youtu.be/6JRkRpE73d8  #Myfavouritevlog @RomanAtwood
Sun Aug 16 13:45:43 PDT 2015 --  https://youtu.be/j6sRlQYJYN4  #myfavouritevlog @RomanAtwood
Sun Aug 16 13:42:46 PDT 2015 --  https://youtu.be/j6sRlQYJYN4  #myfavoritevlog @RomanAtwood
Sun Aug 16 13:40:58 PDT 2015 --  https://youtu.be/I5G67Zi0Sho  #myfavoritevlog @RomanAtwood
