Fri Aug 14 16:09:11 PDT 2015 --  Detrás de cada un "¿Que vas hacer hoy?" hay un "Quiero salir contigo."
Mon Aug 10 20:50:04 PDT 2015 --  Voy a estar siguiendo a algunas personitas al azar que le den RT a este tweet y los anteriores que más puedan. GO!
Thu Jul 02 11:28:05 PDT 2015 --  u better do it!! https://twitter.com/Zach_Dorsey/status/616667001063346176 …
Thu Jul 02 11:50:51 PDT 2015 --  @AustinMahone proud of you! #BuyDirtyWorkOnItunesNow trust me you won't regret it http://republicrec.co/AustinDirtyWork 
Thu Jul 02 11:59:36 PDT 2015 --  . @princesspiamia THANK U!!!! BTW #DoItAgain is my jam https://www.youtube.com/watch?v=cNw8A5pwbVI …
Thu Jul 02 11:59:40 PDT 2015 --  @iambeckyg thanks bae http://republicrec.co/AustinDirtyWork 
Thu Jul 02 12:03:30 PDT 2015 --  yup https://twitter.com/iCareForAmeezy/status/616637854102482944 …
Thu Jul 02 12:32:59 PDT 2015 --  Didn't think you were going to do it!! lol love it #MahomiesGoHardest https://twitter.com/godlydorsey/status/616673581393645568 …
Thu Jul 02 14:01:53 PDT 2015 --  I want to hug every one of you. Your support means everything. Beyond blessed https://twitter.com/FutureUGirlCari/status/616712847062491136 …
Thu Jul 02 16:30:24 PDT 2015 --  AC never told a lie #getdirtyworkonitunes https://twitter.com/alexconstancio/status/616715957034070020 …
Thu Jul 02 16:32:01 PDT 2015 --  @JumpSmokers somebody's got to do it
Thu Jul 02 17:43:53 PDT 2015 --  VIVA https://twitter.com/AmeezysSister/status/616705927262048256 …
Thu Jul 02 17:45:46 PDT 2015 --  I LOVE MEXICO https://twitter.com/SofiaaPerez_16/status/616769381427605504 …
Thu Jul 02 07:55:09 PDT 2015 --  Morning everyone!! On my way to San Fran https://itunes.apple.com/us/album/dirty-work-single/id1015143119 …
Thu Jul 02 09:04:39 PDT 2015 --  #DIRTYWORK IS HERE!!! LINK IN BIO!!! ONLY 69 CENTS #BuyDirtyWorkOniTunes http://republicrec.co/AustinDirtyWork  pic.twitter.com/5f5dk0SxLf
Thu Jul 02 09:07:24 PDT 2015 --  #BuyDirtyWorkOniTunes http://republicrec.co/AustinDirtyWork  https://twitter.com/heartinmyhand10/status/616476453136281600 …
Thu Jul 02 10:06:30 PDT 2015 --  #SPREEEEEEEEEEEEEEEE RT FOR A FOLLOW #BuyDirtyWorkOniTunes http://republicrec.co/AustinDirtyWork  #MahomiesGoHardest pic.twitter.com/MBBAYrTpKP
Wed Jun 03 16:41:43 PDT 2015 --  Me recomendaron una película pero nunca supe de que trataba hasta que la vi... Gran película! Te admiro! #AEscondidas @germanalcarazu1
Fri Apr 24 16:39:39 PDT 2015 --  Mi hermanito de por vida <3 @DavidGGonzalezz pic.twitter.com/AfFu9VwMwl
Sun Apr 05 20:51:14 PDT 2015 --  Conmigo o sin mí, siempre quiero verte feliz. Amar es desearle siempre lo mejor a esa persona...
Sun Apr 05 20:50:11 PDT 2015 --  Un caballero tiene la paciencia para esperarla, la fuerza para cuidarla, el cariño para amarla y la inteligencia para no perderla...
Sun Apr 05 20:49:23 PDT 2015 --  Una de las mejores sensaciones en la vida es abrazar a alguien después de haberle extrañado tanto...
Mon Mar 23 20:59:18 PDT 2015 --  Me dijeron que para enamorarla tenía que hacerla sonreír. El problema es que cada vez que sonríe, me enamoro yo...
Mon Mar 23 19:34:22 PDT 2015 --  Aveces para querer a alguien sólo se necesita querer...
Sun Mar 22 20:48:49 PDT 2015 --  Estaré esta noche siguiendo a las personas que den RT a este tuit, y me tuiteen con #FollowSebas Los quiero!
Mon Mar 16 11:44:47 PDT 2015 --  @DavidGGonzalezz thanks for the follow!
Sun Mar 15 21:53:48 PDT 2015 --  Cuando alguien te elimina de una red social y lo bloqueas de coraje #ArdidoComoAlice
Tue Oct 07 06:31:32 PDT 2014 --  Una sonrisa en mi rostro no significa la ausencia de problemas, sino la habilidad de ser feliz por encima de ellos.
Tue Dec 09 20:29:04 PST 2014 --  Te extraño más de lo que pensé que te extrañaría.
