Mon Aug 17 19:59:33 PDT 2015 --  #TodosPorDominic #parcerodecuatropatas pic.twitter.com/sDECv3BDEY
Mon Aug 17 19:58:47 PDT 2015 --  #TodosPorDominic #parcerodecuatropatas pic.twitter.com/uNaiSNXLmd
Fri Jul 10 11:42:35 PDT 2015 --  El 20 de julio hay que cuidar nuestra patria. Vendido hp.. pic.twitter.com/zihtNgwA3t
Sat Jul 04 09:26:19 PDT 2015 --  Qué tristeza constatar que entre Buenaventura y frontera con Ecuador,los jóvenes del Pacífico solo tienen coca y Farc pic.twitter.com/EPUADUHoOk
Sat Jul 04 09:24:47 PDT 2015 --  Un caballero.. Ser ?? O un hombre ?? Decidan las mujeres..
Sat May 02 21:05:09 PDT 2015 --  No es muy similar pero no https://twitter.com/polillafeliz/status/594713546002411520 …
Sat May 02 20:06:10 PDT 2015 --  #LaPeleaDelSigloEs Pacquiao mas una hamburguesa súper pic.twitter.com/FzkKhCKvkR
Tue Apr 21 08:49:02 PDT 2015 --  Es cierto!!! @AlvaroUribeVel https://twitter.com/alvarouribevel/status/590542494200389632 …
Mon Apr 20 17:40:38 PDT 2015 --  Es muy sencillo por que creer En el centro democrático por @AlvaroUribeVel https://twitter.com/villavoalreves/status/590313281543372800 …
Fri Apr 17 09:49:02 PDT 2015 --  #NoAlProcesoDePaz si a #UribeCorazónGrande
Tue Apr 14 12:52:43 PDT 2015 --  Mi solidaridad con el General (r)Oscar Naranjo y familia por el fallecimiento de su padre el General Francisco José Naranjo. Dios y Patria.
Sun Apr 05 16:23:39 PDT 2015 --  Trancon monumental #Villavicencio vía a #acacias pic.twitter.com/OSgVmVV8M1
Sun Apr 05 14:58:58 PDT 2015 --  Finlandia, la mejor educación Gratuita Docentes muy respetados, bien pagos, posgraduados, 95% sindicalizados, autonomía y cursos pequeños
Wed Mar 25 07:46:36 PDT 2015 --  La barbarie de las Farc no conoce límites: FFMM confirman que el ataque en Guaviare lo hicieron con balones bomba
Wed Mar 25 07:46:51 PDT 2015 --  Avanza con todo éxito la audiencia en el Senado: "La OCDE V.S. El derecho a la pensión en Colombia" pic.twitter.com/qFT80Tbxut
Wed Mar 25 07:50:02 PDT 2015 --  Lugares emblemáticos del mundo vistos desde el aire http://bit.ly/1xygBPx 
Wed Mar 25 07:50:27 PDT 2015 --  Si hay plata para pensiones, pero el sector privado tiene 150 billones de los pensionados: Orlando Restrepo, Pte CPC #LaOCDEcontraMiPensión*
Wed Mar 25 05:12:32 PDT 2015 --  “ @PeriodicodMeta: Accidente en la vía Villavicencio-Acacías. Congestión vehicular a esta hora.” @OlimpicaVillavo
Wed Mar 25 03:25:03 PDT 2015 --  El #Llano no es como lo pintan... ¡es mejor! #Villavicencio / Meta. pic.twitter.com/2SlDEOx78s
Tue Mar 17 17:13:09 PDT 2015 --  Estoy proponiendo que farc paguen condenas penales en Colonias Penales Agrícolas q son sitios reclusión y complementen con trabajo agrícola
Tue Mar 17 17:20:03 PDT 2015 --  Las Farc participarán suministrando información de desminado: general Naranjo http://bit.ly/1FybU9l  pic.twitter.com/XDOTtgxtnj
Thu Mar 19 17:01:44 PDT 2015 --  8 de cada 10 ciudadanos están preocupados por la economía,102.2% de inflación de alimentos en 12 meses y 28% de escasez #ModeloFracasado
Thu Mar 19 17:01:53 PDT 2015 --  Soldado de la Patria asesinado en el Cauca cuando adelantaban procedimiento para capturar a terrorista de Farc
Mon Mar 16 19:36:04 PDT 2015 --  El paro camionero lleva 21 días pero apenas ahora, con secuelas graves, comienzan a pellizcarse en serio en el gobierno valorando sus causas
Tue Mar 17 07:52:28 PDT 2015 --  Vamos Quintana que el META Te apoya #FuerzaColombia
