Fri Aug 28 18:47:30 PDT 2015 --  Donde no hay honor, hay caos. http://ricardoarjona.com/donde-no-hay-honor-hay-caos/ …
Fri Aug 28 20:01:35 PDT 2015 --  Una lectura obligatoria para conocer mejor a @ZuryxGuate http://ventana.net/articles/zury_zury_zury.php … @An0nymousGT
Thu Aug 27 19:41:35 PDT 2015 --  #SeBusca a Mario Linares!!! @EmisorasUnidas @An0nymousGT (chicos, averiguen donde vive porfa) @justiciayagt RT!! pic.twitter.com/lg9UxFepDt
Thu Aug 27 14:49:14 PDT 2015 --  En virtud que no aparece el presidente de la comisión pesquisidora !! pic.twitter.com/caXA9F9DgE
Thu Aug 27 11:33:47 PDT 2015 --  Guatemala no se arregla compartiendo una imagen!!.Guatemala se arregla cuando te levantas y actuas!! #Paro27A #ParoNacional @An0nymousGT
Thu Aug 27 11:10:36 PDT 2015 --  Vamos Guate!! A Vencer o a Morir Llamar!!!
Wed Aug 26 14:40:28 PDT 2015 --  Juez Miguel Ángel Gálvez, DEMUESTRA que cuando se quiere, y además se cuenta con el apoyo ciudadano... SE PUEDE
Wed Aug 26 07:00:03 PDT 2015 --  La adversidad tiene el don de despertar talentos que en la comodidad hubieran seguido dormidos. – Anónimo http://fb.me/7rhGZLUEb 
Tue Aug 25 15:30:22 PDT 2015 --  Por meses investigamos la disputa por la planta Jaguar Energy. Y descubrimos que "el # 1" también está involucrado. http://buff.ly/1WQiBfb 
Tue Aug 25 14:33:32 PDT 2015 --  "Usted era una funcionaria pública, un cargo alto, solo una vicepresidenta hay, entonces ¿cuáles eran sus funciones? no tomar dinero así"
Tue Aug 25 14:36:41 PDT 2015 --  "¿Cuáles son las funciones de la Vicepresidenta? No es tomar dinero de la SAT", juez analiza delito de de defraudación aduanera. #Baldetti
Tue Aug 25 14:49:10 PDT 2015 --  La CSJ aprueba el trámite a antejuicio contra OPM y remite su expediente al Congreso. #LaCaída #CasoLaLínea #Yaaay pic.twitter.com/0QOm3QHQ70
Tue Aug 25 14:50:49 PDT 2015 --  #CasoLaLínea. Existen los indicios racionales para que sea ligada a proceso señala el juez en su resolución. pic.twitter.com/uIQLwngVg1
Tue Aug 25 14:51:03 PDT 2015 --  Histórico: La primera mujer Vicepresidenta de Guatemala es lígada a proceso y enviada a prisión preventiva. pic.twitter.com/Ec00rDQrpy
Tue Aug 25 14:51:21 PDT 2015 --  URGENTE Ligan a proceso a Roxana Baldetti. Exvicepresidenta debe enfrentar juicio por corrupción. #CaeBaldetti pic.twitter.com/nCIvXFB3nr
Tue Aug 25 13:53:39 PDT 2015 --  Baldetti en estos momentos #LaLínea #JuezGalvez #BaldettiEnElBanquillo pic.twitter.com/hv8Wn95btW
Tue Aug 25 08:16:08 PDT 2015 --  Señor @ottoperezmolina usted ya no es mi presidente; usted es un sucio ladrón vil y despreciable que busca confrontar hermanos @An0nymousGT
Sun Aug 23 20:37:59 PDT 2015 --  Resumen Presi: Me pongo bajo faldas de LÍDER. Yo protejo y ayudo, espero lo mismo de ellos. Ambos estamos embarrados y nos necesitamos
Sun Aug 23 20:32:36 PDT 2015 --  Vergüenza. Descaro. Soberbia. Frustración y fracasó de un CARA DURA: el Presidente de la República
