Sat Aug 29 00:50:29 PDT 2015 --  Coetzee and Brussow left out of WC squad will prove to be a huge mistake.
Fri Aug 28 20:50:18 PDT 2015 --  Been using it on Surface - impressed This isn't a touch laptop will advise! “ @Bay35Pablo: @DjuroSen am on 7 too. Let me know if worthwhile!”
Fri Aug 28 20:40:02 PDT 2015 --  Upgrading the Windows machine from 7 to #Windows10 #skipped8 pic.twitter.com/Awex6ILM2R
Fri Aug 28 13:54:05 PDT 2015 --  STARS WIN! What a fightback. What a match. What a win! http://cricketa.us/ENGvSS15_6  #Ashes pic.twitter.com/htqo0x8Nfm
Thu Aug 27 22:35:06 PDT 2015 --  He's in the car and still coming last @MattCarmichael https://twitter.com/MattCarmichael/status/637102984048939008 …
Thu Aug 27 02:22:51 PDT 2015 --  "It wouldn't worry me to pick him out of reserve grade (for Blues)" - Laurie Daley talks about @RobbieFarah. #7News http://snpy.tv/1Ijlv1a 
Wed Aug 26 12:30:54 PDT 2015 --  Ram 1 Drone 0 pic.twitter.com/YtQusV64tm
Thu Aug 27 00:15:25 PDT 2015 --  LG unveils Rolly, the world’s first solid rollable wireless portable keyboard for m ... - http://bit.ly/1MPkYu6  pic.twitter.com/53RmuxVcGj
Wed Aug 26 23:44:06 PDT 2015 --  Happy anniversary AUSSAT - launched 30 years ago today. Image via @Optus of Discovery 1985. pic.twitter.com/5gP7BhsgpR
Wed Aug 26 23:33:03 PDT 2015 --  You get all the junkets @jeloscek https://twitter.com/jeloscek/status/636786307570663425 …
Wed Aug 26 00:22:51 PDT 2015 --  Just 6? https://twitter.com/DailyMirror/status/636438291794018304 …
Mon Aug 24 21:53:29 PDT 2015 --  You've been hacked. #noskim https://twitter.com/matthewsnelson7/status/636037938703265792 …
Sun Aug 16 16:54:02 PDT 2015 --  A pod of dolphins surfing waves in South Africa! Photo by Mark van Collier pic.twitter.com/qZdHbNqB1U
Sun Aug 23 14:50:06 PDT 2015 --  Speed boost for mobile phones https://au.news.yahoo.com/video/watch/29330043/ …
Sun Aug 23 01:03:26 PDT 2015 --  Patty hasn't changed a bit https://twitter.com/PeterDoherty7/status/635360872697761792 …
Sat Aug 22 23:50:02 PDT 2015 --  Do you want faster downloads on your mobile phone? Find out how on 7 News at 6pm with @DjuroSen. #7News pic.twitter.com/pMdBezRcYr
Sat Aug 22 04:56:08 PDT 2015 --  Still alive ... Just https://twitter.com/geelongcats/status/635057655120195584 …
Sat Aug 22 00:45:59 PDT 2015 --  In position to see @neiltyson talk in Sydney to a sellout crowd. #cosmos #science pic.twitter.com/trYEE81cEu
