Thu Jul 30 23:55:11 PDT 2015 --  I don't wanna be poor pic.twitter.com/FF5PJsM0gC
Sun Aug 09 05:14:25 PDT 2015 --  Strength is when you have so much to cry for but you prefer to smile instead.
Wed Jul 29 19:32:47 PDT 2015 --  pic.twitter.com/lCeoWd9WSq
Mon Jul 13 17:03:46 PDT 2015 --  If you want it, work for it. It's that simple.
Mon May 04 20:41:11 PDT 2015 --  pic.twitter.com/XOkr7UYSc8
Sat May 30 08:00:54 PDT 2015 --  Women with higher IQs have a harder time finding a mate. Intelligent women would rather remain single than be with the wrong person.
Sun May 31 11:46:24 PDT 2015 --  This @ArabianPastry pic.twitter.com/Cuujuy4sG7
Tue Sep 23 21:00:45 PDT 2014 --  Sorry I read the Quran to learn abt terrorist beliefs but ended up converting to Islam b/c of what it said. #MuslimApologies #sorrynotsorry
Fri Oct 03 21:20:40 PDT 2014 --  Eid Mubarak to everyone celebrating today .x
Tue Jul 22 04:07:07 PDT 2014 --  I'VE NEVER WANTED A PICTURE TO SPREAD MORE IN MY ENTIRE LIFE pic.twitter.com/MjJQcKE2l6
Thu Jul 31 05:43:49 PDT 2014 --  This is Israel, Proud to be a Murderer of Kids. And aiming to Kill more. A walking Dead! #DavidDovadia pic.twitter.com/9qEYsLFr7G
Tue Jul 29 20:18:10 PDT 2014 --  This is Gaza right now. Wallahi, if this does not break your heart.. then you are not a human. #GazaUnderAttack pic.twitter.com/7EICnOFZVf
Tue Jul 29 22:06:45 PDT 2014 --  So sick watching our Secretary of State have to grovel so hard to tell Israel how much he loves them while Israeli cabinet shits on him
Mon Jul 28 03:04:55 PDT 2014 --  When someone gives you money on Eid.. https://vine.co/v/MAlmuTHJjix 
Sun Jul 27 17:31:23 PDT 2014 --  #FreePalestine.
Sat Jul 26 10:03:17 PDT 2014 --  If you don't like what I'm currently talking about just unfollow. Its a relatively simple process. #StopKillingChildrenInGaza
Sat Jul 26 02:44:49 PDT 2014 --  #IStandForGaza
Fri Jul 25 12:20:46 PDT 2014 --  #StopKillingChildrenInGaza
Tue Jul 15 02:12:02 PDT 2014 --  When you get all dressed and your mom says you can't go out pic.twitter.com/2fAP6WZ3Jp
Sat Jul 12 03:35:17 PDT 2014 --  Prayers, peace and love. #PrayForGaza #PrayForPalestine pic.twitter.com/0tzzToaJVh
Sat Jul 19 17:35:05 PDT 2014 --  me when i go out in the public pic.twitter.com/LjHUqX0RME
Thu Jul 17 17:15:44 PDT 2014 --  can we all take a moment to appreciate how amazing this tweet is pic.twitter.com/CbmgigdUUM
Wed Jul 16 22:56:50 PDT 2014 --  Chile has done what no other country has dared, stopped any trade with Israel until end of conflict. #FreePalestine pic.twitter.com/SpRWkVQTTk
Thu Jul 17 10:02:24 PDT 2014 --  Four more children ages 4 to 8 killed today by Israeli bombs in Gaza City. Eight children now killed here in two days.
Thu Jul 17 10:03:49 PDT 2014 --  What's up with this #MalaysiaAirlines
Wed Jul 16 19:03:04 PDT 2014 --  Golden words by Angelina Jolie. #Respect pic.twitter.com/hugezd9aIS
Tue Jul 15 19:03:53 PDT 2014 --  Just cuz your Israeli dont mean u gotta defend ur country when theyre out here killing innocent lives. Leave ur ugly pride & face the truth
