Fri Aug 28 09:05:59 PDT 2015 --  selesai theater... thankyou for todaaayyy pic.twitter.com/iu2Gx4tFHo
Thu Aug 27 12:54:01 PDT 2015 --  @contactap2 selamat dirgahayu HUT AP II ke 31. Semoga kedepan nya lebih baik lagi, di bandara SMBII #HUTAPII31 pic.twitter.com/4b8rbVzAbs
Fri Jul 24 06:14:44 PDT 2015 --  jadi inget dulu dm'an sama doi -,-
Sun Aug 23 15:25:09 PDT 2015 --  . @LUISENRIQUE21 "Overall, I'm satisfied. We created chances, a lot more than Athletic" pic.twitter.com/44pg8Ohzsx
Sun Aug 23 16:00:14 PDT 2015 --  Kovacic jugó sus primeros minutos con el Real Madrid. http://bit.ly/1JdVUbB  #RMLiga #HalaMadrid pic.twitter.com/45mAWdNsUb
Sun Aug 23 16:05:22 PDT 2015 --  An important announcement from Stevie for all of you. http://fb.me/4FYMjhiVC 
Sun Aug 23 16:32:38 PDT 2015 --  Semangat buat harininiiii!!!! Yang upacara juga semangat jangan males malesan ya heheheh
Fri Aug 21 00:11:59 PDT 2015 --  Siapakah Member JKT48 Favoritmu di Halloween Night? Yuk vote! http://goo.gl/w3kiQB  pic.twitter.com/ZKLFJfiryC
Thu Aug 20 05:00:02 PDT 2015 --  @JKT48FC Follback dan Bantu RT wots kita lagi open follback 50k Follower.thanks^^
Thu Aug 20 05:00:09 PDT 2015 --  Kondisi terlalu lapar atau kenyang dapat mengganggu kualitas tidur, makanya makan malam yang cukup yaa Lawson-chan^^
Thu Aug 20 02:12:00 PDT 2015 --  Saksikan eps "To Do List" pkl 7 malam nanti :) pic.twitter.com/M5v1QXDIgA
Wed Aug 19 07:51:16 PDT 2015 --  4: hari ini udah makan berapa kali? Hari ini 2 kali..heheheh..tapi banyak yah..gendut...wkwkwkwk
Wed Aug 19 07:50:34 PDT 2015 --  3:kalo tidur berapa jam sehari? Seru banget karena pada masih kecil jadi aku juga bisa anak kecil..hahah..teamT kan lagi maju jadi dukung ya
Wed Aug 19 07:49:29 PDT 2015 --  2:kalo tidur berapa jam sehari? Kalo lagi sibuk 2jam kalo gak sibuk 12jam juga pernah ...hehehe
Wed Aug 19 06:56:08 PDT 2015 --  @Cindvia_JKT48 makasih banyak yaah, Yupii si poni goyaang, hihih, gbu alwaaays~
Wed Aug 19 05:11:05 PDT 2015 --  @Elizaputri01 followed eliza :D
Mon Aug 17 10:58:49 PDT 2015 --  Kita foto aja terus smape kenyang #MBK pic.twitter.com/VpMiW1GtSl
Mon Aug 17 10:56:42 PDT 2015 --  Masih blm ngantuk
Mon Aug 17 10:54:11 PDT 2015 --  Yaampunn #xmipa5 pic.twitter.com/HyU97vcmLa
Mon Aug 17 10:52:55 PDT 2015 --  17an pic.twitter.com/tQ8sKmr7wH
Mon Aug 17 06:27:38 PDT 2015 --  Hi kak @novinta__ apa kabarnya nih ??
Sun Aug 16 19:47:10 PDT 2015 --  Yuk handshake yuk, anak anak SD J nya udah siap niiih :333 pic.twitter.com/2LvmcHpA6y
Sun Aug 16 01:00:10 PDT 2015 --  Ini dapat dari japantakamina cerita tentang akusenang banget dan kangen 今日ファンの方に頂いてみました。嬉しいです。たかみなに会いたい(T . T) pic.twitter.com/J09TwrBvsl
Sun Aug 16 01:26:54 PDT 2015 --  Sampai jakarta dan sudah di fx skarang pijet pijet dulu
Sun Aug 16 04:22:56 PDT 2015 --  [INFO] Dapatkan Photopack seri terbaru yang akan dirilis besok, 17 Agustus 2015, mulai 10.00 WIB di venue #JKT48RefrainHSF !
Sun Aug 16 00:46:47 PDT 2015 --  LITTLE MIX!! Love these girls!! They smashed it tonight in front of 50,000 screaming fans. Amazing. @LittleMix pic.twitter.com/QuOb9zLLv8
Sun Aug 16 00:43:04 PDT 2015 --  Wuhuu ini seru banget.. Lomba tarik tambang di Lapangan Kecamatan Bekasi #PestaRakyatRCTI26 pic.twitter.com/vx6dcOJQO5
Sun Aug 16 00:40:45 PDT 2015 --  Cinta bisa bikin orang jadi bodoh, karena bagian-bagian rasional dari otak manusia tertutup saat ia sedang jatuh cinta. [Prof. Robin Dunbar]
Sun Aug 16 00:37:28 PDT 2015 --  Energi yang terdapat pada satu sambaran petir cukup untuk listrik rumah selama dua minggu.
Sat Aug 15 23:58:17 PDT 2015 --  Ombak pantai Plengkung, pulau G-Land, Banyuwangi, termasuk 7 terbaik dunia. Ombak bisa setinggi 6m, panjang 2km dalam 7 susun gelombang.
Mon Jan 05 07:09:35 PST 2015 --  Se todas essas namoradas que estão colocando pra mim fossem verdade, eu teria que morar em um dos países que podem ter 10 mulheres
Sat Aug 15 06:35:55 PDT 2015 --  Gua lupa kenapa gk di screenshoot aja ya
Sat Aug 15 06:34:12 PDT 2015 --  Gua kira orang koreaaa pic.twitter.com/GmYqZ7GFpf
Sat Aug 15 06:34:12 PDT 2015 --  Wooooowwww pic.twitter.com/49STqgr98l
Sat Aug 15 06:33:54 PDT 2015 --  Origamiii pic.twitter.com/nbWWzhDhuf
Sat Aug 15 06:30:43 PDT 2015 --  Tugasssssss tiada hari tanpa tugassssss
Sat Aug 15 06:29:14 PDT 2015 --  Hayyy gaisss... lagi ngapain gaissss ???
Sat Aug 15 06:28:02 PDT 2015 --  Yang penting guanya happy... ya nggak
Sat Aug 15 06:27:33 PDT 2015 --  Nggak papalah dibilang gk jelas juga
Sat Aug 15 06:27:13 PDT 2015 --  Abcdefghijklmnopqrstuvwxyz
