Sat Aug 29 01:49:49 PDT 2015 --  #LaCagasteTotalmenteCuando me queres cambiar!!!
Sat Aug 29 01:38:02 PDT 2015 --  Ahora da lo mismo el amor hoy es turismo diciendole que no al que viene romanticismo
Sat Aug 29 01:32:29 PDT 2015 --  Si necesitas reggaeton dale sigue bailando mami no pare acercate a mi pantalon dale vamo a pegarno como animale
Fri Aug 28 18:04:07 PDT 2015 --  meu ponto fraco tem nome, endereço e um sorriso lindo.
Sat Aug 29 00:47:48 PDT 2015 --  ¿Nos seguimos? Solo gente buena onda #SabadoDeGanarSeguidores
Sat Aug 22 19:36:35 PDT 2015 --  TENGO GANAS DE SEGUIR GENTE! ellos me ya me siguen #SIGUEMEYTESIGO RT Y TE RECOMIENDO #SabadoDeGanarSeguidores pic.twitter.com/1FzQQmmLSF
Fri Aug 28 22:18:40 PDT 2015 --  Seguime que no te vas a arrepentir!!! #SabadoDeGanarSeguidores.
Fri Aug 28 22:14:43 PDT 2015 --  Directo - digo siempre la verdad aunque te duela o moleste -seguime y si me interesan tus twitts te sigo. #SabadoDeGanarSeguidores.
Fri Aug 28 17:36:03 PDT 2015 --  Se escribe 'Bue' y se pronuncia 'MORITE'.
Fri Aug 28 17:35:01 PDT 2015 --  #NoDaQue hagas como si nada hubiese pasado.
Fri Aug 28 12:17:57 PDT 2015 --  #FracasasEnLaVidaCuando vivis molestando al resto por lo que hace sin que eso que hace te afecte a vos.
Fri Aug 28 01:09:12 PDT 2015 --  Sin libertad, no existe la democracia.
Fri Aug 28 01:04:30 PDT 2015 --  #MeRePodesSi me regalas chocolate
Fri Aug 28 01:02:21 PDT 2015 --  #ExtrañoMuchoEsoDe no hacer nada
Thu Aug 27 20:59:05 PDT 2015 --  Odio cuando te decidis y compras algo a $800 salis del local haces una cuadra y te encontras con lo mismo a $2 asi es la vida t da y t quita
Fri Aug 28 00:15:29 PDT 2015 --  Triple crimen: el preso Lanatta llevó a Tribunales tarjetas personales de Scioli y Aníbal Fernández http://ow.ly/Ro7jj 
Thu Aug 27 20:56:43 PDT 2015 --  #MeRePodesSi estas en los detalles
Wed Aug 26 19:50:30 PDT 2015 --  Dejando de lado si la elección fue justa o no si van a poner la foto de 1 de los dos en un libro van a elegir al más lindo #DueloFinalMChef.
Wed Aug 26 18:03:40 PDT 2015 --  el regente esta mucho más emocionados que nosotros con el viaje a mendoza pic.twitter.com/WfKehWx9t0
