Tue Aug 25 10:51:19 PDT 2015 --  Si a mi también me duele y mucho #Tucuman #Tucumanazo pic.twitter.com/eGV4GXBLnu
Mon Aug 24 20:29:15 PDT 2015 --  no por el triunfo sino por el GRAN fraude @natzamorano total vos defendes a quien te llena los bolsillos es lógico, nunca mas a la represión
Mon Aug 24 20:19:08 PDT 2015 --  de cual demoracia es la que hablas @natzamorano ? no se puede protestar pacificamente? o solo vale con chori de x medio? -- @Srta_Andie
Mon Aug 24 18:08:50 PDT 2015 --  #FraudeEnTucuman pic.twitter.com/riqlti4m6q
Mon Aug 24 14:12:19 PDT 2015 --  Hoy #FraudeEnTucuman La mafia nos roba la República Y Scioli es parte de esa mafia EXIJAMOS BOLETA ÚNICA !! pic.twitter.com/GIUHbU7LiM
Mon Aug 24 16:49:54 PDT 2015 --  #FraudeEnTucuman y se escucha gritar que se vayan !!!! Que se vayan !!! Veni baila dueña del circo así como lo hiciste en plenos saqueos .
Sun Aug 23 21:29:59 PDT 2015 --  Para el Peronismo Kirchnerista, esto se llama méntanseN la democracia en el ORTO !! #FraudeEnTucuman pic.twitter.com/xsPhm4ON10
Sun Aug 23 13:40:48 PDT 2015 --  @JCanoOK @DomingoAmayaOk Cambiemos Tucuman!!!!!
Sun Aug 23 13:10:01 PDT 2015 --  Esas ganas de cerrar los ojos y que todo vuelva a ser como antes.
Sun Aug 23 13:15:01 PDT 2015 --  Si eliges a una mujer, tienes que renunciar al resto. Simple.
Fri Aug 21 17:47:29 PDT 2015 --  "Esta noche usted y yo sentiríamos de todo, menos frío." - Fernando Vásques pic.twitter.com/swii18cd42
Sun Aug 23 13:23:59 PDT 2015 --  . @Juanjpsosa no entendés @AnitaMontanaro es una "fanática", no hace juicio de valores, no piensa, sólo obedece órdenes.
Wed Aug 19 20:45:51 PDT 2015 --  "El éxito no se trata de hacer cosas Extraordinarias sino hacer cosas ordinarias de manera Extraordinaria" Hyenuk Chu
Thu Aug 13 18:44:47 PDT 2015 --  Va para todos, los inundados nooo tienen partido, tienen agua!!!! Abrazo https://twitter.com/facundorose/status/632003375966593024 …
Sun Nov 02 19:06:00 PST 2014 --  Madurar es dejar el orgullo a un lado y hablar aunque estén enojados.
Mon Aug 10 12:55:45 PDT 2015 --  Feliz cumpleaños a mi papá!!! Siempre te voy a admirar, sos mi ejemplo viejo querido. pic.twitter.com/zTmT32ohxd
Thu Aug 06 13:10:16 PDT 2015 --  #YolovotoaMM pic.twitter.com/PGQHXefUDP
Sun Aug 02 18:23:23 PDT 2015 --  A que hora se estrena "Capitán Nemo"? @FernandezAnibal pic.twitter.com/UAVgFRsqmT
Mon Jul 20 10:15:37 PDT 2015 --  Por aquellos amigos que merecen que su historia se vuelva una película. #FelizDíaDelAmigo pic.twitter.com/ktpM45NSmW
Fri Jul 17 18:38:18 PDT 2015 --  #amores https://instagram.com/p/5QmN4pCAmA/ 
Fri Jul 17 18:33:22 PDT 2015 --  Acabo de publicar una foto https://instagram.com/p/5Qlpz4iAlD/ 
Fri Jul 17 13:06:58 PDT 2015 --  Aire!!, ya!!, "La Tarde con Germán Paoloski"!!!, quédate con nosotros hasta las 20hs!!. #PoneteLa10 http://fb.me/1RUYOqGtl 
Fri Jul 17 15:04:02 PDT 2015 --  A disfrutarlo #jueves https://instagram.com/p/5PgZ3WCAqL/ 
Mon May 25 20:37:06 PDT 2015 --  Quédate con quien conozca la peor versión de ti, y en vez de irse, se quede y te ayude a ser mejor.
Tue Jul 14 11:16:46 PDT 2015 --  ¿Qué es la vida? pic.twitter.com/EfrVvutFBN
Sun Jul 05 07:00:14 PDT 2015 --  Quien quiere hacer algo encuentra un medio, quien no quiere hacer nada encuentra una excusa pic.twitter.com/DdJf6rLgJ5
Fri Jun 12 18:00:11 PDT 2015 --  Nada que un par de besos no pudieran remendar.
Mon Jun 08 17:38:50 PDT 2015 --  Hola soy Panchito y busco novia para compartir lindos momentos!! pic.twitter.com/6bW6bqqoGt
Sun Jun 07 00:05:01 PDT 2015 --  "Nunca fuimos nada... Pero siempre hubo algo."
Fri Jun 05 20:06:10 PDT 2015 --  Los labios se muerden. Los ojos se miran. La piel se toca. Las nalgas se aprietan. El pelo se acaricia. Y el cuello se besa.
Fri Jun 05 10:19:17 PDT 2015 --  #DiaMundialdelMedioAmbiente Con estas ideas ayudamos y cuidamos a nuestro planeta... trici.cl @SoledadOnetto @Orrego pic.twitter.com/CfOO14JOxr
Mon May 11 07:41:49 PDT 2015 --  ATENCIÓN: difundir este video donde un "hincha" de #Independiente ROBÓ la pantalla de la Sala de Prensa. Increíble. pic.twitter.com/dzvnaJYKzc
Sun May 10 15:10:01 PDT 2015 --  El amor duele, los amigos se van, el tiempo se pierde, los recuerdos no se olvidan, las promesas se rompen, pero la vida sigue.
Sat May 09 11:52:44 PDT 2015 --  Aprende a obsequiar tu ausencia a quien no aprecia tu presencia.
Tue Apr 21 16:25:13 PDT 2015 --  Hay un punto en tu vida en el que te das cuenta: quién importa, quién nunca importó, quién no importa más y quién siempre importará.
Thu May 07 15:41:56 PDT 2015 --  El amor siempre vale la pena. pic.twitter.com/RQSdpAXbXl
Fri Sep 26 17:15:08 PDT 2014 --  http://fb.me/2J6TwWkhl 
Sat Sep 13 20:07:40 PDT 2014 --  http://fb.me/3s9PwwUfB 
Sat Aug 30 19:47:53 PDT 2014 --  http://fb.me/7nfiZnhS2 
Sat Aug 30 05:10:06 PDT 2014 --  http://fb.me/1tN3ULgCt 
Fri Aug 29 17:28:07 PDT 2014 --  Hermosos http://fb.me/6YxLJfGKo 
Sun Aug 24 21:54:55 PDT 2014 --  http://fb.me/7882zgtNe 
Thu Aug 21 18:15:33 PDT 2014 --  Hola Amigos aquí nuevamente les traigo una noticia barbara Natura lanzo una campaña especial para el día de madre... http://fb.me/1pNOcqBCE 
Tue Aug 12 21:33:19 PDT 2014 --  He publicado una foto nueva en Facebook http://fb.me/1ufMpdH9w 
Wed Aug 06 21:17:56 PDT 2014 --  http://fb.me/417C1CEm3 
Wed Aug 06 08:25:40 PDT 2014 --  http://fb.me/6CjguxyVj 
Tue Jul 29 20:11:39 PDT 2014 --  http://fb.me/1WoqtZIbN 
Fri Jul 18 16:35:26 PDT 2014 --  http://fb.me/6LLj5hW1n 
Tue Jul 15 19:15:28 PDT 2014 --  http://fb.me/1soc0wXoL 
Tue Jul 15 19:14:10 PDT 2014 --  http://fb.me/6wmGwxK1c 
Tue Jul 15 19:11:54 PDT 2014 --  http://fb.me/37JUszlb8 
Fri Jul 11 18:28:06 PDT 2014 --  Amigos aquí les dejo el link de la revista de este mes... http://fb.me/2wEXGYS1c 
