Sun Apr 12 15:24:49 PDT 2015 --  So this happened... pic.twitter.com/ckgxI8xGwb
Thu Aug 27 03:04:45 PDT 2015 --  Infographic: Benedict Cumberbatch vs. Robert Downey Jr. as Sherlock Holmes pic.twitter.com/NVjs4Jo61F
Mon Aug 24 07:29:04 PDT 2015 --  @Sherlockspam THIS FACE. #SherlockFamily pic.twitter.com/1aLr6wPLlH
Sun Feb 15 12:10:02 PST 2015 --  For every retweet this gets, Pedigree will donate one bowl of dog food to dogs in need! #tweetforbowls pic.twitter.com/z4rmc2HsGT
Sat Dec 20 05:20:17 PST 2014 --  I'm intrigued. If Steven is like his OTHER wife, who is his ACTUAL wife? ;) pic.twitter.com/H39Q2Tn5Re
Mon Apr 13 15:40:07 PDT 2015 --  @NatalieLHolmes Here’s a shot from the photo booth. ;) pic.twitter.com/8oJD2AXiHg
Thu Aug 20 03:55:59 PDT 2015 --  Hytner and Starr’s London Theatre Company to build 900-seat theatre at Tower Bridge http://bit.ly/1J78B8a  pic.twitter.com/w1aAcJv9KY
Tue Aug 18 06:00:49 PDT 2015 --  Watch the brand new trailer for #VictorFrankenstein now, starring Daniel Radcliffe and James McAvoy. https://amp.twimg.com/v/f3825d26-0945-45c7-8c2b-291abf095c1a …
Tue Aug 18 02:20:38 PDT 2015 --  Vote for #TomHiddleston! Glamour Sexiest Men of The Year: http://www.glamourmagazine.co.uk/celebrity/celebrity-galleries/2015/08/sexiest-hottest-men-of-2015-2016 … Type his name, click the button below to submit your vote.
Mon Aug 17 01:04:45 PDT 2015 --  @NatalieLHolmes @Markgatiss @bbcproms You can listen and catch up at http://bbc.in/1TNbVQ5 
Sun Aug 16 03:42:23 PDT 2015 --  Today #BBCProms celebrate literature's most famous violinist #sherlockprom @BBCCO pic.twitter.com/dnrDGltkpK
Sun Aug 16 01:55:20 PDT 2015 --  @FineSatow you too lovely. x
Sun Aug 16 01:31:39 PDT 2015 --  At 3.30pm #BBCProms host the first #SherlockProm with @Markgatiss @DrMatthewSweet. Listen @BBCRadio3
Sat Aug 15 11:35:03 PDT 2015 --  Who has the #Sherlock casebook???? pic.twitter.com/FGS1dhKWgo
Sat Aug 15 06:10:16 PDT 2015 --  Oh god @Markgatiss what are you doing there? pic.twitter.com/NervX1fx0u
Sat Aug 15 04:56:47 PDT 2015 --  Rehearsals for Sherlock Holmes Prom @RoyalAlbertHall complete. It’s going to be such a treat!
Thu Aug 13 04:10:52 PDT 2015 --  Don't panic!! https://twitter.com/universaluk/status/631533262054166529 …
Wed Aug 12 13:30:03 PDT 2015 --  #TomHiddleston as Hank Williams #ISawTheLight #ISTL ~ via @sonyclassics pic.twitter.com/R70MQMIO3n
Wed Aug 12 10:03:39 PDT 2015 --  I'm in holidays and it's soo beautiful #holidays #summer #balticsea #beautiful pic.twitter.com/anTuR2FZOa
Wed Aug 12 06:10:59 PDT 2015 --  The @DarloCivic is hosting an evening with @Markgatiss to raise funds for @Darlo_Police Memorial Fund - tix available pic.twitter.com/AV4PcrHwMP
Sun Aug 09 19:14:05 PDT 2015 --  "The man who makes no mistakes does not usually make anything."-William Connor Magee
Fri Aug 07 06:56:41 PDT 2015 --  #TomHiddleston at the National Theatre in London, August 7th 2015 ~ video source: https://instagram.com/p/6EGJjzh5Aj/  pic.twitter.com/cnlMMDnAwO
Thu Aug 06 02:44:19 PDT 2015 --  pic.twitter.com/nBIZvYA9Eb
Wed Aug 05 14:25:05 PDT 2015 --  Why can one person change everything?
Mon Aug 03 14:45:52 PDT 2015 --  Sherlock Cast pic.twitter.com/JH9QcszdJF
Mon Aug 03 02:20:16 PDT 2015 --  #Sherlock pic.twitter.com/Eixb4Qu1kJ
Sun Aug 02 12:56:03 PDT 2015 --  I changed my lockscreen and my phone background. @Markgatiss is an amazing actor. I am really proud and cool guy ;) pic.twitter.com/Nh7xZiefyt
Sun Aug 02 05:08:54 PDT 2015 --  #Sherlock: #AndrewScott , #BenedictCumberbatch and @Markgatiss https://youtu.be/qRsGzksXCWE  pic.twitter.com/XJf4eInqH8
Sat Aug 01 02:25:25 PDT 2015 --  #15YearsOfMartanda they make me happy every single day pic.twitter.com/8g8q21VMzo
Thu Jul 30 15:03:59 PDT 2015 --  Retweet if you can relate pic.twitter.com/XQcSwYojj1
Wed Jul 29 17:50:36 PDT 2015 --  HD pics of #sherlockspecial, individual pics of #BenedictCumberbatch and #martinfreeman via KatheryneFromPhilly pic.twitter.com/Mm141IgUhY
Wed Jul 29 22:56:18 PDT 2015 --  this is why i always love #setlock~ #BenedictCumberbatch #MartinFreeman #andrewscott #markgatiss @_RupertGraves lol pic.twitter.com/aH5tsTuJ75
Wed Jul 29 08:12:45 PDT 2015 --  NEWS!!! It could happen. #TomHiddleston as the third Holmes Brother in #Sherlock http://www.christiantoday.com/article/sherlock.season.4.spoilers.tom.hiddleston.join.cast.third.holmes.brother/39028.htm … pic.twitter.com/ergEzOkEWm
Wed Jul 29 03:50:25 PDT 2015 --  Hello my friends have a nice day pic.twitter.com/VVUrHko0Zw
Tue Jul 28 11:07:14 PDT 2015 --  @FineSatow yeah～he is a charming and smart gentleman(˶‾᷄ །། ‾᷅˵)
Tue Jul 28 07:05:30 PDT 2015 --  I am sooo excieted #Sherlock Christmas Special pic.twitter.com/TKmUkV6aNj
Tue Jul 28 02:31:24 PDT 2015 --  A Sherlock actor looks set to join Star Wars: Rogue One http://www.gamesradar.com/sherlocks-jonathan-aris-joining-star-wars-rogue-one/?utm_source=twitter&utm_medium=social&utm_campaign=totalfilm …
Mon Jul 27 08:19:07 PDT 2015 --  @FineSatow that would be the same one! Places like @Sherlockology list it for his fanmail. http://www.sherlockology.com/cast/mark-gatiss …
