Fri Aug 21 12:51:43 PDT 2015 --  sto guardando IN DIRETTA su #Periscope: #livefromtheterrace con @cinquetacche https://www.periscope.tv/w/aKd4YzM3MTkwMDR8NjY2MTkxOTR4YHfRRO2eozgE9uMDs90cI17lQ4E2OVlXOQw-qWPx4A== …
Mon Aug 17 17:26:36 PDT 2015 --  WORST TH10 BASE ! EPIC QUEEN VS QUEEN BATTLE ! RE-TWEET TO ENTER SEP 1ST GIVE AWAY ! :) https://www.youtube.com/watch?v=szmu-P_Ex0E …
Thu Aug 13 16:22:48 PDT 2015 --  SO MUCH LOOT ! DARK HUNTING ! 1 MILL + LOOT RAID ! RE-TWEET TO ENTER THE MASSIVE GIVE AWAY ! https://www.youtube.com/watch?v=nByY27uIGLw …
Thu Aug 13 09:38:42 PDT 2015 --  One big decision, two great choices. But you’ll have to play favorites. #TheNextBigThing pic.twitter.com/4wnXFevw0B
Thu Aug 13 11:53:30 PDT 2015 --  Ciao @andreagale domani finalmente riuscirò a venire a Milano. Però sei ancora in vacanza vero? Se si allora Buone Vacanze che te le meriti!
Tue Aug 11 23:26:05 PDT 2015 --  Sono ritornato in @VodafoneIT e.. in un piccolo paesino dove ancora non c'è l'ADSL trovo queste grandi sorprese. pic.twitter.com/SUZmb2EJQ9
Mon Jul 20 09:03:13 PDT 2015 --  Did someone say #LollipopDay? Don’t mind if we do! pic.twitter.com/5JVvMt3MoX
Fri Jul 17 06:44:33 PDT 2015 --  watching LIVE on #Periscope: Il controperiscope da Roma. https://www.periscope.tv/w/aHj-FTM3MTkwMDR8NDE2MzA1MTVQy5UM25ZKONaQ109XFB7cKUO8KQIixF_j0utnkT6xig== …
Wed Jul 01 03:52:44 PDT 2015 --  Ma quanto sono fedele alla Xiaomi? Arrivato tutto poco fa.. @andreagale @guerz86 @Xiaomiufficiale @iNicc0lo pic.twitter.com/hk9YoT0nYe
Fri Jun 26 10:42:46 PDT 2015 --  Ciao @andreagale come va la vita? Spero bene. Volevo chiederti: farai anche il confronto fra s4, s5 ed s6? Grazie :)
Fri Jun 12 03:04:56 PDT 2015 --  Ecco un Antutu Benchmark dell'S6 di @SamsungItalia con una decina di app in esecuzione in background. Ottimo! pic.twitter.com/peJ2A6DovW
Thu Jun 11 06:31:14 PDT 2015 --  Finalmente è nelle mie mani. Non vedevo l'ora. Smartphone stupendo! @SamsungItalia @samsungmobileit pic.twitter.com/obCGMd01Fq
Tue Jun 02 03:29:06 PDT 2015 --  Il Google Doodle di oggi pic.twitter.com/ETOLHMmf12
Tue Jun 02 03:13:14 PDT 2015 --  #FestadellaRepubblica pic.twitter.com/HIjttPx4EV
Fri May 15 03:19:13 PDT 2015 --  Io sono decisamente da #GalaxyS6. E voi? Venite a scoprirlo qui: http://spr.ly/GS6Gold1 
Thu May 14 05:01:45 PDT 2015 --  Finalmente "Snake Rewind" su Android! - https://play.google.com/store/apps/details?id=com.rumilusdesign.snake …
Sat May 09 02:22:55 PDT 2015 --  #ASOC15...and the Winner is.... @1e_liceogpeano !!! Complimenti! http://www.ascuoladiopencoesione.it/ecco-i-vincitori-di-asoc15/ …
Thu Apr 30 05:39:55 PDT 2015 --  Xiaomi Piston 3 @andreagale @iNicc0lo @guerz86 pic.twitter.com/LOUNe75RB2
Tue Apr 28 10:13:49 PDT 2015 --  Oggi si segue il live della presentazione dell'LG G4! @LG_Italia porterà qualche caratteristica ... http://tmi.me/1f3umW 
Mon Apr 27 13:26:47 PDT 2015 --  Ciao @riccardopalombo avrei bisogno di un consiglio per l'assemblaggio di un pc. Posso rivolgermi a te? Grazie
Tue Apr 21 05:31:35 PDT 2015 --  Ok @Telecom187Sara @telecomitalia attendo vostre news. A presto
Mon Apr 20 08:08:46 PDT 2015 --  Cambiato casa da 5 anni e l'adsl non si vede.. Grazie @telecomitalia
Wed Apr 08 04:28:56 PDT 2015 --  Altro che la fibra ottica di @andreagale ! Qui ogni tanto si torna indietro di 30 anni! pic.twitter.com/Ztbuj1hX0r
