Fri Aug 28 20:34:49 PDT 2015 --  Cant wait for todays kalyeserye. #ALDUBMaiDenHeaven
Fri Aug 28 10:26:25 PDT 2015 --  Indeed #ALDUBMaiDenHeaven. Kung 'di ba naman meron pa tayong CALLE'S ANGELS! But seriously, I believe that Kalyeserye is a gift from above.
Fri Aug 28 10:36:29 PDT 2015 --  #ALDUBMaiDenHeaven is one of the best hashtags. Congratulations! In truth the whole Kalyeserye-AlDub phenom for me is a MIRACLE! #EATBULAGA
Fri Aug 28 20:32:07 PDT 2015 --  Saturday boredom. https://instagram.com/p/688oS2EFdoco99yLl7EVnJRkJnNUDtZ209DEE0/ …
Thu Aug 27 19:38:52 PDT 2015 --  25 weeks today. Off to do some errands with Mama. Sana wag mahilo again.… https://instagram.com/p/66RvYfkFTpiJUvVajaJNrV5IvNb9sPxg1DBUA0/ …
Thu Aug 27 06:05:00 PDT 2015 --  Hilo + Tiyaga = Colorfy!!!!! https://instagram.com/p/640miUEFf8tPN9Lg71vDtb45pGJbmultfC-k80/ …
Thu Aug 27 04:06:53 PDT 2015 --  4th Artsy. #Colorfy https://instagram.com/p/64nFXqkFYfc85UZ5tnemOmxPcWxb_IHQG5ojM0/ …
Wed Aug 26 21:54:58 PDT 2015 --  #ShowtimeHappyHuwebes pic.twitter.com/bT9ftFps4c
Wed Aug 26 19:01:19 PDT 2015 --  Got ya! Nahuli din kitang sumipa! Malikot kang bata ka ah! Haha! … https://instagram.com/p/63ooTCkFWvAF8R8592lo88JRyetZVxCT6vGPs0/ …
Wed Aug 26 16:22:01 PDT 2015 --  Kaya lageng walang tulog. #pregnancyproblems #buhaybuntis #24w6d https://instagram.com/p/63Wa0qkFVOkIdTEQ9C9KlnX9RwI8375ZTZUZw0/ …
Wed Aug 26 15:56:35 PDT 2015 --  Super excited na ko mag-december! Sino kaya kamuka ng apollo namen? Si… https://instagram.com/p/63TgmBEFfqRL2z8JDGJDrtMNh3ZPJepH6khJA0/ …
Wed Aug 26 05:44:32 PDT 2015 --  paulpangs thank you for always keeping me and apollo safe. https://instagram.com/p/62NdookFWsMActHuE3cSZMykBVc-j6u6JnnHY0/ …
Tue Aug 25 23:51:28 PDT 2015 --  Won't stop thanking Him for this wonderful blessing He has given me and… https://instagram.com/p/61lD2iEFf4aTbNq-stdRBEZfITPf2OW_O-HFE0/ …
Tue Aug 25 21:30:02 PDT 2015 --  Don't mess with Madam Claudia! pic.twitter.com/71DjjngOhX
Tue Aug 25 18:15:02 PDT 2015 --  Without God, we are nothing.
Tue Aug 25 18:05:04 PDT 2015 --  I am very thankful for God's love.
Tue Aug 25 19:36:14 PDT 2015 --  Gusto ko ng caaaaaaaake! #cravings #pregnancyproblems
Tue Aug 25 16:10:18 PDT 2015 --  NW: The breakup playlist. pic.twitter.com/NVLdwUGS1W
Mon Aug 24 20:14:14 PDT 2015 --  Every night problem. Pero keri lang nak. Go lang. #kickpamore #pregnancyproblems #preggo pic.twitter.com/Yk8rtdGuFg
Mon Aug 24 17:28:10 PDT 2015 --  Thank you Lord. 🏼 https://instagram.com/p/6yUZmMkFfnY6Iy6YS_qAL02ruKYrKwZbQGcMM0/ …
Sun Aug 23 21:19:28 PDT 2015 --  Credit to my very talented schoolmate Annalie Arazo. Ang lupet! Hi @mainedcm @aldenrichards02 #ALDUBTULOYANGFOREVER pic.twitter.com/hVvjfJUFhk
Sun Aug 23 22:45:02 PDT 2015 --  Best things in life are free: Hugs Smiles Friends Kisses love sleep laughter Family GOD
Sun Aug 23 23:40:19 PDT 2015 --  Eh yung sabay pa kayo nagtweet? Kakalurkey na kasweetan nyo @mainedcm @aldenrichards02 #ALDUBTULOYANGFOREVER #mikhaw pic.twitter.com/8cWCNrqhXP
Sun Aug 23 23:06:12 PDT 2015 --  #ALDUBTULOYANGFOREVER for the win!!! 🏻
Sun Aug 23 23:06:21 PDT 2015 --  Cotton Kenji pa more! Waley?
