Wed Aug 26 12:07:58 PDT 2015 --  Foto: cherryseltzer: http://tmblr.co/ZS0UVq1suiOwQ 
Fri Aug 21 01:52:50 PDT 2015 --  Vídeo: stacylaynematthews: fuks: summary of a party i went to last night this is the best vine I’ve ever... http://tmblr.co/ZS0UVq1sVDadJ 
Fri Aug 21 01:49:15 PDT 2015 --  Foto: http://tmblr.co/ZS0UVq1sVD85I 
Fri Aug 21 01:48:50 PDT 2015 --  Foto: http://tmblr.co/ZS0UVq1sVD4iQ 
Wed Aug 19 02:00:28 PDT 2015 --  Photoset: http://tmblr.co/ZS0UVq1sLgwvE 
Wed Aug 19 01:50:36 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1sLfgOk 
Wed Aug 19 01:46:21 PDT 2015 --  Photo: xyrishi:  ＯＲＧＡＮＩＺＡＴＩＯＮ  ＸＩＩＩ♡ http://tmblr.co/ZS0UVq1sLf6Gd 
Wed Aug 19 01:46:04 PDT 2015 --  Overheard: Organization XIII's Last Words - Xemnas: Curses... Xigbar: Wouldn't you like to know... Xaldin:... http://tmblr.co/ZS0UVq1sLf3g- 
Wed Aug 19 01:45:26 PDT 2015 --  Photoset: larxdems: N E M O  -  NOUN (n): Latin, “ n o b o d y ” organization xiii + latin elemental... http://tmblr.co/ZS0UVq1sLe_ea 
Wed Aug 19 01:42:34 PDT 2015 --  Photoset: saekurosawa: Sorry, I couldnt help it~ XDD http://tmblr.co/ZS0UVq1sLecD8 
Wed Aug 19 01:41:56 PDT 2015 --  Photoset: http://tmblr.co/ZS0UVq1sLeWSJ 
Wed Aug 19 01:41:16 PDT 2015 --  Photo: shining-kouika: Alice | Jill http://tmblr.co/ZS0UVq1sLeR17 
Wed Aug 19 01:40:32 PDT 2015 --  Photo: lettie-mailer: (via GIPHY) http://tmblr.co/ZS0UVq1sLeKYb 
Wed Aug 19 01:39:49 PDT 2015 --  Photo: saekurosawa: i’m mad, you’re mad, we’re all mad here. http://tmblr.co/ZS0UVq1sLeDjZ 
Wed Aug 19 01:38:56 PDT 2015 --  Photoset: torturedwings: returning to the scene of the crime? http://tmblr.co/ZS0UVq1sLe64L 
Wed Aug 19 01:38:31 PDT 2015 --  Photoset: http://tmblr.co/ZS0UVq1sLe2qh 
Wed Aug 19 01:38:25 PDT 2015 --  Photoset: saekurosawa: And contrary wise; what it is, it wouldn’t be. And what it wouldn’t be, it would,... http://tmblr.co/ZS0UVq1sLe24t 
Wed Aug 19 01:37:08 PDT 2015 --  Photoset: http://tmblr.co/ZS0UVq1sLdtbT 
Wed Aug 19 01:36:57 PDT 2015 --  professorvonspooky: “When are we gonna get a mentally ill character who’s neither a villain nor a passive... http://tmblr.co/ZS0UVq1sLds4l 
Wed Aug 19 01:35:20 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1sLdeTu 
Wed Aug 19 01:34:46 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1sLdZZR 
Wed Aug 19 01:33:25 PDT 2015 --  Photoset: mega-trashy-senpai: Request Meme: Kingdom Hearts + Favorite Scene in KH3D Sent by 4merican-beauty http://tmblr.co/ZS0UVq1sLdOCU 
Wed Aug 19 01:30:56 PDT 2015 --  Photoset: http://tmblr.co/ZS0UVq1sLd2JT 
Wed Aug 19 01:30:30 PDT 2015 --  Video: kh13: A great new original adaption of “Dearly Beloved” as well other tunes in #KingdomHearts by... http://tmblr.co/ZS0UVq1sLczWg 
Wed Aug 19 01:29:09 PDT 2015 --  Photoset: radiantgarden: ♛ Kingdom Hearts 2.5 OP ♛ http://tmblr.co/ZS0UVq1sLcohn 
Wed Aug 19 01:26:40 PDT 2015 --  princessplushling: Reblog if you post: Splatoon Pokemon Nintendo Fantasy Life Fire Emblem Final Fantasy... http://tmblr.co/ZS0UVq1sLcT-Z 
Wed Aug 19 01:25:14 PDT 2015 --  Photoset: kingdomheartsnyctophiliac: But I’m not gonna betray Sora, either, ‘cause he’s become one of my... http://tmblr.co/ZS0UVq1sLcHlf 
Wed Aug 19 01:22:02 PDT 2015 --  Photoset: charlesoberonn: We all know why we’re reblogging this. Don’t even try to hide it. http://tmblr.co/ZS0UVq1sLbpvG 
Wed Aug 19 01:20:23 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1sLbbnq 
Wed Aug 19 01:15:09 PDT 2015 --  "At first I cared, but then I was like ‘Nah, fuck you.’" - Not wasting my time being sad over you (via... http://tmblr.co/ZS0UVq1sLatga 
Sat Aug 15 13:31:25 PDT 2015 --  Te mandaría a la verga, pero se trata de chingarte no de premiarte puta.
Sat Aug 15 13:47:47 PDT 2015 --  Sabes que has sido buena persona, cuando vas por la calle escuchando música, se resbala tu celular y queda colgando de los audífonos.
Wed Aug 19 01:04:33 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1sLZQ0M 
Wed Aug 19 01:04:05 PDT 2015 --  Photoset: comedybear: Eris is my kind of lady.  http://tmblr.co/ZS0UVq1sLZLV8 
Tue Aug 18 03:43:25 PDT 2015 --  Photo: theveronicasmusic: “Your eyes stare - but they’re staring right through me.. You were right there -... http://tmblr.co/ZS0UVq1sG_dVl 
Tue Aug 18 03:43:05 PDT 2015 --  Photoset: sisterlyloveronicas: [x] http://tmblr.co/ZS0UVq1sG_ab1 
Tue Aug 18 03:42:28 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1sG_VKx 
Mon Aug 17 20:19:29 PDT 2015 --  Photoset: http://tmblr.co/ZS0UVq1sFh3C1 
Mon Aug 17 20:19:19 PDT 2015 --  Photo: babepleasestaystrong: დღეს მთელი დღეა ვფიქრობ შენზე. შენზე, ვინც ახლა ყველაფერი ხარ ჩემთვის. შენზე,... http://tmblr.co/ZS0UVq1sFh0Rs 
Mon Aug 17 20:19:14 PDT 2015 --  Photo: tinnacriss: begin to remember… by Elisa Ursalas http://tmblr.co/ZS0UVq1sFg_vp 
Mon Aug 17 20:19:00 PDT 2015 --  Photo: rainy–blog: rain here http://tmblr.co/ZS0UVq1sFgwdW 
Mon Aug 17 20:18:57 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1sFgvUJ 
Mon Aug 17 20:17:42 PDT 2015 --  Photo: Love this quote! I’ve made my #LyricsCard via @musixmatch app. Make yours! http://tmblr.co/ZS0UVq1sFgZ12 
Mon Aug 17 15:39:21 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1sEVvrW 
Sat Aug 15 23:04:13 PDT 2015 --  mypenisusedquickattack: How I look in the mirror How I look in pictures http://tmblr.co/ZS0UVq1s6JHtF 
Sat Aug 15 23:04:05 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1s6JG0p 
Mon Aug 10 09:32:04 PDT 2015 --  Photo: hvllucinvtion: hvllucinvtion:  you’re plantastic you’re plantastic http://tmblr.co/ZS0UVq1rgxFlg 
Mon Aug 10 09:31:19 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1rgx3qx 
Mon Aug 10 09:31:14 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1rgx2c1 
Mon Aug 10 09:31:05 PDT 2015 --  unpredicteble: being the most liberal family member is exhausting but somebody gotta stay woke and look... http://tmblr.co/ZS0UVq1rgx0SS 
Sat Aug 08 22:13:38 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1rZ_7C5 
Sat Aug 08 22:12:57 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1rZzz03 
Sat Aug 08 22:12:27 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1rZzr2X 
Fri Aug 07 00:23:20 PDT 2015 --  Love this quote! I've made my #LyricsCard via @musixmatch app. Make yours! pic.twitter.com/WPaZrzGA18
Wed Aug 05 07:35:04 PDT 2015 --  Photo: http://tmblr.co/ZS0UVq1rI29tS 
Mon Jul 27 00:00:49 PDT 2015 --  Foto: http://tmblr.co/ZS0UVq1qZhP1a 
