Sat Aug 29 05:00:27 PDT 2015 --  RT if you're supporting for Esang! #TVK2Finale pic.twitter.com/m307ebecJH
Sat Aug 22 20:48:42 PDT 2015 --  UP NOW: @officialaldub16 and @aldub_global is in Sunday PinaSaya #EBThankYouForALDUB pic.twitter.com/M1gL5tiVKL
Sat Aug 22 20:51:26 PDT 2015 --  "When i see you your face,there's a not a thing that i would change 'cause your amazing!Just the way you are!" @mainedcm #EBThankYouForALDUB
Sat Aug 22 20:51:34 PDT 2015 --  Shall we ask Bae @aldenrichards02 ?? #EBThankYouForALDUB https://twitter.com/mainedcm/status/635297788599791616 …
Sat Aug 22 20:51:40 PDT 2015 --  Calling calling @aldenrichards02 haha #EBThankYouForALDUB -K https://twitter.com/mainedcm/status/635297788599791616 …
Sat Aug 22 20:54:21 PDT 2015 --  Pretending to be happy when you are in pain is just an example of how strong you are as a person. #EBThankYouForALDUB
Sat Aug 22 20:56:34 PDT 2015 --  As a tribute to @EatBulaga, let's dominate twitter world as a way of saying thank you. Power tweet! Who's with me? #EBThankYouForALDUB
Sat Aug 22 20:58:34 PDT 2015 --  If it is meant to be, it will. #EBThankYouForALDUB pic.twitter.com/N5BTWX97ll
Sat Aug 22 20:58:49 PDT 2015 --  HAHAHA! Lovin it! @mainedcm #EBThankYouForALDUB *Admin Hanybae =) pic.twitter.com/owmOoLynIV
Sat Aug 22 20:58:57 PDT 2015 --  This is not true. He is my friend. #EBThankYouForALDUB pic.twitter.com/cS07I1Gsp3
Sat Aug 22 21:00:31 PDT 2015 --  Saw this post somewhere on Facebook. Hmm. Totoo ba to? @aldenrichards02 -J #EBThankYouForALDUB pic.twitter.com/h6OMYtFRI6
Sat Aug 22 21:00:36 PDT 2015 --  hindi lang sya panay papogi !Thanks Maine for bringing out the funny side of this bae #EBThankYouForALDUB https://twitter.com/DonFraning/status/635219446013915136 …
Sat Aug 22 21:02:09 PDT 2015 --  The wedding. Soon. #EBThankYouForALDUB pic.twitter.com/n8Iy6uKcyp
Sat Aug 22 21:02:45 PDT 2015 --  This. #EBThankYouForALDUB pic.twitter.com/tXkuC0PQQD
Sat Aug 22 21:06:33 PDT 2015 --  Loveteam daw: #ALDUB #EBThankYouForALDUB
Sat Aug 22 21:07:28 PDT 2015 --  Bae @aldenrichards02 with Mrs. Marian Dantes #EBThankYouForALDUB #SPSLaughterRules pic.twitter.com/vwhrPX1B0d
Sat Aug 22 21:07:41 PDT 2015 --  Kain na AlDubNation! How many Rts? #EBThankYouForALDUB FOLLOW US! pic.twitter.com/BK6JvLCZog
Sat Aug 22 21:08:44 PDT 2015 --  ATM! ANG SAYA SAYA! Dont forget to watch SPS! RETWEET! #EBThankYouForALDUB pic.twitter.com/BykB8lf7rK
Sat Aug 22 21:13:34 PDT 2015 --  Nabanggit ang ALDUB sa KantaSerye, Iba'too, #EBThankYouForALDUB #SPSLaughterRules
Fri Aug 21 21:55:24 PDT 2015 --  ALDUB the movie please? #ALDUBAgainstALLODDS
Fri Aug 21 21:56:13 PDT 2015 --  IMAGINE PA MORE! #ALDUBAgainstALLODDS https://twitter.com/oppatheexplorer/status/634951710734061569 …
Fri Aug 21 21:56:18 PDT 2015 --  Happy RAMBUTAN Day! #ALDUBAgainstALLODDS pic.twitter.com/QyeOgoyG4j
Fri Aug 21 21:56:22 PDT 2015 --  Spread the love AlDubNation #ALDUBAgainstALLODDS pic.twitter.com/spb5bFXp4f
Fri Aug 21 21:56:26 PDT 2015 --  You are not the kind of girl who should be marrying the wrong boy. Don't say yes runaway now! #ALDUBAgainstALLODDS pic.twitter.com/nfrI4frAgp
Fri Aug 21 21:56:51 PDT 2015 --  FOLLOWING: 555 FOLLOWERS: 6666 Ang weird! Hahaha B E A S T M O E Pa More #ALDUBAgainstALLODDS -Admin Culprit
Fri Aug 21 21:56:51 PDT 2015 --  Seven Hundred Eight Thousand #ALDUBAgainstALLODDS
Fri Aug 21 21:56:58 PDT 2015 --  MAGANDA TALAG AKO GUYS DIBA? BECAUSE U KNOW I'M ALDEN'S GIRLFRIEND KAY I NEED TO BE MAGANDA TALAGA #ALDUBAgainstALLODDS
Fri Aug 21 21:57:02 PDT 2015 --  Secret pa moreee :)) #ALDUBAgainstALLODDS
Fri Aug 21 21:57:22 PDT 2015 --  thank you @MarengMiriam #ALDUBAgainstALLODDS https://twitter.com/MarengMiriam/status/634950728130260992 …
Fri Aug 21 21:57:34 PDT 2015 --  Flower vase worth 50M. #ALDUBAgainstALLODDS
Fri Aug 21 21:57:51 PDT 2015 --  Retweet for AlDub Favorite for YaKie #ALDUBAgainstALLODDS
Fri Aug 21 21:57:52 PDT 2015 --  YAKIE wedding venue. RT sa mga solid ALDUB pa din! #ALDUBAgainstALLODDS pic.twitter.com/3s0hve0szI
Fri Aug 21 21:57:53 PDT 2015 --  Standby na ang oxygen. #ALDUBAgainstALLODDS
Fri Aug 21 21:57:56 PDT 2015 --  708K AS OF NOW! LEGGO FOR 2MILLION TWEETS POWER TWEET NA #ALDUBAgainstALLODDS -Admin Culprit
Thu Aug 20 02:02:19 PDT 2015 --  Okay lang na mapagod, basta ‘wag ka lang agad susuko.
Tue Aug 18 19:30:33 PDT 2015 --  PSA. Noticeably following my family’s car on the road for nearly 30 miles & tailing me the whole way is not the best way to get an autograph
Mon Aug 17 10:30:12 PDT 2015 --  when you've repeated yourself too many times and you're trying to keep it together before u really slap that person pic.twitter.com/HBCgLEroeg
Mon Aug 17 05:00:53 PDT 2015 --  GANYAN TALAGA YAN. TAMBAK ASSIGNMENTS PERO NASISINGIT PARIN MAG TWITTER. ORAYT ROCK AND ROLL TO THE WORLD!
