Thu Aug 27 01:53:16 PDT 2015 --  pic.twitter.com/8kVmbmK8DA
Sun Aug 23 05:25:42 PDT 2015 --  never dies
Fri Aug 07 10:45:55 PDT 2015 --  Tip 5/5 for reaching #InboxZero : Sweep away old messages with one tap. You weren't getting back to them anyway... pic.twitter.com/UNkZcJTcG0
Wed Aug 12 09:21:36 PDT 2015 --  Be like an elephant and never forget. #WorldElephantDay pic.twitter.com/SSKaffagvU
Fri Aug 14 04:57:38 PDT 2015 --  tampil beda
Fri Aug 14 01:52:53 PDT 2015 --  selamat sore #indonesia #instagram #instadaily #instalike #likeforlike #love #likes #lgg3 #fallowback… https://instagram.com/p/6W5akoQNaf/ 
Thu Aug 13 03:45:24 PDT 2015 --  Jika engkau mencintai dirimu sendiri, engkau tak akan mengatakan kata-kata yang membuatmu merasa tak dicintai.
Thu Aug 13 03:50:19 PDT 2015 --  hati wanita itu sedalam lautan kamu tak akan pernah sanggup menyelaminya dan mengungkap misteri dibalik kedalamannya
Thu Aug 13 03:50:51 PDT 2015 --  intro men
Thu Aug 13 03:30:45 PDT 2015 --  Di dlm kehidupan,sama dgn permainan catur, siapa yg berpikir panjanglah yg akan menang.
Thu Aug 13 03:30:47 PDT 2015 --  Yang meminta maaf, biasanya lebih mulia daripada yang menuntut orang lain untuk meminta maaf.
Thu Aug 13 03:25:53 PDT 2015 --  Thiss https://twitter.com/mustafaalmthany/status/631598744190910464 …
Tue Aug 11 20:12:42 PDT 2015 --  Jangan Pernah Tinggalkan Sholat. Karena Ada Jutaan Manusia di dlam Kubur yg ingin kembali di hidupkan hanya untuk Bersujud Kepada Allah SWT.
Tue Aug 11 20:45:34 PDT 2015 --  Apa itu sayang? Yang aku tau aku cuma nyaman didekat kamu, seneng banget ketawa bego bareng kamu, dengerin cerita perihal kamu.
Tue Aug 11 22:26:12 PDT 2015 --  Aku bukan tipe orang yang cemburuan, tapi tipe orang yang gampang khawatir. Lebih baik bilang, dari pada tiba-tiba menghilang.
Wed Aug 12 00:14:47 PDT 2015 --  Rokok masih menjadi faktor utama yg merangsang aktif dan ganasnya masalah genetik pd sel yang menjadi penyebab kanker paru. #studikes
Wed Aug 12 00:17:21 PDT 2015 --  Jika rindu padaku, ungkapkan. Jika suka padaku, katakan. Jika cinta padaku, buktikan
Tue Aug 11 23:00:12 PDT 2015 --  Jangan pernah meremehkan diri sendiri. Jika kamu tak bahagia dengan hidupmu, perbaiki apa yang salah, dan teruslah melangkah.
Wed Aug 12 00:00:13 PDT 2015 --  Jika kehidupan membuat diri menangis, ingat ada ribuan kenangan indah yang membuat kita tersenyum
Mon Aug 10 20:00:12 PDT 2015 --  Hidup ini bukan hanya mencari yang terbaik, namun lebih kepada menerima kenyataan bahwa kamu adalah kamu. Jadi dirimu sendiri.
Mon Aug 10 23:57:59 PDT 2015 --  Orang yang mencintaimu tidak akan pernah kehabisan alasam untuk mempertahankanmu dan takkan pernah mencari alasan untuk melepaskanmu
Fri Jul 17 13:25:54 PDT 2015 --  Gak usah buru2 nonton Ant Man. Gak bakal diturunin cepet dari bioskop. Tonton dulu Film Indonesia. Byk yg bagus!
Fri Jul 24 05:10:12 PDT 2015 --  Jenderal soedirman pic.twitter.com/5mPOdsTnL9
Sun Jul 26 08:56:15 PDT 2015 --  Poster film keren dan film penting. Jendral Soedirman. Yg main Adipati Dolken. pic.twitter.com/G0GiWuYgy2
Mon Aug 03 03:25:48 PDT 2015 --  Narasumber kita telah hadir di studio siap membahas @film_soedirman ! @ibnujamilo @adiipati @vivawesti #BreakOutShow pic.twitter.com/hDNXGPuBfH
Mon Aug 10 22:40:46 PDT 2015 --  https://youtu.be/yX4HP9fTZ6g  behind the scene Jenderal soedirman part 1
Tue Aug 04 05:32:49 PDT 2015 --  Trailer Film: Jendral Soedirman -- Adipati Dolken, Annisa Hertami http://youtu.be/umT89YjxnhI 
Wed Aug 05 08:14:35 PDT 2015 --  Adipati Dolken Dalam Poster dan Trailer "JENDERAL SOEDIRMAN" http://www.moviexplorers.com/adipati-dolken-dalam-poster-dan-trailer-jenderal-soedirman/ … @FILM_Indonesia pic.twitter.com/0k0MxAhoiu
Wed Aug 05 20:17:51 PDT 2015 --  "Engkau seorang prajurit, tempatmu di medan tempur bersm dg anak buahmu," Presiden Soekarno (BaimWong) pd #JenderalSoedirman (AdipatiDolken)
Mon Aug 10 23:42:27 PDT 2015 --  Wanita itu rumit. Pengen putih, tapi gak mau keputihan. Menolak kekerasan, tapi ogah sama yang lembek. #kenyataanya #memang #begitu
Mon Aug 10 21:51:19 PDT 2015 --  pic.twitter.com/LOjFpa4gta
Mon Aug 10 21:41:36 PDT 2015 --  verrybest3 #likeforlike #likes #fallowme #fallow4fallow #instagram #indonesia #cool #good #selfie… https://instagram.com/p/6OuRcmwNb8/ 
Mon Aug 10 07:07:06 PDT 2015 --  pria paling beruntung adalah pria yang mendapatkan wanita yang pandai berterima kasih
Mon Aug 10 19:46:27 PDT 2015 --  kelebihan total
Mon Aug 10 18:09:23 PDT 2015 --  terlalu care
Fri Aug 07 13:25:06 PDT 2015 --  Great minds discuss ideas, average minds discuss events, small minds discuss people.
Mon Aug 10 08:27:04 PDT 2015 --  senyum tak selamanya berarti bahagia, kadang berarti ketabahan dan keikhlasan :)
Mon Aug 10 08:47:06 PDT 2015 --  jangan terlalu berharap dia menyembuhkan lukamu, jika tingkah lakunya selalu menusuk hatimu jauh lebih dalam (????)
