Fri Aug 28 21:09:32 PDT 2015 --  Success isn't permanent & failure isn't fatal. -Mike Ditka
Fri Aug 28 19:26:02 PDT 2015 --  Regardless of the outcome @schsredhawks played a good game! #SCHS
Fri Aug 28 17:18:57 PDT 2015 --  Go Red Hawks! #SCHS @schsredhawks (@ Smyrna High School in Smyrna, TN) https://www.swarmapp.com/c/3YCaA8IeZhJ 
Fri Aug 28 17:16:05 PDT 2015 --  First blood! 7-0 Red Hawks!
Wed Aug 26 15:47:42 PDT 2015 --  On Roanoke. He was not one of us. http://jayewatsononline.com/roanoke/  via @ #11alive
Wed Aug 26 07:05:03 PDT 2015 --  My thoughts are with everyone at #WDBJ @WDBJ7 https://twitter.com/wdbj7/status/636526182972964864 …
Sun Aug 23 17:12:34 PDT 2015 --  Go #TITANS (@ Nissan Stadium for St. Louis Rams vs Tennessee Titans in Nashville, TN) https://www.swarmapp.com/c/5fnS8apfwcr  pic.twitter.com/2kInzuENS3
Fri Aug 21 19:39:00 PDT 2015 --  Stewarts Creek starts 1-0 for first time in school's three-year history. Congrats to @schsredhawks https://twitter.com/Corby_Yarbrough/status/634917073911721984 …
Fri Aug 21 19:37:44 PDT 2015 --  Creek wins 16-8!!!
Fri Aug 21 09:53:55 PDT 2015 --  Glen Campbell I'll Be Me is now available for digital download! http://fb.me/6HzOlggEq 
Thu Aug 20 07:19:21 PDT 2015 --  It's. Always. Something. Unreal
Wed Aug 19 15:43:13 PDT 2015 --  On the road to Knoxville for tomorrow's seminar, "Fire Up For Fall" and… https://instagram.com/p/6lQaiHOyTU-SRKaRLXk-DuEUMy0LD42XTgX2E0/ …
Mon Aug 17 19:22:23 PDT 2015 --  Every month pic.twitter.com/aWXPPF20Ha
Mon Aug 17 19:46:23 PDT 2015 --  Some of us are too impatient about the things we should be more patient about.
Sun Aug 16 16:50:42 PDT 2015 --  I'm at Playground Recording - @playgroundrec in Nashville, TN https://www.swarmapp.com/c/96KMsrtOqv8 
Sun Aug 16 13:14:13 PDT 2015 --  As always, my favorite Elvis performance. #ElvisPresley http://youtu.be/xA142IsjQiE 
Sat Aug 15 19:15:12 PDT 2015 --  Watching candlelight vigil from @VisitGraceland. Very cool of @LisaPresley to stand & light candles as folks walk by. #Elvis @ElvisPresley
Sat Aug 15 17:05:17 PDT 2015 --  This is on again right now! " @GingerSnaps: LOVING this show. All about the music tonight! @SeventiesCNN #SeventiesCNN #Songofthe70s "
Sat Aug 15 12:47:25 PDT 2015 --  Book signing and Q&A with Dennis Bryon, drummer for the Bee Gees for their greatest hits! "You Should Be... https://www.swarmapp.com/c/iiTyWJZYuBz 
Fri Aug 14 21:42:57 PDT 2015 --  Way to go, @schsredhawks!!! https://twitter.com/dnj_com/status/632397489409277952 …
Fri Aug 14 13:53:12 PDT 2015 --  The cuteness!!! https://twitter.com/FreddyAmazin/status/632289160578002944 …
Thu Aug 13 18:52:22 PDT 2015 --  I knew EVERY word to "Rapper's Delight" and I still own the 12" single! #Songofthe70s @SeventiesCNN
Thu Aug 13 18:48:48 PDT 2015 --  YES!! If I lived in the 70s, I'd be a Disco king/queen. What would you be? #SeventiesCNN http://cnn.it/1SRrgMF  pic.twitter.com/u5WUQfu2j
Thu Aug 13 18:40:16 PDT 2015 --  LOVING this show. All about the music tonight! @SeventiesCNN #SeventiesCNN #Songofthe70s
Wed Aug 12 16:25:51 PDT 2015 --  It's like the 60s all over again but worse with social media & 24/7 information & interaction. #unrest
Wed Aug 12 12:50:05 PDT 2015 --  Smyrna mom upset students can fly #Confederate flags on H.S. campus | http://wkrn.tv/1J4MqTs?cid=twitter_WKRN … pic.twitter.com/CXGp86aTQq
Tue Aug 11 21:29:55 PDT 2015 --  Go, @Yolandalive! Tearin' it up on #FallonTonight!!! #Gospel @FallonTonight
Tue Aug 11 17:16:26 PDT 2015 --  Just saw a car completely engulfed in flames on I 24 westbound right under the Sam Ridley Parkway overpass!
Mon Aug 10 20:58:05 PDT 2015 --  We love you and miss you O Captain, My Captain. #RobinWilliams https://medium.com/@spencernovels/life-lessons-from-robin-williams-fd5811ed3a24 …
Mon Aug 10 20:00:50 PDT 2015 --  Loved Chris Farley. He said hi to us when we were in the green room at #SNL once. What a thrill! #IAmChrisFarley
Mon Aug 10 18:06:41 PDT 2015 --  everyone pray for ty!! he's in Vandy and they don't really know what's wrong so keep him in your prayers @tylerconley99
Sun Aug 09 12:28:51 PDT 2015 --  RIP Frank Gifford
Sun Aug 09 08:45:22 PDT 2015 --  I'm at @OasisChurchTv in Nashville, TN https://www.swarmapp.com/c/9ZCwlLUmgJN 
Thu Aug 06 20:18:58 PDT 2015 --  Where's @RickSanchezTV on @TheDailyShow?? He deserves a place for sure. :-) #JonVoyage
Thu Aug 06 20:07:26 PDT 2015 --  #JonVoyage
Thu Aug 06 18:40:56 PDT 2015 --  When is the talent portion of the pageant? #GOPDebate
Wed Aug 05 20:42:07 PDT 2015 --  Well played, @Arbys! #JonVoyage https://twitter.com/craignewman/status/629130969476374528 …
Wed Aug 05 20:11:03 PDT 2015 --  Sometimes Jon's jokes about us were hard to digest, but we kept watching #TheDailyShow anyway. #JonVoyage pic.twitter.com/FGoLhf6QyX
Wed Aug 05 13:21:09 PDT 2015 --  A 53-year-old woman and a 17-year-old teen girl were injured. They've been treated and released: http://wkrn.com/live 
Wed Aug 05 13:09:55 PDT 2015 --  . @MNPDNashville: the gunman's backpack will be detonated soon by the bomb squad. They are not comfortable opening it.
Wed Aug 05 13:02:11 PDT 2015 --  Actions of first officer that ran into theater may have saved multiple lives, Don Aaron said.
Wed Aug 05 12:30:59 PDT 2015 --  And this... https://twitter.com/RuthSevereWx/status/629011612880531457 …
Wed Aug 05 12:28:40 PDT 2015 --  Bob Mueller is doing an excellent job on @WKRN. Same with Demetria at @WSMV. During an anxious situation, it’s good to hear a trusted voice.
Wed Aug 05 12:18:57 PDT 2015 --  The gunman was also wearing two backpacks. Officers working to clear those now. This happened at a showing of #MadMax. #Antioch
Wed Aug 05 12:18:28 PDT 2015 --  An axe? Really? https://twitter.com/nataliealund/status/629008060099493889 …
Wed Aug 05 12:07:31 PDT 2015 --  Active shooter situation @ Hickory 8 Theater -- suspect dead
Wed Aug 05 11:55:21 PDT 2015 --  BREAKING: Confirmed: @FordIceCenter is on lock down. Active shooter call at Hickory 8 #Carmike Theater in #Anticoh. pic.twitter.com/5P5tVw2gKp
Wed Aug 05 11:54:59 PDT 2015 --  SHOTS FIRED: Fire department confirms shots currently being fired at theater.
Wed Aug 05 11:56:56 PDT 2015 --  ACTIVE SHOOTER at Carmike theater in Antioch, TN https://twitter.com/askjimmycarter/status/629003030759870464 …
Wed Aug 05 04:52:48 PDT 2015 --  One coach or teacher can change the entire course of a student's high school experience. For the better or worse.
Tue Aug 04 17:44:38 PDT 2015 --  That @zacbrownband song is disco. #CMAFest
Mon Aug 03 13:14:08 PDT 2015 --  Right? From satellite we can spot terrorists in a cave in the middle of desert, but can't keep our eye on a boat? https://twitter.com/NicRodriguez/status/628288602275885056 …
Sun Aug 02 15:51:28 PDT 2015 --  I got some really great shots of @ShaniaTwain & @GavinDeGraw at the Bridgestone in #Nashville Friday. Enjoy! :-) https://flickr.com/photos/72058258@N00/sets/72157656667894881 …
Sun Aug 02 08:12:39 PDT 2015 --  Sometimes, a cappella is the best way to sing an @oakridgeboys song​... watch the video here: http://bit.ly/1N6gT3o  https://amp.twimg.com/v/c939ad30-b4a4-489a-bc6f-f378e54ffa00 …
Sun Aug 02 11:55:52 PDT 2015 --  @TheTimMcGraw @oakridgeboys I LIKE IT, I LOVE IT, I WANT SOME MORE OF IT!!!!! LET'S DO SOME DATES NEXT YEAR....
Fri Jul 31 19:46:26 PDT 2015 --  Y'all, @ShaniaTwain is up in the air on a saddle. #Nashville pic.twitter.com/7pBZMtKKvA
Fri Jul 31 18:29:12 PDT 2015 --  I've never seen so many short skirts & cowboy boots in my life. LOL #Nashville
Fri Jul 31 18:16:05 PDT 2015 --  Shania!! (@ Bridgestone Arena - @brdgstonearena for Shania Twain Rock This Country Tour in Nashville, TN) https://www.swarmapp.com/c/37IojXdHdAn 
Fri Jul 31 18:05:45 PDT 2015 --  Y'all, @GavinDeGraw has made his way all the way to the very back of the arena! How totally cool! #Nashville
Thu Jul 30 19:33:59 PDT 2015 --  High school football is MASSIVELY important to me, so many prayers to the Nashville Christian football family tonight on their loss....
Thu Jul 30 12:16:21 PDT 2015 --  Che bello, Cesena.... https://youtu.be/JozAmXo2bDE  #Rockin1000
Thu Jul 30 13:34:56 PDT 2015 --  Ahhh but hope springs eternal. Now's not the time to give up. https://twitter.com/kirsylovett/status/626851763811950592 …
Thu Jul 30 09:29:38 PDT 2015 --  Proud of my co-workers for all the hard work they put in! https://twitter.com/SkylineESource/status/626790617612333056 …
Wed Jul 29 23:20:07 PDT 2015 --  2/2...it doesn't mean they don't care about other important matters like the well-being of our soldiers or racial injustice or other cause.
Wed Jul 29 23:19:36 PDT 2015 --  Just because some are heartbroken over cruelty to animals or the tragic death of a well-known person... 1/2
Wed Jul 29 23:17:49 PDT 2015 --  It isn't necessary to make others feel as if what they care about is trivial while feigning superiority with your "more important" cause.
Wed Jul 29 23:13:35 PDT 2015 --  I'm so glad we are multi-dimensional human beings and have the ability to have a wide variety of cares & concerns.
Wed Jul 29 08:45:32 PDT 2015 --  THIS. https://twitter.com/TrackBangas/status/623216547205492736 …
Wed Jul 29 08:45:15 PDT 2015 --  THIS. https://twitter.com/huskybae/status/623175720215388160 …
Wed Jul 29 08:42:11 PDT 2015 --  Hey, @ATTCares there is NO WAY my data has once again hit the limit & people w/ UNLIMITED DATA are getting the same notification! FIX IT.
Tue Jul 28 17:37:32 PDT 2015 --  New Pollo Tropical VIP sneak peak! @PolloTropical (@ Nashville-West Shopping Center in Nashville, TN) https://www.swarmapp.com/c/h1USgFPVbQD 
Mon Jul 27 09:39:39 PDT 2015 --  RT @WPTV: NEW: @BrianEntin spoke to Perry Cohen's stepfather with @RealJoeNamath moments ago: "We will not give up." pic.twitter.com/iedJVfPamK
Mon Jul 27 07:33:16 PDT 2015 --  Sending up prayers and much hope that they will be found. https://twitter.com/PERMINAK/status/625659324870840320 …
Sun Jul 26 17:55:10 PDT 2015 --  Too young. So very sad. https://twitter.com/etnow/status/625465963404726272 …
Sun Jul 26 17:15:06 PDT 2015 --  Florida teens missing at sea after fishing trip - http://CNN.com  - CNN http://bit.ly/1IzkMzB 
Sat Jul 25 12:41:39 PDT 2015 --  I'm at Ron Jon Surf Shop - @ronjons in Cocoa Beach, FL https://www.swarmapp.com/c/hAEw5lETeJ2 
Sat Jul 25 09:24:40 PDT 2015 --  The house that built me. #home #Miami https://instagram.com/p/5kNN66uyR2/ 
Fri Jul 24 08:33:52 PDT 2015 --  I'm at Miami Ink Tattoo Studio in Miami Beach, FL https://www.swarmapp.com/c/1HtxETrMIkI 
Fri Jul 24 07:34:17 PDT 2015 --  Visiting Daddy. (@ Southern Memorial Park Cemetry in Golden Glades, FL) https://www.swarmapp.com/c/crInfiszjOr 
