Fri Aug 28 20:48:09 PDT 2015 --  if you hate on me at least be original
Fri Aug 28 04:54:30 PDT 2015 --  rt/fav if you're up and i might just follow/dm you
Thu Aug 27 17:22:59 PDT 2015 --  NIGHTS LIKE THIS MUSIC VIDEO! RT for a follow/dm? : https://m.youtube.com/watch?v=ibYv1ulH8lg …
Tue Aug 25 01:20:49 PDT 2015 --  One of the lights in my room just popped and burnt out and wow I jumped so hard I wish you guys woulda seen so you could make fun of me
Fri Aug 21 12:25:11 PDT 2015 --  I swear to god if I have to eat plane ass cheese pizza one more time I'm gonna vomit out my toe
Fri Aug 21 20:34:31 PDT 2015 --  fav/rt for a netflix and chill session jk but for a follow
Fri Aug 21 19:26:41 PDT 2015 --  Merdurdized just bought me fro yo🏿 thanks 4that
Fri Aug 21 18:52:43 PDT 2015 --  Lol but remember when FaceBook was a thing
Thu Aug 20 14:49:40 PDT 2015 --  Sorry I haven't been going live guys I've been having a struggle getting wifi lately, I'll try to get on tonight. Miss you guys!
Tue Aug 18 19:53:41 PDT 2015 --  why do I feel like this is what @Evan_Kreutzberg was like when he was little https://vine.co/v/ewJP7Mh0A1V 
Tue Aug 18 20:41:08 PDT 2015 --  I like being alone because then I can think about life and try to figure it out
Tue Aug 18 12:05:05 PDT 2015 --  When gross people touch your stuff https://vine.co/v/ep0V59PjrgT 
Tue Aug 18 20:27:21 PDT 2015 --  I'll be here for you “ @im_bea_okay: I wish I could cry into your shoulder @SamGolbachh”
Tue Aug 18 14:58:00 PDT 2015 --  When people ask me if I get embarrassed I tell them I have publicly worn everything from speedos to unicorn onesies... #noshame
Sun Jul 19 19:20:12 PDT 2015 --  This gone go viral pic.twitter.com/UJORBvoxrz
Mon Aug 10 08:54:16 PDT 2015 --  THIS IS AMAZING pic.twitter.com/7gWITp3KjT
Tue Aug 18 19:01:56 PDT 2015 --  Hey if you get this notification, just know you mean a lot to me
Tue Aug 18 16:18:11 PDT 2015 --  I got a tat pic.twitter.com/ibnER25G1U
Tue Aug 18 14:39:21 PDT 2015 --  I'm back baby Rt for a follow pic.twitter.com/HFYYm8zZcR
