Sat Aug 29 13:52:43 PDT 2015 --  My song : @camerondallas pic.twitter.com/zFdHHnPFWB
Fri Aug 28 17:20:38 PDT 2015 --  I do not understand, but I love him of an absurd way. pls notice me @HayesGrier pic.twitter.com/zku1ZkWyrf
Sat Aug 29 11:57:57 PDT 2015 --  She bad @camerondallas Best song ever !!!! pic.twitter.com/sFu6ke8krx
Fri Jun 19 10:51:43 PDT 2015 --  Fave this if you ship Me and Grayson lol pic.twitter.com/PQV3gpDSqS
Sat Aug 29 11:31:39 PDT 2015 --  Tagged by: @96calumtattoo @ShawnMendes #GetShawnToYourCountry #GetShawnToPortugal pic.twitter.com/kBwrLQoINe
Sat Aug 29 10:18:49 PDT 2015 --  Hanging out with @TheMattEspinosa @taylorcaniff @carterreynolds & @AaronCarpenter was pretty fun last night
Sat Aug 29 09:51:21 PDT 2015 --  The ladies of #CAMP @JoeyKingActress @AnnaliseBasso @MychalaLee @MakerStudios pic.twitter.com/hPwN5RrwPH
Thu Aug 27 13:03:19 PDT 2015 --  Rt for a dm to Sammy
Sat Aug 29 09:52:59 PDT 2015 --  #PortugalNeedsMagcon #shawncometoPortugal @ShawnMendes Nós amamos-te muito Shawn. Vem cá. Este também é o teu país. pic.twitter.com/J2SzrdpDeu
Sat Aug 29 09:50:45 PDT 2015 --  Brandon I love you when you come to Portugal ? @bevansisme
Sat Aug 29 09:00:09 PDT 2015 --  i'm pretty much always thinking about you guys what r u up to today? pic.twitter.com/g0EMDGf2Oh
Fri Aug 28 14:01:11 PDT 2015 --  Hey @NiallOfficial ! If this tweet reach one thousand RTS and one thousand FAVS you follow me ?
Sat May 16 10:58:36 PDT 2015 --  #PortugueseFansAreProudOfShawn AMO-TE MUITO @ShawnMendes pic.twitter.com/uOkkeDwnUc
Fri Aug 28 16:52:23 PDT 2015 --  Why you don't follow me? Is so hard click in a button. C'mon Brent Rivera. @BrentRivera
Fri Aug 28 16:48:49 PDT 2015 --  BERENTE follow me please bby. That will make me really happy. Or dm me. I will be happy too. Please bby. You mean a lot to me @BrentRivera
Sat Aug 22 09:54:15 PDT 2015 --  I cannot wait for you guys to see the videos I made on the cruise :) https://twitter.com/leahrachelxx_/status/635121555475968000 …
Sat Aug 22 10:43:39 PDT 2015 --  You're so kind :) I love you https://twitter.com/brents_my_love/status/635141368914907136 …
Sat Aug 22 13:58:11 PDT 2015 --  Crystal clear water pic.twitter.com/6dsYjB8n7d
Sat Aug 22 21:20:53 PDT 2015 --  Thanks @RoyalCaribbean for the awesome time!! #royalsummer pic.twitter.com/K49jApaxwQ
Sat Aug 22 19:07:04 PDT 2015 --  Goodnight @TheMattEspinosa I love you so much Dino
Sat Aug 22 19:05:49 PDT 2015 --  goodnight beautiful :) sleep well! https://twitter.com/defaultmatt/status/635270963328847872 …
Wed Aug 19 00:14:35 PDT 2015 --  Get some sleep it's good for you I'm about to go to bed too https://twitter.com/sadessmith/status/633899431931342848 …
Wed Aug 19 00:16:49 PDT 2015 --  Netflix sounds nice https://twitter.com/chescabartoli/status/633900227645190145 …
Wed Aug 19 12:17:52 PDT 2015 --  I need to start going to bed early... BUT EVERY NIGHT SOMETHING KEEPS ME UP
Thu Aug 20 00:42:02 PDT 2015 --  I definitely break the "don't eat late at night rule" every night
Thu Aug 20 11:32:07 PDT 2015 --  Tour coming soon... (Hopefully November) #MagconInNovemeber
Thu Aug 20 11:48:46 PDT 2015 --  . @Band_Bitches @Nessinexx Magcon was only 100 something to meet all of your favorites
Thu Aug 20 14:15:00 PDT 2015 --  Just picked up more fan mail this so amazing thank you all so much!!! PO Box 1951 Chino Hills, CA 91709 if you wanna send something
Fri Aug 21 01:44:34 PDT 2015 --  Happy Birthday @Tylercolemann!!! since I couldn't go to Vegas with you I decided to TP your house as a gift love ya man
Fri Aug 21 01:48:20 PDT 2015 --  Gotta vine for tomorrow it makes me laugh I almost fell
Fri Aug 21 01:49:06 PDT 2015 --  Some girls went tping with me and Aaron and when we drove off they busted their tire so we fixed it for them
