Tue Aug 25 09:39:40 PDT 2015 --  که څوک غواړی چې پښتونخوا وطن کې شعور خور کړي نو یوازې دې د پېښور پوهنتون په کمپس کار وکړي
Tue Aug 25 01:45:35 PDT 2015 --  Afghanistan National cricket stadium being prepared for National T20 tournament SIXES. @ACBofficials @ICC pic.twitter.com/ew6huy054I
Mon Aug 24 17:45:51 PDT 2015 --  سعودي په دوولسو میاشتو کې ۱۷۵تنه اعدام کړي: د عفوې نړیوالې مؤسسې په تازه رپوټ کې ویل شوي چې سعودي عربستان دغه ... http://bit.ly/1IaCanx 
Sun Aug 23 00:08:59 PDT 2015 --  په قيصار کې د دوستم ملېشو چنګېزي وحشت پيل کړی دی http://rohi.af/fullstory.php?id=40109&keepThis=true&TB_iframe=true&height=600&width=900&caption=%D9%BE%D9%87+%D9%82%D9%8A%D8%B5%D8%A7%D8%B1+%DA%A9%DB%90+%D8%AF+%D8%AF%D9%88%D8%B3%D8%AA%D9%85+%D9%85%D9%84%DB%90%D8%B4%D9%88+%DA%86%D9%86%DA%AB%DB%90%D8%B2%D9%8A+%D9%88%D8%AD%D8%B4%D8%AA+%D9%BE%D9%8A%D9%84+%DA%A9%DA%93%DB%8C+%D8%AF%DB%8C …
Sat Aug 22 11:00:01 PDT 2015 --  در هر نانوایی کابل این ابلاغیه نصب است، درین ابلاغیه نوشته شده است که 'انداختن نان گرم در خریطه های پلاستیک سبب... http://fb.me/25o78faRY 
Sat Aug 22 08:37:53 PDT 2015 --  در گیری های شدید میان طالبان و نیروهای امنیتی در هلمند رخ داده است http://fb.me/7e87fQ7hk 
Sat Aug 22 08:38:03 PDT 2015 --  ولسوالی کوهستانات، از تصرف طالبان خارج شد http://fb.me/3cyDbltmI 
Sat Aug 22 08:38:39 PDT 2015 --  د يوې کورنۍ د لسو غړو د وژلو په تور نيول شوی تن په زندان کې مړ شو http://fb.me/1ngKkg3Qc 
Sat Aug 22 08:10:03 PDT 2015 --  د سرپل کوهستانات ولسوالۍ له شپږویشت ورځو وروسته د دولت په کنټرول کې راغله. د سرپل سرپرست والي عبدالجبار حقبین نن... http://fb.me/1RgNRQl3K 
Sat Aug 22 08:10:41 PDT 2015 --  فساد گستره در روند استخدام معلمان در وزارت معارف http://1tvnews.af/?url=zZ4rQ 
Sat Aug 22 08:14:00 PDT 2015 --  د ننګرهار د بېلابېلو ولسوالیو اوسیدونکي وایي چې د اسلامي دولت ډلې یا داعش د یوې خبرپاڼې په خپرولو سره خلکو ته... http://fb.me/2nS96Yn3d 
Sat Aug 22 03:46:14 PDT 2015 --  د آریانا افغان هوایی شرکت نگرانی ها در رابطه به عدم عملی شدن تعهدات شرکت هوایی قاهره در پیوند به انتقال زائرین حج... http://fb.me/zmMJP6Ay 
Sat Aug 22 03:36:43 PDT 2015 --  د ننګرهار پوهنتون د مركزي ليليې ودانۍ جوړه شوه: د ننګرهار پوهنتون د مرکزي لیلیې ودانۍ په داسې حال کې ګټې اخی... http://bit.ly/1JB4Flu 
Sat Aug 22 03:18:09 PDT 2015 --  خبر هغه افغانان چي په پاکستان کښې ژوند کي او افغان سټزن کارډ لري کولى شي په قانوني ډول تر 2017 کال پوري پاتي شي او ژوند اوکړي ..
Mon Aug 17 07:13:05 PDT 2015 --  د خپلاواکئ 96مه کلیزه مو مبارک شه...! Happy 96th independence day...! pic.twitter.com/6Epm2Xtxj8
Mon Aug 17 08:40:11 PDT 2015 --  په تایلېنډ کې د هندوانو معبد ته نژدې چاودنې ۱۲ تنه ووژل: د تایلېنډ به پلازمېنې بنکاک کې د هندوانو یو معبد ته ن... http://bit.ly/1gQJ8rY 
Mon Aug 17 08:28:24 PDT 2015 --  کلونه کېږي دغه یو غازي، یوه ملاله وخت رانه غواړي نور یو نوی اتل، نوې کیسه
Mon Aug 17 08:29:32 PDT 2015 --  يا زه جوړ يم دا كل خلك ليوني دي يا دوى جوړ دي، بس يو زه يم ليونى غني خان
Mon Aug 17 08:30:16 PDT 2015 --  د یار غمه حېران مه شې نوی نه یې ته زما د زړه په کور وړوکی ځوان شوې فیروز افریدی
Mon Aug 17 01:16:59 PDT 2015 --  پینتاکون به تر ۲۰۱۹ کال پوری د بی پیلوټه الوتکو په الوتنو کی ۵۰ سلنه زیاتوالی راولی http://sputnik.ws/32NV8g 
Mon Aug 17 00:53:58 PDT 2015 --  چې پۀ خپل ځان باندې تاوان پاتې یم خدای خبر څنګه لا انسان پاتې یم خدایه! پښتون یمه ګناه مې دا ده! ځکه لۀ ژبې اوېزان پاتې یم [حنیف حیران]
Mon Aug 17 01:01:05 PDT 2015 --  ننګرهار كې د داعش ډلې يو قومندان ونيول شو: د ملي امنيت لوی رياست په ننګرهار ولايت کې د داعش ډلې د يوه قوماند... http://bit.ly/1TLv8MP 
Mon Aug 17 01:02:17 PDT 2015 --  الکترونيکي تذکرې د ستونزوله کبله د زمري په ۲۸مه نه ویشل کیږي http://pa.azadiradio.org/content/article/27192412.html …
Mon Aug 17 01:03:03 PDT 2015 --  Nothing can bring Peace if U do not do da first step.Helping one another is changing da world.WE need to give OUR voice to da weaker ones.
Mon Aug 17 01:03:14 PDT 2015 --  #Afghanistan: د پکتيا دولتي ادارو کې فساد د خلکو د کارونو د ځنډ لامل شوى http://dlvr.it/BstFYl 
Mon Aug 17 01:03:18 PDT 2015 --  #Afghanistan: رضا خان کاکا رسماً د کرکټ بابا شو http://dlvr.it/BstDz1  pic.twitter.com/i0L66FFiAD
Mon Aug 17 00:57:46 PDT 2015 --  افغانستان الف لوبډلې د سریلانکا پرمختیایي لوبډلې په وړاندې په درېمه یو ورځنۍ لوبه کې تر دا مهاله ۲۰۱ منډې جوړې... http://fb.me/7H7dnfYzA 
Mon Aug 17 01:14:05 PDT 2015 --  پدر خوانده ی طالبان: حمید گل و میراث او | #Afghanistan #Taliban http://bit.ly/1hhQZzw  @dw_persian pic.twitter.com/VJeiicAkD2
Sun Aug 16 04:58:04 PDT 2015 --  National dance (Atan) in Sharan, capital of Paktika province due to death of General Hamid Gul pic.twitter.com/PHHIuIU5kS
Sat Aug 15 01:46:32 PDT 2015 --  واشنګټن مېشتو افغانو د پاکستان سفارت مخې ته لاریون وکړ یو شمېر افغانانو د امريکا په پلازمېنه واشنګټن کې د... http://fb.me/1XZ7EkqXP 
Sat Aug 15 01:47:14 PDT 2015 --  کشف یک مخفیگاه سلاح و تجهیزات نظامی تروریستان در ننگرهار! منسوبین ریاست عمومی امنیت ملی طی عملیات خاص از یک... http://fb.me/4eV1dPHUb 
Sat Aug 15 01:47:31 PDT 2015 --  Amazing send off. So proud of the young team. @chandi_17 one of the best counter punching knocks I have seen. Rangana an Kaushi were amazing
Sat Aug 15 01:23:37 PDT 2015 --  Cricket Australia named Steven Smith new test captain following the retirement of Michael Clarke. pic.twitter.com/AiGwhgXSzQ
Sat Aug 15 01:28:03 PDT 2015 --  د غزني امنیتي چارواکي وایي؛ هغه لس مسافر چې څو ورځې مخکې په جاغوري ولسوالۍ کې تښتول شوي وو؛ بېرته خوشې شوي دي. د... http://fb.me/40Z0uQ1Dj 
Thu Aug 13 08:11:14 PDT 2015 --  بيړنۍ اړتيا: د کابل په صحت طفل روغتون کي -A منفي ویني ته عاجله اړتیا ده. که د چا ګروپ ورسره سمون خوري نو د ثواب... http://fb.me/3XBfBY1Jj 
Thu Aug 13 08:07:39 PDT 2015 --  #Afghanistan: هيئت افغان وارد اسلام آباد شده است http://dlvr.it/Br1rff  pic.twitter.com/nmHzeKCDiR
Sat Jul 25 07:16:11 PDT 2015 --  ایران له طالبانو سره د سولې د خبرو هرکلی وکړ: په کابل کې د ایران سفیر د افغان حکومت او طالبانو ترمنځ د سولې د ... http://bit.ly/1LFlk7A 
Sat Jul 25 07:18:13 PDT 2015 --  Congrats! Oman and Afghanistan...! #qualified #wt2016
