Wed Aug 19 13:42:39 PDT 2015 --  Nico Toutenhoofd, ID partner and photog has a stunning @instagram. http://bit.ly/1E4L7UA  #WorldPhotographyDay pic.twitter.com/w04YcNLCvs
Mon Aug 17 14:41:04 PDT 2015 --  We are proud to have made the @Inc 5000 list! https://twitter.com/Inc/status/631419914318946305 …
Wed Aug 12 13:25:28 PDT 2015 --  There is always fun to be had after work when you are lucky enough (like we are) to have a downtown Boulder office! https://twitter.com/downtownboulder/status/631484686347300864 …
Mon Aug 10 14:14:00 PDT 2015 --  How do you laugh online? https://twitter.com/mashable/status/630817525866082304 …
Wed Aug 05 09:09:09 PDT 2015 --  How do you track your fitness? Our client, @tractica, says you're likely using a wearable device. #WellnessWednesday https://www.tractica.com/ 
Tue Aug 04 09:56:37 PDT 2015 --  . @juwisolar is the global market leader in the solar industry. See the new responsive site we created for them: https://www.juwiamericas.com/ 
Fri Jul 17 09:35:20 PDT 2015 --  . @pairnetworks featured us in their Client Spotlight video, check us out! https://twitter.com/pairnetworks/status/621022835704766465 …
Fri Jun 19 10:29:38 PDT 2015 --  We're on a roll! Just found out we made the list of Colorado's Top 100 Woman-Owned Companies by @ColoradoBizMag! pic.twitter.com/OlFLqLAiH5
Mon Jun 15 11:51:25 PDT 2015 --  We're hiring a full-time, experienced, designer. Interested and qualified? Apply here: http://www.indeed.com/cmp/Insight-Designs-Web-Solutions/jobs/Web-Designer-735c1a4d8ca16b3f …
Wed Jun 10 12:28:03 PDT 2015 --  We just launched a new site for @CaladriusBio: http://www.caladrius.com/  pic.twitter.com/yKo24Dx28A
Thu Jun 04 15:15:10 PDT 2015 --  Photos of yesterday's Employee Appreciation Day fun and festivities? Check 'em: http://www.boulderdowntown.com/events/employee-appreciation-day/employee-appreciation-photos-2015 … @InsightDesigns @solidfire etc
Thu Jun 04 12:31:39 PDT 2015 --  The #InsightDesignsTeam yesterday celebrating @downtownboulder #employeeappreciation day. Great day, fun events! pic.twitter.com/9uAhYJVcfg
Thu May 28 15:24:04 PDT 2015 --  Great event last night at #2015BVMercury100 @bizwestmedia pic.twitter.com/yQPQGdG1XT
Wed May 27 17:23:45 PDT 2015 --  . @bizwestmedia we're here and excited to be included in #2015BVMercury100 pic.twitter.com/RvnGBqWVvr
Wed May 27 16:39:50 PDT 2015 --  Flight 3: #12: @InsightDesigns 34% growth, #11: Peak Asset Management, LLC 38% growth #2015BVMercury100
Wed May 27 11:13:52 PDT 2015 --  We're Hiring! Check out the details here: http://www.indeed.com/cmp/Insight-Designs-Web-Solutions/jobs/Ruby-Programmer-fdab735eb97d2ef4?sjdu=QwrRXKrqZ3CNX5W-O9jEvZ1BCzDhbcFR_at2uWiNrcqGHBtgCyEJrkvv57PHtBPXXAtuUTiGNzINqrn-v2Pezg … pic.twitter.com/HBpU5NkASH
Tue May 19 12:36:39 PDT 2015 --  We just launched a new website for the world's largest electronic security coop, @PSASecurity http://www.psasecurity.com/  pic.twitter.com/LnRg6jytov
Fri May 15 09:45:38 PDT 2015 --  One of our fearless leaders, Beth Krodel, is speaking this afternoon at @bldrstartupweek! #BSW15
Wed May 13 08:29:00 PDT 2015 --  . @bldrstartupweek some of our Insight Designs Team members are headed to #bsw15 events this morning! https://twitter.com/bldrstartupweek/status/598494750228881409 …
Wed May 13 08:05:01 PDT 2015 --  We're on LinkedIn! Follow us! https://www.linkedin.com/company/insight-designs-web-solutions-llc?trk=nav_account_sub_nav_company_admin …
Tue May 12 09:22:18 PDT 2015 --  Attention #downtownboulder businesses! It's #freeconeday from 4-8p @Lindsaysdeli our neighbor. #HaagenDazs https://twitter.com/Lindsaysdeli/status/598143653094117376 …
Thu May 07 08:44:42 PDT 2015 --  . @ThirdStreet_Inc on #wholefoodsmarket in the @WSJ: http://www.wsj.com/articles/whole-foods-calls-the-shots-for-startups-1430904782 …
Mon Dec 09 12:18:30 PST 2013 --  New on the ID Blog: Food, libations and prizes! http://www.insightdesigns.com/blog/?p=933 
Tue Oct 29 13:39:20 PDT 2013 --  Just launched a new #responsive #wordpress site for Catalyst Communication. Have a look! http://catacom.com/  pic.twitter.com/gLAjKAsCq0
Tue Oct 22 08:30:25 PDT 2013 --  Want cords? Need cords? We got 'em! Come get 'em! Ethernet, extension, and otherwise, all at the @InsightDesigns office in downtown Boulder!
Thu Oct 17 15:55:06 PDT 2013 --  New on the ID Blog: What's So Cool About #ResponsiveDesign? http://www.insightdesigns.com/blog/?p=926 
Thu Oct 10 12:40:03 PDT 2013 --  Excited for our staff retreat to #snowmountainranch! Office will be closed Friday. Catch ya on Monday, folks!
