Mon Aug 24 07:58:24 PDT 2015 --  Why did I just pass a dude on one of these.... #really #OnlyAtUCA pic.twitter.com/QYdbYDV3EV
Mon Jun 29 04:45:16 PDT 2015 --  4 more days and I'm not a teenager anymore!!! #Adult #OrAmI
Thu Jun 04 23:04:47 PDT 2015 --  Therefore do not be anxious about tomorrow for tomorrow will be anxious for itself. Sufficient for the day is its own trouble.
Sat May 23 12:00:03 PDT 2015 --  Our Witcher console needs a home. RT for a chance to make it yours. RULES: http://xbx.lv/1AmtehX  #WitcherXboxOne pic.twitter.com/HdcSQnD5te
Mon May 18 09:42:21 PDT 2015 --  Just finished first listen through of Blurry face this is an amazing album!!!!!
Thu May 14 09:54:48 PDT 2015 --  Love days where I just get to just relax go chill at petit Jean with my girl @SaraPaxton728 she is so much fun to be with!!!!
Sat May 09 06:56:23 PDT 2015 --  Graduation time! Deuces morrilton it's not been real!
Thu May 07 06:36:51 PDT 2015 --  I'm finally done!!! Goodbye morrilton I won't be seeing you soon. #UCABound #RealCollege
Sat May 02 19:38:27 PDT 2015 --  It feels really awesome to say I'm going out with a college graduate!!! @SaraPaxton728 I'm do proud of you!
Mon Mar 30 16:54:33 PDT 2015 --  17 days till kum and go on the north side of conway!!!!!!
Sun Mar 22 09:43:39 PDT 2015 --  True disciples invest in eternity and will be graciously rewareded!! @fbcConway I love this message!!
Tue Mar 17 05:19:52 PDT 2015 --  Happy St. Patrick's day!! The one day of the year we're all Irish!!!
Fri Mar 13 21:43:47 PDT 2015 --  Teach these high school kids a little Top Gun!! @ConwayYouth #OldSchool #DangerZone
Wed Mar 11 14:22:30 PDT 2015 --  There will be youth tonight normal times! @ConwayYouth
Sun Mar 08 09:46:38 PDT 2015 --  10For the Son of Man came to seek and to save the lost.” Luke 19:10 #GreatMessage @fbcConway
Wed Mar 04 11:22:20 PST 2015 --  No youth tonight or helping with yard sale @ConwayYouth
Wed Feb 25 05:28:04 PST 2015 --  I'm trying, I'm trying to sleep, I'm trying, I'm trying to sleep,But I can't -twenty one pilots wake up @StixVelte it's school time!! #Alarm
Sat Feb 21 11:41:54 PST 2015 --  Bass pro with @SaraPaxton728 is da best!!!
Wed Feb 18 19:19:13 PST 2015 --  Only your blood can wash me clean!! #WorshipNight
Tue Feb 10 10:16:05 PST 2015 --  "If God is good, all-powerful Then why such pain, why such evil I'm finding the answer in learning to say Amen" -Matt Papa
Thu Feb 05 20:04:37 PST 2015 --  The only thing I don't like about Valentines is all the people who complain about being single. I did it for years and was always fine.
Sun Feb 01 09:34:04 PST 2015 --  Do not pray for your wants pray for Gods will to be done in you, persistently. @fbcConway #GreatSunday
Thu Jan 29 18:58:29 PST 2015 --  Spent the last 20mins trying to find @SaraPaxton728 's phone thinking it fell beneath the seat but no it was in her visor where she left it
Tue Jan 27 07:52:52 PST 2015 --  Taking 5 minutes to sit down or stand up cause your legs are so tired! #LegDay
Sun Jan 25 19:06:20 PST 2015 --  Fastest way to shed tummy fat in 2-3 weeks http://garciniadietplan.appspot.com 
Tue Jan 20 06:52:31 PST 2015 --  Ain't nobody got time for psychoanalytic therapy! -Ray Trower #UACCMProfs
Mon Jan 19 22:03:49 PST 2015 --  wow the accuracy pic.twitter.com/xWNVvcAfGu
Sat Jan 17 15:12:31 PST 2015 --  Ever wanted a Replica Rolex for under $100? Find them here http://qualityreplicaz.appspot.com 
Sat Jan 17 09:09:35 PST 2015 --  Ever wanted a Replica Rolex for under $100? Find them here http://replicawatchspcls.appspot.com 
Fri Jan 16 12:56:16 PST 2015 --  Ever wanted a Replica Rolex for under $100? Find them here http://replicawatchspcls.appspot.com 
Thu Jan 15 07:59:05 PST 2015 --  Ever wanted a Replica Rolex for under $100? Find them here http://replicawatchspcls.appspot.com 
Wed Jan 14 16:48:05 PST 2015 --  Ever wanted a Replica Rolex for under $100? Find them here http://replicawatchspcls.appspot.com 
Mon Jan 12 07:26:56 PST 2015 --  ... My technology teacher sounds like a female narrator.. I feel like I'm learning from a robot..
Mon Jan 12 05:46:49 PST 2015 --  First day of classes. not feeling it at all...
Sun Jan 11 09:34:15 PST 2015 --  True disciples know a little faith can go a long way! #Truths @fbcConway
Fri Jan 09 22:14:47 PST 2015 --  Tonight was awesome! Its not a youth event if I don't leave hurt @zbenton1 also riding home seeing ihv2poo as a license plate! @ConwayYouth
Sun Dec 28 13:19:05 PST 2014 --  The interview is so funny!!!
Wed Dec 24 13:24:20 PST 2014 --  Had early Christmas got some awesome thoughtful gifts and got to relax with the family!! #EarlyChristmas
Fri Dec 12 12:45:55 PST 2014 --  Just saw 4 guys riding horses around UCA!?! Umm ok!?!?! #wat
Thu Dec 11 06:18:51 PST 2014 --  Hello Christmas break!! You beautiful time you!!! #Done
Wed Dec 10 07:31:15 PST 2014 --  Can I just say that finals are a social problem and that be good enough for my social problems final? #SoReadyToBeDone
Mon Dec 08 06:21:05 PST 2014 --  We're yelling timber. RT @ItIsAquaMan: This final is going down!!!
Mon Dec 08 05:20:26 PST 2014 --  This final is going down!!!
Wed Nov 26 19:35:57 PST 2014 --  December 17. The Hobbit. Nuff said.
Tue Nov 25 06:43:57 PST 2014 --  Let Thanksgiving break begin!!! #ClassCancelled
Sun Nov 23 09:56:04 PST 2014 --  The true measure of success is not how much money you have, but how much love for others! @fbcConway #PreachIt
Thu Nov 20 16:55:52 PST 2014 --  The amount of anger I feel towards @MacyBurroughs1 for being in Nebraska and not taking me is immeasurable!
Wed Nov 19 09:23:19 PST 2014 --  "Millions of peaches, peaches for me. Millions of peaches, peaches for free!" @SomeoneStuart #bestsongeva
Sun Nov 16 14:51:49 PST 2014 --  So fat right now! This weekend was the best!!! #AllYouCanEatCorn @SomeoneStuart
Sat Nov 01 18:04:26 PDT 2014 --  The fact that ESPN is giving Arkansas credit for once>>>>>> #NeverHappens #NeverYield
Fri Oct 31 08:21:05 PDT 2014 --  Third and final costume! Green arrow from arrow!! #FavHero
Fri Oct 31 07:17:23 PDT 2014 --  Can today please be one big Halloween party!!! #SpookyThings
Mon Oct 27 13:52:37 PDT 2014 --  Deliveries for days!!!
Thu Oct 23 05:18:22 PDT 2014 --  The sky this morning is amazing!! God makes the most beautiful things!!
Fri Oct 17 07:34:50 PDT 2014 --  Dude, I'm just ready to be back in Conway.
Fri Oct 17 07:36:04 PDT 2014 --  Just found the best Halloween costume ever!! pic.twitter.com/NTXfJnxW4q
Wed Oct 15 19:35:35 PDT 2014 --  Real talk at starbucks with great friends!! @AustinTheBlank @StixVelte
