Fri Aug 28 05:15:10 PDT 2015 --  https://youtu.be/NywWB67Z7zQ  #WhatDoYouMean
Fri Aug 28 03:30:03 PDT 2015 --  #30minutes #WhatDoYouMean? pic.twitter.com/gxK6JgWSx5
Fri Aug 28 03:29:16 PDT 2015 --  1 pic.twitter.com/hfmHLya4Cd
Fri Aug 28 03:29:57 PDT 2015 --  I love you Justin Bieber https://twitter.com/justinbieber/status/637210247640190976 …
Fri Aug 28 03:28:47 PDT 2015 --  4 pic.twitter.com/uI6vwweT8F
Tue Aug 25 08:35:06 PDT 2015 --  A punto de entrar a @jeloenverano 98.0 fm! Vente con Nosotros! pic.twitter.com/nAA7MJLjJz
Wed Aug 19 08:34:02 PDT 2015 --  #9Days pic.twitter.com/fIrTIHGEuS
Sun Aug 16 18:50:47 PDT 2015 --  Making music
Wed Aug 12 23:52:40 PDT 2015 --  อ่านแบบงงๆ #DirectionersFuneral
Tue Jul 07 05:14:55 PDT 2015 --  Let's chat on MeowChat! Add me: janvier15. http://meowch.at/i/8PfhbOQTpXOT  via @MeowApp
Wed Jul 01 06:29:18 PDT 2015 --  https://youtu.be/zYNsQ6ibdZs  #ทิ้งไว้กลางทาง
Thu Jun 25 19:27:28 PDT 2015 --  วันต่อต้านยาเสพติดโลกกก #แดดไปไหม
Tue Jun 23 20:21:00 PDT 2015 --  Let's chat on MeowChat! Add me: janvier15. Get @MeowApp here http://www.meow.me/?app 
Mon Jun 15 07:20:49 PDT 2015 --  ทดเวลาเยอะไปไหม...7นาที.
Sun May 31 04:55:29 PDT 2015 --  
Wed May 20 19:00:30 PDT 2015 --  So love me like you do La-la-love me like you do Love me like you do La-la-love me like you do
Mon May 11 03:49:20 PDT 2015 --  See you again....
Thu Apr 23 06:50:00 PDT 2015 --  Esta tarde, en los jueves diferentes de @SonyMusicSpain tendremos a @dvicioficial que como veis me comen muy bien. pic.twitter.com/QRia3GBRVu
Mon Apr 20 19:19:32 PDT 2015 --  Big brother day :)
Mon Apr 13 07:36:13 PDT 2015 --  ชอบขัดจังเลยยยยยยย ?
Sun Apr 12 08:22:08 PDT 2015 --  ENAMORATE EN EL BAÑO #EnamorateDvicio: https://youtu.be/QGMwylXh3pc 
Wed Apr 08 07:43:53 PDT 2015 --  https://instagram.com/p/1N71aJJXQ8/ 
Sat Apr 04 07:52:21 PDT 2015 --  Manchester City currently FOURTH in the Premier League http://dailym.ai/1J55nDs  pic.twitter.com/WTceqpiAhV
Wed Mar 25 20:19:51 PDT 2015 --  All the love as always. H
Tue Mar 24 07:40:41 PDT 2015 --  Tailandia ขอบคุณสำหรับความรัก มาก #EnamorateDvicio
Fri Mar 20 10:26:33 PDT 2015 --  Gracias por esto!! Más de 2 Millones de reproducciones en 1día #EnamorateDvicio No podemos estar mas felices. pic.twitter.com/0PWItdMS4u
Fri Mar 20 23:53:36 PDT 2015 --  #dvicio ...Me encanta este hombre #ฝรั่งคือนิพพาน pic.twitter.com/YZFCiYPKnd
Sun Mar 15 00:44:31 PDT 2015 --  Thank you everyone at the show in BKK last night. You were a lot of fun. Thanks for having us. All the love
Sat Mar 14 16:46:24 PDT 2015 --  " @WW1DUpdates: The boys onstage in Bangkok, Thailand 3/14/2015 63-66 #vote1DUK #KCA -N pic.twitter.com/B4wNDo78li" @Harry_Styles
Fri Mar 13 05:04:20 PDT 2015 --  Congratulations! #FRIENDS https://instagram.com/p/0Ks6BzpXVv/ 
Fri Feb 20 22:54:49 PST 2015 --  Little nialler pic.twitter.com/kdLRxReD3u
Sun Feb 15 06:45:25 PST 2015 --  "กระจกเป็น "เพื่อนที่ดีที่สุด" ของผม.. เมื่อผมร้องไห้มันไม่เคยหัวเราะ" - ชาลี แชปลิน กล่าวไว้ pic.twitter.com/NncGNR9dBI
Fri Feb 06 03:57:37 PST 2015 --  I must have watched wolf of Wall Street over 50 times now
Fri Jan 30 01:17:34 PST 2015 --  http://instagram.com/p/yeQb7WpXY6/ 
Thu Jan 29 05:11:41 PST 2015 --  Never
Sun Dec 28 14:02:57 PST 2014 --  :) https://vine.co/v/Owu7uzFVuuM 
Tue Dec 02 20:30:18 PST 2014 --  I'm right here.☜☜☜ http://instagram.com/p/wIZdKYJXQ9/ 
Thu Nov 27 21:46:05 PST 2014 --  ≧﹏≦≧﹏≦≧﹏≦ http://instagram.com/p/v7qJ0HpXbu/ 
Wed Nov 12 00:55:50 PST 2014 --  แค่นั้น...
Tue Nov 11 00:20:03 PST 2014 --  Það sem þeir skilja ekki ╯▂╰╯▂╰╯▂╰
Mon Nov 03 01:29:31 PST 2014 --  What's happened????
Thu Oct 30 20:32:54 PDT 2014 --  เยอะไปไหม
