Tue Aug 18 21:12:27 PDT 2015 --  Um café e um amor. Quentes, por favor pic.twitter.com/aZfArXW2K0
Fri Aug 28 17:32:30 PDT 2015 --  A vida é como café sem açúcar, cada um adoça ao seu gosto... mas ainda há quem prefira amargo. https://instagram.com/p/68oEWRORYZ/ 
Wed Aug 26 12:36:46 PDT 2015 --  Cuidado com seus post, hoje em dia é muito fácil achar uma pessoa pois a vida das pessoas são rotinas, segurança em redes !
Wed Aug 26 12:35:24 PDT 2015 --  Quando você não esta pagando por um serviço você não é cliente e sim a mercadoria, assim disponibilizando dados a banco de dados de empresas
Tue Aug 25 21:01:19 PDT 2015 --  Embarque na paz de espírito @ Cidade De Erechim https://instagram.com/p/61RlnKuRd3/ 
Fri Aug 21 17:28:11 PDT 2015 --  É Sexta !! https://instagram.com/p/6qmBApuRew/ 
Thu Aug 20 07:36:42 PDT 2015 --  Gripe melhore rapido por que o tendel de sabado vai ser violento =D
Tue Aug 18 21:07:28 PDT 2015 --  "Porque, assim como o café, o amor não serve frio."
Tue Aug 18 15:57:55 PDT 2015 --  Eu e o @JacksonMagna maquinando nos algoritmos aqui 🏼🏼🏼
Sun Aug 16 08:58:41 PDT 2015 --  Parece novo #limpo #Golf https://instagram.com/p/6czvBWuRT5/ 
Fri Aug 14 16:33:46 PDT 2015 --  Pra romance é off, pra baldada é disponível ;P
Wed Aug 12 17:50:55 PDT 2015 --  Just posted a photo https://instagram.com/p/6TddszuRYI/ 
Mon Aug 10 13:30:02 PDT 2015 --  HOJE OS COLORADOS VÃO TOMAR APENAS UM CHÁ DAS 5... PORQUE ONTEM ENJOARAM DE TOMAR CHOCOLATE.
Tue Aug 11 19:16:02 PDT 2015 --  INTER LEVOU NÃO DO: MURICY MANO MENEZES JORGE SAMPAOLI CUCA SE LEVAR NÃO DE MAIS UM VIRA GRENAL.
Mon Aug 10 17:18:02 PDT 2015 --  SEGUNDA-FEIRA E EU JÁ TO MAIS CANSADO QUE O ALISSON BUSCANDO AS BOLAS NO FUNDO DO GOL.
Fri Aug 07 10:12:00 PDT 2015 --  Sexta sua linda !! https://instagram.com/p/6Fw-HLuRdY/ 
Sun Aug 02 19:25:05 PDT 2015 --  Eu, quando te encontrar, quero falar de tudo que eu sinto, sei que posso me perder, entrar nesse teu labirinto
Thu Aug 06 18:38:53 PDT 2015 --  SE TU PUDESSE ESCOLHE ENTRE TOMAR SKOL BEATS, KAISER LIMÃO OU UM RASANTE DE QUERO-QUERO NA ORELHA TU ESCOLHERIA ORELHA ESQUERDA OU DIREITA?
Fri Jul 31 09:32:16 PDT 2015 --  O ASSUNTO DO @NovoSala É A CRISE NO RS. O RIO GRANDE DO SUL É O INTER E O SARTORI É O GEFERSON.
