Sat Aug 29 10:08:03 PDT 2015 --  Y #SAGITARIO no pudo contener su lengua, y ahora esta en problemas. ¿Disculparse? ¿Queeeeeé?
Fri Aug 28 22:11:39 PDT 2015 --  Estábamos re bien y dijiste eso.. Okkkkk
Fri Aug 28 22:05:55 PDT 2015 --  Y yo ya estaba re tierno.. Ni para tanto fue jaaajaaaa
Fri Aug 28 21:40:10 PDT 2015 --  Me re confudi, jaaa ni era para tanto
Thu Aug 27 17:33:09 PDT 2015 --  No sé hacer planes a largo plazo, y los de corto plazo me dan paja, onda siempre va a ser mejor mi cama. Conclusión: morsa.
Thu Aug 27 04:24:05 PDT 2015 --  Vieron que los nombres de estados unidos son re lindos delicados como california los angeles y acá son LA BOCA VILLA CONSTITUCIÓN
Wed Aug 26 15:40:39 PDT 2015 --  Mi novia me pidio un espacio... pic.twitter.com/NJG5elUtZG
Wed Aug 26 03:03:33 PDT 2015 --  Llegar temprano y que todavía este cerrado.. Puta escuela
Tue Aug 25 19:04:31 PDT 2015 --  Esto de que a ningún amigo se le haya ocurrido venir a mi casa tomar mates por lo menos, es feo ... Fue, no tengo amigos.
Tue Aug 25 14:27:41 PDT 2015 --  Por fin, carpetas ordenadas
Tue Aug 25 09:48:03 PDT 2015 --  Aguante la Coca Cola en envase de vidrio bien helada es más adictiva que el paco vieja no me importa más nada
Tue Aug 25 09:47:56 PDT 2015 --  Chicos nuevos en el cfc, Jiu Jitsu manda pic.twitter.com/PQ2PRlaMAM
Tue Aug 25 09:26:02 PDT 2015 --  Esto de que vallan chicos nuevos esta bueno pic.twitter.com/hnD5qnM25X
Tue Aug 25 09:02:27 PDT 2015 --  #NoSirve ir a entrenar sin ganas... Para eso quedate en tu casa!!
Tue Aug 25 09:00:35 PDT 2015 --  #MientoCuando Me mienten
Tue Aug 25 08:51:16 PDT 2015 --  Que me clave el visto, mal ahí
Mon Aug 24 13:37:04 PDT 2015 --  Chau pastillas, chau vendaje, 3 semanas y ah entrenar. Jiu Jitsu MMA
Fri Jul 17 09:41:00 PDT 2015 --  Amigo posta es el que te devuelve una pared jugando al fútbol.
Mon Aug 24 03:29:21 PDT 2015 --  Lo mejor de Windows 95. pic.twitter.com/lxcijbb3Co
Sun Aug 23 22:30:47 PDT 2015 --  SI NO ESTÁN CONTIGO EN LAS MALAS, QUE NO ESPEREN ESTAR EN LAS BUENAS
Sun Aug 23 21:22:34 PDT 2015 --  Noo quiero tomar la pastilla
Sun Aug 23 19:25:15 PDT 2015 --  Malditas pastillas
Sun Aug 23 18:20:11 PDT 2015 --  Capo Lucho. G
Sun Aug 23 10:24:16 PDT 2015 --  Tener que bañarse en 5 minutos puto vendaje. Te odio rodilla..!
Sat Aug 22 18:11:30 PDT 2015 --  Con mi hermano pic.twitter.com/3T4OlXJTj0
Mon Aug 17 12:37:48 PDT 2015 --  #TresCosasQueMeHacenFeliz Entrenar Amigos Dormir
Sun Aug 16 09:50:15 PDT 2015 --  #DomingoDeGanarSeguidores Seguime y te Sigo (tengo muy pocos)
Sun Aug 16 06:11:04 PDT 2015 --  #SAGITARIO: lo que más gusta a los demás de ti es tu forma de ver el mundo, cómo disfrutas sin mirar atrás, la libertad que va pegada a t
Sun Aug 16 06:39:05 PDT 2015 --  #SAGITARIO: estás como una cabra, es así, y es genial, todos te quieren cerca, contigo siempre pasan aventuras para contar al día siguiente.
Sun Aug 16 07:52:00 PDT 2015 --  Piden que les digan feliz día del niño algunas minas y tienen más kilómetros de pija que Wanda nara.
Fri Aug 14 17:06:02 PDT 2015 --  Estaba durmiendo y entró a la pieza mi papa diciendo SON LAS 9 que queres que haga te felicito por aprender la hora denle un juguete al nene
Sat Aug 08 10:35:36 PDT 2015 --  #En3PalabrasTeDigoQue No pinta nada :(
Fri Aug 07 18:11:13 PDT 2015 --  #ImposibleOlvidar 28/03/2015
Fri Aug 07 08:12:09 PDT 2015 --  ¡Último día para votar! RT - Si querés que @natijota se case con Martinelli FAV - Si no querés que se case con él http://bit.ly/1IVIExA 
Wed Aug 05 21:51:19 PDT 2015 --  2 hs esperándote como pavo preocupado al pedo
Wed Aug 05 20:44:17 PDT 2015 --  Por cosas así estamos mal :3
Wed Aug 05 19:48:39 PDT 2015 --  Me imagino q el panadero ya no está en el país...
Mon Aug 03 13:29:03 PDT 2015 --  Mi corazón esta hecho de Nokia 1100. Sino no se explica.
Sun Aug 02 18:59:04 PDT 2015 --  Me odio porque me enojo y a los 5 minutos ya se me pasó y me estoy cagando de risa de lo que me hizo enojar. No sirvo ni para ser malo.
Sat Aug 01 10:57:06 PDT 2015 --  No existe la mujer que te ame y no te rompa las pelotas. Repito, no existe. Y si te jode, andá y comprate una Barbie. No jode y es muda.
Sat Aug 01 13:25:06 PDT 2015 --  Para mi los padres que le ponen Sheila a su hija es porque en realidad querían un perro.
