Thu Aug 20 21:33:43 PDT 2015 --  YOU CAN BUY THE ACTION FIGURE WITH THE ALBUM :)
Sat Aug 29 07:36:17 PDT 2015 --  S/o every radio and club Dj that's supporting rodeo trust me chase b and I are listening.
Fri Aug 28 08:34:37 PDT 2015 --  . @Pebler18 @NFL @packers Big Homie @TyMontgomery2
Thu Aug 27 14:28:38 PDT 2015 --  Could Walt’s gun-in-the-trunk plan in #BreakingBad’s finale work? The @MythBusters find out: http://vult.re/1LEivnw  pic.twitter.com/qiQ3Bk60yu
Thu Aug 27 15:13:37 PDT 2015 --  . @CarterLeathers how did u know?? https://twitter.com/ballerstatus/status/637010437893062656 …
Wed Aug 26 10:28:49 PDT 2015 --  And that's why I don't care if someone screams profanities in my live shot. Because that was the scariest and realest fear I live. #WDBJ
Tue Aug 25 17:51:21 PDT 2015 --  . @LILBTHEBASEDGOD @ScottyDReports Oh Yes! pic.twitter.com/GXf740fyTg
Sun Aug 23 12:46:54 PDT 2015 --  Fuck GBs WRs gotta grow up quick... I can't wait for QB12 to show the @NFL how to do it
Sun Aug 23 12:32:56 PDT 2015 --  Reggie don't sign that deal... They'll deflate ur career.. #ThingsJordySays @NFL
Sun Aug 23 12:09:50 PDT 2015 --  . @tae15adams just became the most important player outside QB12... @RapSheet #GoPackGo
Sun Aug 23 09:41:06 PDT 2015 --  So proud of my nigga @trvisXX dropping his first album. Pre order RODEO NOW http://smarturl.it/TSRodeo  pic.twitter.com/OmwvEksNhl
Sat Aug 22 14:34:29 PDT 2015 --  . @50cent - "Clickity clank, clickity clank, the money goes into my piggy bank!" https://twitter.com/scottydreports/status/635198398392504320 …
Sat Aug 22 14:14:34 PDT 2015 --  My friend texted me asking what rap lyrics he should tattoo on himself. I should have made some up to troll him. #regrets
Sat Aug 22 11:50:01 PDT 2015 --  Wheels up! GRB PIT: 1 hour, 10 minutes. #PackersBusinessTrip #GBvsPIT
Fri Aug 21 14:01:08 PDT 2015 --  NASA is funding a project that turns poop into food http://trib.al/IANG9r7  pic.twitter.com/MnBhZbcHzM
Fri Aug 21 13:02:59 PDT 2015 --  IN DEEP SPACE...3 Years Into Its Mission, @NASA Curiosity Rover's Stunning Martian Panorama of MARS! pic.twitter.com/bx3QH5V7lm
Thu Aug 20 23:12:22 PDT 2015 --  . @RaeSremmurd #SREMMLIFE pic.twitter.com/UD8HnQcDBu
Thu Aug 20 15:00:22 PDT 2015 --  ♫ Today: Los Angeles, CA - Aug 20 at El Rey Theatre http://www.bandsintown.com/event/10369144?artist=Rae+Sremmurd&came_from=93 …
Thu Aug 20 12:15:23 PDT 2015 --  . @RaeSremmurd tonight @elreytheatre!!! #BucketList
Thu Aug 20 10:04:40 PDT 2015 --  Here it is up close: The #TitletownDistrict pic.twitter.com/y1fTpo0qTK
Thu Aug 20 10:06:23 PDT 2015 --  #TitletownDistrict in the winter, including an ice-skating rink & giant Super Bowl ring. pic.twitter.com/C4WaF75T0O
Tue Aug 18 18:40:45 PDT 2015 --  #AmericanUltra Premiere! pic.twitter.com/zVoJiggduF
Tue Aug 18 16:15:18 PDT 2015 --  Oh Yes? https://twitter.com/christinaktla/status/633773414289805312 …
Mon Aug 17 19:01:49 PDT 2015 --  This sums up the NFL. pic.twitter.com/VgYa7vmXy5
Tue Aug 18 08:29:07 PDT 2015 --  Two women just graduated as Army Rangers for the first time. They aren’t allowed to serve: http://fus.in/1TRmmwT  pic.twitter.com/8tTvhFP6SH
Mon Aug 17 14:43:52 PDT 2015 --  @ScottyDReports love you Scott thank u - Lil B
Mon Aug 17 00:26:20 PDT 2015 --  . @jerryferrara Reggie needed that @fatsalsdeli shirt tonight #BALLERS
Sat Aug 15 20:47:28 PDT 2015 --  bolo ties
Sat Aug 15 05:32:35 PDT 2015 --  . @violadavis #CantWait 4 u to go WALLER! #SQUAD
Sat Aug 15 05:25:31 PDT 2015 --  . @Caradelevingne #CantWait #SQUAD pic.twitter.com/MzgRweccnH
Sat Aug 15 04:20:05 PDT 2015 --  . @RyanGosling #Drive
Sat Aug 15 04:06:40 PDT 2015 --  . @DanBilzerian I think I just saw NEO kill u in John Wick... #Epic
Fri Aug 14 22:52:26 PDT 2015 --  Everleigh....
Fri Aug 14 22:33:15 PDT 2015 --  . @RLGRIME just going in the @Uber..... #TellME pic.twitter.com/20cozkoI6E
Fri Aug 14 20:48:14 PDT 2015 --  #antidote #nightSHOW
Fri Aug 14 17:10:45 PDT 2015 --  . @AdamSchefter Uh Oh #Jinxed https://twitter.com/bleacherreport/status/632337799996243970 …
Fri Aug 14 11:39:38 PDT 2015 --  Green Bay has just 3 players on its roster that have ever played for another NFL team. Everyone else has at least 16. http://es.pn/1DPLSk9 
Fri Aug 14 06:50:18 PDT 2015 --  There won't be a better NFL photo all year. pic.twitter.com/kEgbMWOLv4
Fri Aug 14 12:16:39 PDT 2015 --  Rookie RB Ameer Abdullah looked so impressive as a Lion, dentists in Minnesota are taking notice. #nflcamp #preseason
Fri Aug 14 10:44:06 PDT 2015 --  . @ScottyDReports slow news day? #FF
Fri Aug 14 10:43:25 PDT 2015 --  . @SonyPictures my mann @Alekgator says scrap the MIB/21 Jump Street Crossover and set up the Bad Boys/21 Jump Street Crossover #FF
Thu Aug 13 22:06:17 PDT 2015 --  I wish Iggy's Ass would #LipSyncBattle
Thu Aug 13 22:04:55 PDT 2015 --  please tell me why iggy is on the lip sync battle
Thu Aug 13 22:04:34 PDT 2015 --  Why is Iggy on lip sync battle
Thu Aug 13 22:02:39 PDT 2015 --  The only singing battle Iggy can win might be the lip sync battle
Thu Aug 13 18:08:33 PDT 2015 --  QR doe https://twitter.com/randalltime/status/631994861714034693 …
Thu Aug 13 10:07:46 PDT 2015 --  . @Alekgator https://twitter.com/history/status/631863323940753408 …
Wed Aug 12 17:51:50 PDT 2015 --  . @tweetemilysears I mean I DID c one of these today! https://twitter.com/tweetemilysears/status/631627977575395328 … pic.twitter.com/zn2cn9vxd1
Wed Aug 12 17:05:33 PDT 2015 --  SMH this shit a damn shame pic.twitter.com/xWzIvBF68h
Wed Aug 12 16:29:41 PDT 2015 --  Hisashi Iwakuma became oldest pitcher to throw a no-hitter since Randy Johnson in '04. See how he got it done here http://es.pn/1TveGQy 
Wed Aug 12 15:13:40 PDT 2015 --  Wow the @Mariners did something great for once....! Damn I miss my mid-90s M's... #NoHitter 4 Iwakuma!
Wed Aug 12 14:46:02 PDT 2015 --  Chinese city shaken by massive explosion. @sethdoane has details coming up: http://cbsn.ws/1WjKrQT  pic.twitter.com/XTpI3ryuII
Tue Aug 11 18:44:36 PDT 2015 --  HUF is for everyone. https://vine.co/v/eh5Ptt6Ep1H 
Tue Aug 11 17:15:04 PDT 2015 --  DAMN @Sony IF YOU GON TAKE DOWN "ELEPHANT IN THE ROOM", AT LEAST GIVE A REAL ARTIST A DEAL...
Tue Aug 11 16:49:01 PDT 2015 --  @JonesinJuice @AdamSchefter GOT EM!
Tue Aug 11 16:05:32 PDT 2015 --  Umm @nyjets just saying I already look great in green. #ComingbacktoNYC #ThrowboyTees pic.twitter.com/upoPxJx3NU
Fri Aug 07 15:49:45 PDT 2015 --  Greatest College Fan Base • ROUND OF 64 • RT ~ Iowa Hawkeyes Fav ~ Mississippi St Bulldogs pic.twitter.com/0EBkXCI396
Tue Aug 11 15:45:26 PDT 2015 --  99% THIRSTY for @JamesFrancoTV pic.twitter.com/Y8qYAw28My
Tue Aug 11 12:54:26 PDT 2015 --  I hate hate hate seeing this.Took my breathe away #SeanPrice pic.twitter.com/jpIzMDVf5n
Mon Aug 10 20:40:23 PDT 2015 --  "How's life?" http://vine.co/v/e6nLQQuYJPn 
Mon Aug 10 16:53:47 PDT 2015 --  San Antonio @spurs big man @aldridge_12 checks in for @usabasketball Mini-Camp in Las Vegas. #USABMNT pic.twitter.com/H8rKAKLXFI
Mon Aug 10 16:40:01 PDT 2015 --  @ScottyDReports thanks, Scott. #WeOutHereALotApparently
Mon Aug 10 12:33:53 PDT 2015 --  every time I see a cop, I always feel like I'm doing something illegal even though I'm not. every. single. time.
Mon Aug 10 11:17:24 PDT 2015 --  @btryn @ScottyDReports #10secondphotoshops pic.twitter.com/IBpkg8IfBp
Mon Aug 10 09:45:08 PDT 2015 --  We caught up with Jeezy, who is still going crazy after all these years. http://bit.ly/1Uz08Sq  pic.twitter.com/gTXRadsIHW
Sun Aug 09 08:02:49 PDT 2015 --  so excited we all get to stop watching true detective season 2 today!!
Sat Aug 08 23:06:25 PDT 2015 --  Just stumbled to Buffalo Club... Holy shit
Sat Aug 08 18:49:01 PDT 2015 --  #BigGrams
Sat Aug 08 13:05:20 PDT 2015 --  King Troll, @CyhiThePrynce clears the air on @kanyewest diss on “Elephant in The Room” http://2dope.bz/1NhSIyy  pic.twitter.com/6yllbRNiMt
Sat Aug 08 13:24:49 PDT 2015 --  I am at a very Mexican restaurant and my friend tricked me into thinking I had to order in Spanish. Now everyone is staring at me.
Sat Aug 08 15:49:55 PDT 2015 --  Welcome to #FamilyNight! pic.twitter.com/OWZJb0qKif
Sat Aug 08 08:25:35 PDT 2015 --  ICYMI- The @ChicagoBulls Stampede Drumline joined @ODESZA on-stage at #Lolla. http://lplza.co/1EbU8ph 
Fri Aug 07 19:53:09 PDT 2015 --  . @MikeTrout and @KoleCalhoun boooooi damn! #AngelsBaseball
Fri Aug 07 16:01:11 PDT 2015 --  . @dopeboySHAKE @ScottyDReports @MitchGMcDonald https://twitter.com/comingsoonnet/status/629785459409993729 …
Fri Aug 07 14:34:46 PDT 2015 --  The fantastic team at @Marvel has done it again! http://2dope.bz/1Hwjmil  pic.twitter.com/5eJ23fqJni
Fri Aug 07 14:26:30 PDT 2015 --  FaceBook should 69 iTunes and melt my brain.
Fri Aug 07 14:28:50 PDT 2015 --  #Agreed https://twitter.com/ders808/status/629764974634647552 …
Fri Aug 07 13:02:17 PDT 2015 --  Where the photo doe?? https://twitter.com/anessarossi/status/629742470918569984 …
Fri Aug 07 11:38:17 PDT 2015 --  . @ScottyDReports @dopeboySHAKE @MitchGMcDonald at least ya'll still got #COMPTON https://twitter.com/adamschefter/status/629722823347580928 …
Fri Aug 07 08:07:19 PDT 2015 --  It looks like Aldon Smith started #InternationalBeerDay a day early.
Fri Aug 07 08:00:31 PDT 2015 --  Summary of the 49er's offseason pic.twitter.com/w119UBz6pB
Fri Aug 07 08:03:38 PDT 2015 --  "What if I told you a new stadium was haunted..."
Fri Aug 07 08:04:19 PDT 2015 --  #HeGone https://twitter.com/dopeboyshake/status/629667953558958080 …
Fri Aug 07 08:03:21 PDT 2015 --  . @ScottyDReports that dude @AldonSmith wasn't with me.. That #GOPDbate must have got him turnt! #GoPackGo
Thu Aug 06 21:16:50 PDT 2015 --  When 2 people you know that don't know each other find each other on @twitter https://twitter.com/annhuactor/status/629497809654280192 …
Thu Aug 06 17:57:28 PDT 2015 --  bout to call in to the Remember station on Dash radio. Tune in.
Thu Aug 06 16:02:07 PDT 2015 --  Sounds like we have a challenge for the QB who, as @BruceFeldmanCFB points out, had a 105-14 TD-INT ratio at Oregon. https://twitter.com/itscrab/status/629426659452657664 …
Thu Aug 06 12:24:28 PDT 2015 --  @fuckjerry Congrats, bruh. pic.twitter.com/4yBGNseznD
Thu Aug 06 10:37:49 PDT 2015 --  GODDAMN IT!
Thu Aug 06 10:36:44 PDT 2015 --  Summoned for Jury Duty..
Wed Aug 05 17:37:41 PDT 2015 --  . @CyhiThePrynce #ElephantInTheRoom https://twitter.com/benballer/status/629085830334648320 …
Wed Aug 05 12:22:10 PDT 2015 --  THE WAIT IS OVER, click here https://m.soundcloud.com/1cyhitheprynce/elephant-in-the-room-prod-by-bks-productions … pic.twitter.com/v8AXwP1avB
Tue Aug 04 09:52:11 PDT 2015 --  What Do You Mean? @trvisXX #24Days pic.twitter.com/pCO6JU8Az1
Tue Aug 04 10:21:06 PDT 2015 --  . @BigBoi says his collaborative album with @Phantogram is finished http://p4k.co/Qu3As  pic.twitter.com/YRD00X98Xh
Mon Aug 03 22:51:42 PDT 2015 --  damn, there’s video of drake, kanye and WILL SMITH laughing at Meek memes... pic.twitter.com/phm2GcQGh6
Mon Aug 03 12:09:03 PDT 2015 --  How to rage with @trvisXX http://gqm.ag/1IHKqQR  pic.twitter.com/FdYb7WxkG0
Mon Aug 03 15:05:13 PDT 2015 --  Happy Monday, everyone! pic.twitter.com/lyQsQvXnPt
Mon Aug 03 08:45:40 PDT 2015 --  Ready to roll. #PackersCamp #DreamDrive pic.twitter.com/nVE9pSUXgz
Sat Aug 01 23:08:33 PDT 2015 --  . @Logic301 #THANKyou pic.twitter.com/tsJZUlwF6u
Sat Aug 01 22:49:40 PDT 2015 --  NIGGAS SAID RONDA ROUSEY KNOCKIN BITCHES OUT LIKE COSBY LOL
Sat Aug 01 22:56:21 PDT 2015 --  New @Logic301 #WorldPremiere pic.twitter.com/BVUncz0fi6
Sat Aug 01 22:52:32 PDT 2015 --  We have an overload of FREE @fleshlight's tonight!!!
Sat Aug 01 22:52:47 PDT 2015 --  DAMN pic.twitter.com/czsTO04fOy
Sat Aug 01 22:52:31 PDT 2015 --  . @KidCudi @Logic301 mash up.... #YoungSinatra pic.twitter.com/TnEkdPp75a
Sat Aug 01 22:37:28 PDT 2015 --  . @Logic301 #BuriedAlive pic.twitter.com/dRwiPSgpZo
Sat Aug 01 22:29:21 PDT 2015 --  . @Logic301 #BOUNCE pic.twitter.com/4Pa4IiVqPX
Sat Aug 01 22:02:50 PDT 2015 --  . @Logic301 I can die a happy negro! #YoungSinatra pic.twitter.com/b3O4PNmeOw
Sat Aug 01 21:44:14 PDT 2015 --  . @Snapchat I'm over 1000 seconds...New record? I'm black-josh!!!!
Sat Aug 01 21:23:34 PDT 2015 --  . @MeekMill #MEEKING pic.twitter.com/yC1ADjwyVV
Sat Aug 01 20:05:07 PDT 2015 --  Day 2 @lollapalooza @KidCudi takes the cake!! Excellent performance! #ThisisCLE
Sat Aug 01 18:42:08 PDT 2015 --  Can't wait to watch @RondaRousey dominate tonight! Great end to a long day of camp #UFC190
Sat Aug 01 13:24:34 PDT 2015 --  Travi$ Scott was kicked off the stage during his #Lollapalooza set for being too punk rock. http://trib.al/V18WTiG 
Sat Aug 01 13:58:58 PDT 2015 --  Shoutout to @PELLYEAH for a hell of a show and @G_Eazy for making a special appearance pic.twitter.com/1LdAhukM0s
Sat Aug 01 15:22:28 PDT 2015 --  . @G_Eazy my bad dooood #AutoCorrect #Lollapalooza2015 #ZZZZZZZZZZZZ
Sat Aug 01 13:55:34 PDT 2015 --  . @PELLYEAH @G_Eazy #GOTitLIKEthat pic.twitter.com/lKB5dHjGXF
Sat Aug 01 13:49:35 PDT 2015 --  #Lollapalooza2015
Sat Aug 01 13:32:42 PDT 2015 --  . @trvisXX I know u don't like @Snapchat but..... pic.twitter.com/W3vJaL8Exl
Fri Jul 31 20:57:26 PDT 2015 --  . @trvisXX we on Hubbard, where u at? I got the #Antidote
Thu Jul 30 12:24:08 PDT 2015 --  Geez the @RedSox suck... Just keep him out there..
Thu Jul 30 09:28:57 PDT 2015 --  One of the coolest "Back to Work" traditions around... #BackToFootball #DreamDrive pic.twitter.com/eTxCvCmkV2
Thu Jul 30 07:27:54 PDT 2015 --  He called u a gal!! He gets a #ByeFelicia https://twitter.com/alanarblanchard/status/626759470434111488 …
Wed Jul 29 06:54:34 PDT 2015 --  If anything, Tom Brady should be suspended 4-games for being long Facebook rant guy.
Tue Jul 28 18:44:27 PDT 2015 --  Had to hit @Converse in Santa Monica today.. pic.twitter.com/JYpyf7Hu4r
Tue Jul 28 15:41:34 PDT 2015 --  Had to hit @Converse in Santa Monica today.. pic.twitter.com/pYegIPlFqr
Sun Jul 26 12:41:54 PDT 2015 --  Also trying to get this "u mad" remix done so I can drag @VicMensa on stage at @lollapalooza
Sun Jul 26 23:05:33 PDT 2015 --  FUCK YOU @flyLAXairport OPEN UP THE GODDAMN EXITS
Sat Jul 25 18:55:56 PDT 2015 --  #AROD4PREZ @Yankees
Fri Jul 24 19:14:15 PDT 2015 --  WWE is realer than Hip Hop I swear to God
Thu Jul 23 15:00:39 PDT 2015 --  Noah Syndergaard charged with the murder of Yunel Escobar after this pitch killed him http://vine.co/v/e62HWXFza1l 
Thu Jul 23 19:11:56 PDT 2015 --  #CantWait https://twitter.com/lollapalooza/status/624401457438179328 …
Thu Jul 23 17:37:46 PDT 2015 --  I'm with you... #SMDH https://twitter.com/dopeboyshake/status/624375370138021889 …
Thu Jul 23 08:14:59 PDT 2015 --  . @AdamWingard's latest film 'The Guest' will be hitting Netflix Watch Instant Saturday 7/25! http://hbtvs.us/1LFvKTi  pic.twitter.com/kArjagoIT5
