Fri Aug 28 16:10:52 PDT 2015 --  Keep supporting my album!!! https://soundcloud.com/jordan-drey/sets/1999-2015 …
Mon Aug 24 16:29:13 PDT 2015 --  Am I the only one who's wondering if @Drake gon perform #BackToBack @BET Hip Hop Awards, infront of @MeekMill ...
Sun Aug 23 13:50:03 PDT 2015 --  Listen to 1999 [2015] by Jordan Drey #np on #SoundCloud https://soundcloud.com/jordan-drey/sets/1999-2015 …
Sat Aug 22 21:25:49 PDT 2015 --  These hoes crazy cuhh
Fri Aug 21 19:47:26 PDT 2015 --  Listen to 1999 [2015] by Jordan Drey #np on #SoundCloud http://soundcloud.com/jordan-drey/sets/1999-2015 …
Fri Aug 21 12:09:18 PDT 2015 --  I'm so proud of you Jordan Drey! Your new album shows how much your growing! I'm happy you have goals! Much Love Lil Bro
Fri Aug 21 09:37:34 PDT 2015 --  "Drey Dropped A Classic" "One Of The Best Albums Of The Year" reviews for my new album! ALREADY! Here It is! SUPPORT! http://soundcloud.com/jordan-drey/sets/1999-2015 …
Thu Aug 20 09:39:01 PDT 2015 --  What I Don't Understand Is...Females say they want Superman??? But Won't give Clark Kent the time of day!? #dontjudgeabookbyitscover
Tue Aug 18 20:52:46 PDT 2015 --  @JordanDrey_SoS And let your success be not only a Blessing to you but to all the people who hears and are Bless by your wonderful music
Tue Aug 18 20:42:00 PDT 2015 --  @JordanDrey_SoS I just want to wish you all the success with you new album
Mon Aug 17 14:38:24 PDT 2015 --  Follow me on @SoundCloud for a follow back! My album drops in 5 days!!!! Support!!! http://www.soundcloud.com/jordan-drey 
Mon Aug 17 11:45:20 PDT 2015 --  Shout out @justAceit_ for being 18 with no kids Boy pull out game strong!
Mon Aug 17 09:34:35 PDT 2015 --  You gonna wanna sign me after this one @JColeNC http://youtu.be/OPuMvjWl72M 
Sun Aug 16 14:08:34 PDT 2015 --  Go Check Out The Official Trailer for my 1999 Album! #Teaser @YouTube Jordan Dreys "1999" Official Trailer (2015): http://youtu.be/OPuMvjWl72M 
Sat Aug 15 12:17:15 PDT 2015 --  I decided to reactivate my twitter, for promotional purposes...enjoy!
Mon Feb 25 19:03:58 PST 2013 --  Fake Niggas#Not Good
