Tue Aug 25 16:15:31 PDT 2015 --  David Gilmour en Chile: Presentación será el 20 de diciembre en el Estadio Nacional http://ow.ly/RlOyc  pic.twitter.com/SjBzXg1oBX
Fri Aug 21 20:06:43 PDT 2015 --  Viendo #StarWarsTVN pic.twitter.com/2saWjQQ0s3
Sat Aug 15 18:20:49 PDT 2015 --  60 lucas la camiseta de la selección... No creen que es mucho Sres de @Nike ? El diseño tampoco es la gran cosa...
Sat Aug 15 16:33:55 PDT 2015 --  Rt hoy nos vamos a @PanguipulliCL prefiera TV de calidad y con identidad #LugaresQueHablan hoy con todo 🏻 pic.twitter.com/RhObnyAAzF
Thu Aug 06 07:05:02 PDT 2015 --  Waffle para llevar... pic.twitter.com/e0XRFk1rbu
Wed Aug 12 10:32:32 PDT 2015 --  http://m.biobiochile.cl/notas/2015/08/12/movistar-interpone-millonaria-demanda-en-contra-de-wom-por-publicidad-denigrante.shtml … WOM se los está garchando a todos!!
Wed Aug 12 06:33:36 PDT 2015 --  He leído libros malos, pero The Call of the Wild la cagó...
Tue Aug 11 20:08:06 PDT 2015 --  Afírmate pata e' lana!! Andan todas descontroladas con #ElRegresoDeBaliBey
Tue Aug 11 15:46:15 PDT 2015 --  pic.twitter.com/69RBVUG0Qf
Thu Aug 06 12:20:51 PDT 2015 --  Santiago ... Descripción gráfica ... pic.twitter.com/h4VQ55zMXp
Thu Aug 06 12:12:39 PDT 2015 --  #AlPashálodespacharon pic.twitter.com/kp8NeuVhVd
Sat Jul 25 19:30:45 PDT 2015 --  A punto de hacer el break del estudio para ver #CityTourOnTour ... Después a seguir estudiando!! @FedeTour @Cumparini
Tue Jul 21 07:14:54 PDT 2015 --  Hoy está de cumpleaños un grande ... pic.twitter.com/KZD9Igfdaz
Sat Jul 18 16:44:47 PDT 2015 --  Hoy a las 23:00hrs, Citytour on tour, canal 13...Venezia !!! https://instagram.com/p/5S-BWfrl4P/ 
Sun Jul 12 18:15:03 PDT 2015 --  Lo más visto: Estudio revela que los fanáticos del heavy metal son más felices. http://rockaxis.com/rock/novedades/estudio-revela-que-los-fanaticos-del-heavy-metal-son-mas-felices … pic.twitter.com/slAtzzh66P
Sun Jul 12 06:46:35 PDT 2015 --  . @TVN Emitirá "Las siete eras del rock" como parte de inédito acuerdo con la @BBC pic.twitter.com/pcbjT7yd1A
Sun Jul 05 14:29:01 PDT 2015 --  Grande @AldoRomuloS Debo decir que fue graciosa su forma de celebrar jajajaja @deportes13cl #DiganLaVerdad pic.twitter.com/marTN6TkI0
Sat Jul 04 16:01:08 PDT 2015 --  #ChileCampeónLT | Así fue la reacción de Gary Medel tras ganar la Copa América http://lt.cl/Pb2FV  https://vine.co/v/e1EVtHaWO3X 
Sat Jul 04 16:00:55 PDT 2015 --  ¡GARY MEDEEEEEL, GARY MEDEL GARY MEDEL!
Sat Jul 04 15:52:25 PDT 2015 --  Viva Chile mierda! Más feliz que la cresta! Viajando a Santiago en bus eschando al trovador!! @adnradiochile
Sat Jul 04 06:27:49 PDT 2015 --  pic.twitter.com/2ZLANT6X73
Thu Jul 02 08:10:50 PDT 2015 --  Portada de The Clinic #ChileTeQuieroVer XD pic.twitter.com/U90o0grJ8D
Thu Jul 02 06:06:21 PDT 2015 --  Esperando a @gemelosradio en @RadioZ_cl #ComunidadZ
Wed Jul 01 12:38:58 PDT 2015 --  ¡IMPERDIBLE! #CHI vs #ARG junto a @zabaletachile + un gran asado. Para participar haz RT porque #LaParrillaNoSeApaga. http://bit.ly/1IOxgh4 
