Fri Aug 28 13:02:53 PDT 2015 --  To be successful: Have a work ethic Have confidence Be sincere Be reliable
Thu Aug 27 19:59:15 PDT 2015 --  Our plyers love @KBA_GoBlue rebounding and shooting drills. Our goal is always 60 points.
Thu Aug 27 17:08:15 PDT 2015 --  Thanks so much to the @UMClubofDetroit for having @KBA_GoBlue speak tonight! #GoBlue pic.twitter.com/eIAJycdqrR
Thu Aug 27 06:37:42 PDT 2015 --  14yr old picture day. I remember 5 yr old picture day! #seriously #tbt #mybaby https://instagram.com/p/644V7NnGQd/ 
Tue Aug 25 15:02:25 PDT 2015 --  The worst four-letter word: SOFT.
Tue Aug 25 17:02:28 PDT 2015 --  Work like there is someone working 24 hours a day to take it away from you. – Mark Cuban
Tue Aug 25 13:03:49 PDT 2015 --  Are you coachable? Resources: http://basketballhq.com/basketball-training … pic.twitter.com/iT6JXV9026
Sat Aug 22 16:45:48 PDT 2015 --  Happy 30th birthday @sarahvan24. Big celebration at the Arico pad. #Cubans #lasagna #stuffedpeppers pic.twitter.com/9C2KX9a8cZ
Fri Aug 21 12:43:39 PDT 2015 --  Thanks to the Ristovski family we had our ice cream fix for the next month. #40scoops https://twitter.com/umichwbball/status/634440558170255360 …
Wed Aug 19 15:01:15 PDT 2015 --  Passion: 1 Keeps us going when others quit. 2 Is contagious 3 Influences others to follow 4 Gives us energy we did not know we possessed
Wed Aug 19 17:00:46 PDT 2015 --  If your best player is also your hardest worker, you have a chance to be a good team.
Wed Aug 19 14:24:34 PDT 2015 --  Thanks @sarahvan24 for the assist this morning. The messages from Ann were inspiring! #makingstridewalk #pink pic.twitter.com/EL46bVNW81
Wed Aug 19 07:10:03 PDT 2015 --  Best quote of the day came from survivor Ann Salter: Don't take the day off, take the day on! #GoBlue pic.twitter.com/M6i9eqvWNY
Wed Aug 19 08:20:23 PDT 2015 --  Wishing freshman @MungerN a very happy birthday!! #goblue pic.twitter.com/greu8aZ6mO
Wed Aug 19 10:32:38 PDT 2015 --  Amazing news! Michigan will be on ESPN2 at Princeton on Dec. 6 http://mgob.lu/1ECKT1u  #GoBlue pic.twitter.com/agNNHJHDS5
Tue Aug 18 10:56:43 PDT 2015 --  Great to have some lunch with the frosh. Happy birthday @MungerN #GoBlue #carpeomnia pic.twitter.com/Ws098y2XXM
Mon Aug 17 22:50:10 PDT 2015 --  No one loves waking up at 6am to workout. But doing so will show you who is committed enough to succeed and who isn’t.
Mon Aug 10 09:21:05 PDT 2015 --  You'll never become a great player if the only time you work on your game is during team practices. pic.twitter.com/fNeern7YGd
Sat Aug 15 13:00:46 PDT 2015 --  Defense and rebounding are non-negotiable.
Thu Aug 13 16:00:05 PDT 2015 --  Big House. Big plans. Welcome to #TeamJordan @umichfootball. #GoBlue https://amp.twimg.com/v/2c5f3acb-7c17-4305-9b8a-7e580b85070b …
Sat Aug 15 06:08:38 PDT 2015 --  Jim Harbaugh leaves sub to thank Michael Jordan; Michigan coach influenced 'Jumpman' partnership http://s.mlive.com/6zHMQrb  via @mlive
Wed Aug 12 06:05:09 PDT 2015 --  Starting off the morning right. #obx #strawberryfrosted https://instagram.com/p/6SMsZQnGQ0/ 
Sun Aug 09 17:16:21 PDT 2015 --  Thanks for all of the wonderful birthday wishes from everyone today - even those I couldn't respond… https://instagram.com/p/6LrH2IHGdj/ 
Sun Aug 09 11:02:12 PDT 2015 --  Thanks @moore_mel. I am lucky to be surrounded by incredible people like yourself everyday. #GoBlue #trulyblessed https://twitter.com/moore_mel/status/630347570058035200 …
Sun Aug 09 07:49:55 PDT 2015 --  90% of my birthdays have been spent waking up to this view. Lucky to be raised by the beach.… https://instagram.com/p/6KqTKAHGRI/ 
Sat Aug 08 11:19:43 PDT 2015 --  20 hours and a little chick-fil-a later. #outerbanks pic.twitter.com/9Y2VPBNjuL
Sat Aug 08 02:13:00 PDT 2015 --  I’m looking for activity. I put players in and take them out based on effort and defense, not making or missing shots - Doc Rivers
Thu Aug 06 19:08:46 PDT 2015 --  Thanks @TreyBurke for your words of wisdom to our team. Once a Wolverine - always a Wolverine. #goblue https://twitter.com/umichwbball/status/629368611468132354 …
Wed Aug 05 10:00:03 PDT 2015 --  Having some fun with my girls at the end of camp taijjsm. #goblue https://instagram.com/p/6AmAq7HGdt/ 
Tue Aug 04 11:01:55 PDT 2015 --  I WILL be successful.
Mon Aug 03 22:11:16 PDT 2015 --  WBB: Former Wolverine Cyesha Goree is heading to Hungary to begin her pro career with Uni Gyor. http://lovewomensbasketball.com/2015/08/03/uni-gyor-signs-american-center-cyesha-goree-and-lithuanian-forward-monika-grigalauskyte/ …
Tue Aug 04 16:39:53 PDT 2015 --  _sierathompson #camplife #goblue https://instagram.com/p/5-u-TIHGZa/ 
Tue Aug 04 09:29:30 PDT 2015 --  Happy Birthday to our bestie @byrdie_byrdd. One of the greatest to wear the . #family #goblue https://instagram.com/p/599uHEnGY8/ 
Mon Aug 03 17:59:30 PDT 2015 --  Love @BeckyHammon's anything is possible mentality! No doubt she will be successful. https://twitter.com/sinow/status/628340858853683200 …
Mon Aug 03 10:00:49 PDT 2015 --  One month from today marks the beginning of Michigan Football! #GoBlue #31Days pic.twitter.com/IlWaPHNQcV
Mon Aug 03 10:16:20 PDT 2015 --  Headed to PGC with jamo.simion. Thanks napheesa24 #USA https://instagram.com/p/57eSKOnGck/ 
Sun Aug 02 12:10:55 PDT 2015 --  I can't disagree ... I can only agree. Mine too @NICKIMINAJ ! pic.twitter.com/IYw8eQUHcz
Sun Aug 02 06:22:46 PDT 2015 --  Headed to church in her new Benetton. Thanks to @dawnstaley #maize&bluescarf #fashionpolice. pic.twitter.com/SCJUCWfp4W
