Fri Aug 28 23:32:39 PDT 2015 --  Let's runaway together and yes, my dog is coming.
Fri Aug 28 20:14:12 PDT 2015 --  So fuckin true https://twitter.com/justreiatabie/status/637461970220879872 …
Wed Aug 05 22:22:15 PDT 2015 --  Yep that's right I'm a Pisces pic.twitter.com/qa5cD8RuKA
Tue Aug 18 18:12:19 PDT 2015 --  True true pic.twitter.com/ZrKLq6t5Qh
Fri Aug 28 18:31:16 PDT 2015 --  The sedan next to me has 7 #chive car window stickers...1. I love you. 2. CHIVE ON!!!!!
Fri Aug 28 18:23:22 PDT 2015 --  My goal tonight is to get drunk enough that I spam my followers with ridiculous drunk tweets. #fridayishere #longweekend #ZFG
Fri Aug 28 07:56:44 PDT 2015 --  If I can get drunk on you with no alcohol, we are on to something!
Fri Aug 28 07:51:56 PDT 2015 --  "It's over, bring it on over.. I know you ain't in love with him, break up with him!" Love this song #catchy #truthful #popcountry
Thu Aug 27 12:42:18 PDT 2015 --  Country men make my heart melt.. #twosteptomyheart
Thu Aug 27 10:20:36 PDT 2015 --  Seriously pic.twitter.com/GisQnSz4rQ
Thu Aug 27 07:30:17 PDT 2015 --  I'm okay today. I'll be okay tomorrow. And the next day after that I'll still be okay. But in a year you will see me, I'll be amazing.
Thu Aug 27 06:29:31 PDT 2015 --  Who needs "the daily grind" when you can have daily shenanigans..?! #KCCO #changeup #protein #uptonogood #crazycool
Thu Aug 27 03:12:02 PDT 2015 --  I pray to baby Jesus this coffee gets me through the next 2 hours... Then cup number 2.
Thu Aug 27 01:15:04 PDT 2015 --  I want to do a #StarWars marathon soon.. #goals
Sun Aug 23 13:59:29 PDT 2015 --  Instant gratification and happiness. This video hits home with me. Cherish those around you https://youtu.be/7w7bA7Z0nuE 
Wed Aug 26 06:12:39 PDT 2015 --  Instead of waking up to a standard alarm you hate. Set your alarm to a song you like. Start your day w/a smile. #positive #humpday #bestself
Wed Aug 26 18:57:21 PDT 2015 --  Learn the difference, boys! #DatingNaked pic.twitter.com/1e4czijqb4
Wed Aug 26 19:43:59 PDT 2015 --  Send @Swarley_KccO some love. We've been at urgent care for going on over 6 hours and we want him to feel better!!
Wed Aug 26 19:12:53 PDT 2015 --  @KCCOchivette this girl is on point!!!! epic chivette epic firefighter! and epic twitterererrrr.. follow this girl! NOW #KCCO
